ym,EqualWeight,InverseVol,MinVariance,MaxSharpe,RiskParity,HRP
2014-02-01,0.04569521995819238,0.045593683302231305,0.04968822452701152,0.055088295468819236,0.04732920397385056,0.049952957338547745
2014-03-01,0.022959234115443636,0.027378820497058177,0.020963285787971363,0.010265373952872888,0.023936550926719258,0.025554478239433052
2014-04-01,0.007808323832199309,0.012135774606541399,0.021536396251384322,0.016497246761158494,0.011281366073697193,0.015597068953183997
2014-05-01,0.024288653692825582,0.025979731803849337,0.03250640941276025,0.02399591807891997,0.025078812498190224,0.0286007283262687
2014-06-01,0.036152544546382864,0.03716865707577898,0.04008497599285097,0.03606488507442281,0.037908905945535164,0.046101997247173405
2014-07-01,0.035337023396223216,0.02890182588518212,0.01990062758580907,0.015958041232789634,0.031023246301296558,0.025848021517487167
2014-08-01,0.024624299263585267,0.028870692360987712,0.032840702789005284,0.03611481170392466,0.02759591100862219,0.029152478056974636
2014-09-01,-0.0599653959565566,-0.06071244109350013,-0.06672215287367146,-0.05203921642095537,-0.060077487858337546,-0.061841272389689055
2014-10-01,0.005104925263068727,0.007369657171552604,0.01539647472216529,0.012382098737352965,0.0072085815329925645,0.009120475315840256
2014-11-01,-0.025792837479489798,-0.021738303194238952,-0.007442830458279718,-0.016433463773101564,-0.022148998561632095,-0.014987821429740497
2014-12-01,-0.0395229236829393,-0.036584112975830564,-0.036405749674140876,-0.032637661824433103,-0.03759569308838782,-0.036853138921567094
2015-01-01,0.015218897466307174,0.01632269915823597,0.02102942185321921,0.034779916760477585,0.017977615157901812,0.022600989573775092
2015-02-01,0.022846209487747394,0.017110831185737668,0.0059670254844178885,0.02219066816098645,0.019787123594056044,0.018106690625789602
2015-03-01,-0.000382204914315209,0.0021454898179579353,0.005976635238999364,0.011655075310466417,0.0019862914977985505,0.0030392511445694625
2015-04-01,0.07808891302931148,0.06795409635398493,0.061245769711524616,0.05517094389284306,0.07157277598356171,0.07057646124987493
2015-05-01,-0.03207743062242844,-0.023432731753550366,-0.014064512456015279,-0.022151256117195525,-0.02627040695770812,-0.019907420255458604
2015-06-01,-0.024991189204689287,-0.025603240624430812,-0.027358450631947185,-0.02328111106153883,-0.02602622088781789,-0.02666710288912804
2015-07-01,-0.03538303705229874,-0.033104822805194827,-0.024808857029144656,-0.021739217301774142,-0.032541501482700304,-0.031237653867270673
2015-08-01,-0.0828100940188827,-0.08609406973250286,-0.09154466325169618,-0.07901902102864676,-0.08524426206123706,-0.08271226246026182
2015-09-01,-0.028679202442687193,-0.025577548629671133,-0.02041441035880974,-0.022407256964685734,-0.027680483524563378,-0.026218763174815984
2015-10-01,0.06627574787331351,0.06273235920843302,0.05648092185066657,0.059947757660694025,0.06430907429529109,0.06065621305478211
2015-11-01,-0.04062236686534662,-0.03862277485439599,-0.03332554438387397,-0.03487097017743021,-0.039609627236086825,-0.03770684785809262
2015-12-01,-0.006392086430444573,-0.012999847183988392,-0.0143194668700723,-0.01335333531008704,-0.010087102174090878,-0.01311944739884508
2016-01-01,-0.05021004230368201,-0.042946082732075876,-0.033845574509212106,-0.038573822796185216,-0.044361856364273575,-0.04051419856239257
2016-02-01,-0.002944919691825719,0.0011188858389806376,0.000790087840631908,-0.006039496452616904,-0.0017131867432713473,-0.00046214383883805293
2016-03-01,0.11028054814844335,0.10461682164876748,0.09208718358820125,0.09622273035421984,0.10569424288057319,0.09947983515444232
