AUM ($M),Max Days (avg),Max Days (median),Max Days (worst month),Wtd Avg Days (avg)
$100M,6.357363032875664,5.863622906162256,20.98518274233638,0.8837460090623077
$250M,15.89340758218916,14.65905726540564,52.46295685584095,2.2093650226557693
$500M,31.78681516437832,29.31811453081128,104.9259137116819,4.418730045311539
"$1,000M",63.57363032875664,58.63622906162256,209.8518274233638,8.837460090623077
"$2,000M",127.14726065751329,117.27245812324512,419.7036548467276,17.674920181246154
"$5,000M",317.8681516437832,293.1811453081128,1049.259137116819,44.187300453115384
"$10,000M",635.7363032875664,586.3622906162256,2098.518274233638,88.37460090623077
