ym,strat,market_component,alpha_component
2019-01-01,0.0900583995610148,0.07150286536133536,0.018555534199679438
2019-02-01,0.0050810864774603,0.001172316945324496,0.003908769532135804
2019-03-01,0.0259898635968678,0.006392540675964031,0.01959732292090377
2019-04-01,0.0192213618039838,0.01697737543500849,0.0022439863689753085
2019-05-01,-0.0832221426082539,-0.060478750091203425,-0.02274339251705048
2019-06-01,0.0569058751500888,0.05303172529043975,0.0038741498596490467
2019-07-01,-0.0180799759369432,-0.010670435102286333,-0.007409540834656869
2019-08-01,-0.0402459792583412,-0.04213744423294123,0.001891464974600035
2019-09-01,0.0215758483847857,0.015591589559286384,0.0059842588254993175
2019-10-01,0.0635545960419142,0.03632599655964399,0.02722859948227021
2019-11-01,-0.0052383286436092,-0.002057086471896667,-0.003181242171712533
2019-12-01,0.0725283995031987,0.06546459654583245,0.00706380295736625
2020-01-01,-0.0669398510547621,-0.04170966990416143,-0.025230181150600675
2020-02-01,-0.0461562837330423,-0.04726481218041952,0.001108528447377223
2020-03-01,-0.1183138613533343,-0.13719073326770764,0.018876871914373344
2020-04-01,0.1170472676779408,0.07416768276252149,0.04287958491541931
2020-05-01,0.0102540458417084,0.012571055129165813,-0.002317009287457412
2020-06-01,0.0854144763921865,0.06475194068888017,0.020662535703306326
2020-07-01,0.0848510171474466,0.08036005840027473,0.004490958747171869
2020-08-01,0.0086310455681764,0.01967530403226417,-0.011044258464087771
2020-09-01,-0.0304172921586154,-0.014983985766585425,-0.015433306392029975
2020-10-01,0.0034320381710127,0.017973543666945146,-0.014541505495932446
2020-11-01,0.1039804041215875,0.08396653996603726,0.020013864155550246
2020-12-01,0.0894559610440246,0.06745807513519082,0.02199788590883378
2021-01-01,0.0060483341233239,0.02847318274935094,-0.02242484862602704
2021-02-01,0.0150457262214715,0.00563204248154101,0.009413683739930491
2021-03-01,-0.010420994728503,-0.014152939336094463,0.0037319446075914624
2021-04-01,0.0282686243422567,0.023429607814470708,0.0048390165277859935
2021-05-01,0.0223947511725819,0.011076712207664091,0.01131803896491781
2021-06-01,0.0233559968510774,0.012442933551135042,0.010913063299942358
2021-07-01,-0.0512953234271081,-0.06697800084058754,0.015682677413479437
2021-08-01,-0.0049596783280255,0.02107068295605758,-0.026030361284083082
2021-09-01,-0.042744743787657,-0.03877319133993465,-0.0039715524477223485
2021-10-01,0.0025300878596645,0.008632859043872412,-0.006102771184207913
2021-11-01,-0.0127558956371196,-0.040607842070425684,0.027851946433306084
2021-12-01,0.0412012159403126,0.017597725489347883,0.023603490450964715
2022-01-01,-0.0384206772552656,-0.00273567964606562,-0.03568499760919998
2022-02-01,0.0207351599424013,-0.04765108189384232,0.06838624183624362
2022-03-01,0.015042409997519,-0.02464712610337075,0.03968953610088975
2022-04-01,-0.0536376950182218,-0.05248459726789099,-0.0011530977503308101
2022-05-01,0.0195100814269057,0.008375762062236952,0.011134319364668748
2022-06-01,-0.0587586225290284,-0.053637812771916815,-0.005120809757111586
2022-07-01,0.0201491269154184,-0.0046488010667254075,0.024797927982143808
2022-08-01,-0.0053817980232733,-0.004410163349259701,-0.0009716346740135991
2022-09-01,-0.1222615690751034,-0.10705627339030041,-0.015205295684802986
2022-10-01,-0.0330199745117281,-0.02491580789628957,-0.00810416661543853
2022-11-01,0.1607387471984162,0.15070062624107264,0.01003812095734355
2022-12-01,-0.0107477609167906,-0.02569526020248972,0.01494749928569912
2023-01-01,0.0317713127896767,0.08038784500022299,-0.048616532210546286
2023-02-01,-0.0700085639407899,-0.06607492941135291,-0.003933634529436986
2023-03-01,0.0552675405703715,0.030288573386990217,0.02497896718338128
2023-04-01,0.0145042150243855,-0.00764901443351528,0.02215322945790078
2023-05-01,-0.0243716902471243,-0.020676543627052412,-0.0036951466200718895
2023-06-01,0.024495120707134,0.03849545976752778,-0.01400033906039378
2023-07-01,0.062209782712944,0.05762650066388905,0.004583282049054949
2023-08-01,-0.0791101830228605,-0.06219652110139782,-0.016913661921462687
2023-09-01,-0.0119338321389019,-0.026809405442860673,0.014875573303958773
2023-10-01,-0.05502776364685,-0.0338939259541165,-0.021133837692733498
2023-11-01,0.0937635899476868,0.07236030103233877,0.021403288915348026
2023-12-01,0.0606819915081774,0.03479861955844965,0.02588337194972775
2024-01-01,-0.0550650856969105,-0.04464566530519195,-0.010419420391718552
2024-02-01,0.048716552450012,0.0449621216359216,0.0037544308140904023
2024-03-01,0.0298832282578872,0.02314399916510848,0.006739229092778718
2024-04-01,0.0007658104270596,-0.0017174632688745162,0.002483273695934116
2024-05-01,0.0397883416610403,0.015118668277778835,0.02466967338326146
2024-06-01,0.0374351955338967,0.02955225492725216,0.007882940606644542
2024-07-01,-0.013522070919914,0.006670597707009481,-0.020192668626923482
2024-08-01,0.0322988878401463,0.009511073759376078,0.02278781408077022
2024-09-01,0.0588664202798307,0.054905471195943696,0.003960949083887007
