,portfolio,benchmark,beta,hedged
2019-02-01,0.0081608609290261,0.0009714933376510082,0.756532393983118,0.007425894748554333
2019-03-01,0.0146468424112294,0.006831913982587201,0.7525655493146464,0.009505379312053249
2019-04-01,0.0310818912730259,0.019950289661950782,0.7568889609389367,0.015981737260361166
2019-05-01,-0.0977240815333431,-0.07527519365479407,0.7572080245628032,-0.04072510084741402
2019-06-01,0.0389540994341188,0.05697394789579158,0.7623473439962408,-0.004479838421218123
2019-07-01,-0.0171565962816468,-0.016921676810192743,0.7887319535286619,-0.003809929074162822
2019-08-01,-0.0458676781510114,-0.05079989585442757,0.7839162128044985,-0.006044816181945599
2019-09-01,0.0314833691809876,0.016935377363282544,0.7822130796195473,0.01823629549913519
2019-10-01,0.1180162783271205,0.04093906093906097,0.796463445755931,0.08540981278558396
2019-11-01,-0.013399242435805,-0.0018522428453521256,0.7984863049317953,-0.011920251890383426
2019-12-01,0.0871696407104846,0.07173693572424411,0.8245663109751094,0.02801778025968609
2020-01-01,-0.0621700394280613,-0.04693807977320452,0.8270650305025854,-0.023349195048703114
2020-02-01,-0.031674787021083,-0.05348570137620723,0.8397786071570631,0.013241360783446919
2020-03-01,-0.0952722031932446,-0.15607844697271056,0.8508881677237876,0.03753310057253943
2020-04-01,0.0881609912015601,0.08998562304084468,0.8490320727887587,0.011760311150003852
2020-05-01,0.0178986310633961,0.005849028045062266,0.8269944593587948,0.013061517277495403
2020-06-01,0.0991114638087802,0.06959746332025585,0.837338710235243,0.040834813636552544
2020-07-01,0.0643886900315548,0.08423274042809781,0.8383585241075167,-0.0062285459152768285
2020-08-01,0.013314690854231,0.02092833574315045,0.8718933268784923,-0.004932585422894509
2020-09-01,-0.0246590091534725,-0.017703132092600993,0.8639078114609716,-0.009365135051349087
2020-10-01,0.0077534606820816,0.019833641404805924,0.8634208078377228,-0.009371318002019638
2020-11-01,0.1133097569402338,0.0920830841172311,0.8675697997495286,0.03342125409232863
2020-12-01,0.1017395431793019,0.0715228161019692,0.8648363849219288,0.03988400946223893
2021-01-01,0.0128268830197366,0.02966869569257935,0.8836374168656894,-0.013389486603828422
2021-02-01,0.0007923380753357,0.007288070579209771,0.9109132852568804,-0.005846462239156289
2021-03-01,0.0065360346912532,-0.017046727297164055,0.9079317029400806,0.02201329883572252
2021-04-01,0.0302603669717905,0.023685270010558757,0.9331517713608749,0.008158415306276989
2021-05-01,0.0319293056725655,0.021222757325932706,0.9288966039704014,0.012215558465618653
2021-06-01,-0.005491754455891,-0.001140814265264689,0.935283477103523,-0.004424769723144941
2021-07-01,-0.0760282614150171,-0.07044753535471115,0.9365749119910449,-0.010048867190192476
2021-08-01,0.0061821949460534,0.02415871028329941,0.9379760928543519,-0.016478097733876033
2021-09-01,-0.0173711400771529,-0.04246295857626459,0.9486010530426708,0.022909267143599
2021-10-01,-0.0274968918242502,0.009296943579921946,0.9460922399975097,-0.03629265800090902
2021-11-01,-0.023997178227408,-0.04137576596165249,0.9381452830257806,0.014819301441094935
2021-12-01,0.0313389428659233,0.016157767110407173,0.9387735318414104,0.016170458769015378
2022-01-01,-0.0215495481559101,-0.019301791381563405,0.9341648620077795,-0.0035184928734489744
2022-02-01,-0.0095166190646999,-0.030557095917168153,0.9368734421784547,0.01911151257019463
2022-03-01,0.0047901912047611,-0.025202550989917305,0.9367963477116592,0.028399848925132493
2022-04-01,-0.0358023290208459,-0.05745364734320668,0.932571565904539,0.01777730884893551
2022-05-01,-0.0038947025478664,0.0013752218474432087,0.9294872287101522,-0.005172953691708044
2022-06-01,-0.0423582644869406,-0.07145044401347367,0.9201589810177603,0.02338750326976386
2022-07-01,0.0110453145681276,-0.0068853867908501565,0.9199387027518977,0.017379448360447344
2022-08-01,0.0007807181709346,0.00033206544708086483,0.9026326739950272,0.0004809850484946448
2022-09-01,-0.136563225465841,-0.11902103388960983,0.903860626577389,-0.028984799198489605
2022-10-01,-0.0161422851092051,-0.03154865892508474,0.904393335804815,0.012390111776220635
2022-11-01,0.1293048021486908,0.14635210337672144,0.9289443363894799,-0.006648155401802247
2022-12-01,-0.0142140529074862,-0.016363430663690837,0.9278289316307984,0.0009684114830207143
2023-01-01,0.0206929076589247,0.0785461845709865,0.9179655895065805,-0.05140978696427359
2023-02-01,-0.1157289952096949,-0.06542898691226373,0.9340159801678352,-0.05461727586744843
2023-03-01,0.045337165999812,0.02725075466022142,0.9026548432622624,0.020739140323211468
2023-04-01,0.0100693386625685,-0.013359857817990872,0.9302199104766903,0.02249694440600128
2023-05-01,-0.0235795620368708,-0.01895501765518648,0.9328555294257902,-0.005897269006866615
2023-06-01,0.0389450283820036,0.0322890259042492,0.9403890677377369,0.008580781413747057
2023-07-01,0.0719584706217209,0.058040586974976716,0.94353554633742,0.017195113680541697
2023-08-01,-0.0582140178503631,-0.06359667975279637,0.9468612445803868,0.002003213491549957
2023-09-01,-0.0192288820171929,-0.028102781716360936,0.9552041566266705,0.007615011891047064
2023-10-01,-0.0574744930039617,-0.03944247360356001,0.9523870954883829,-0.019909990129789973
2023-11-01,0.0914700653194105,0.07856206293706292,0.9399027407110226,0.01762936704895321
2023-12-01,0.0673534173084159,0.0371188329449903,0.9468873593150721,0.03220606360027674
2024-01-01,-0.0356161964555363,-0.04682829624709406,0.9493734342833606,0.008841343974205995
2024-02-01,0.0451064518466954,0.046259479401516757,0.9604798591721301,0.0006751535857505361
2024-03-01,0.0372852825122781,0.021803436049131264,0.9592964246704642,0.016369324264815365
2024-04-01,-0.0051295208119342,0.002636119631901801,0.9580883730751265,-0.007655156381294398
2024-05-01,-0.0094236871385437,0.002877766623643474,0.9586848224992417,-0.012182558323325586
2024-06-01,0.0127607407579406,0.0355494966442953,0.9448022103315784,-0.020826502247764625
2024-07-01,0.0288049710304466,-0.0013624856156502219,0.9513351931834747,0.030101151546820908
2024-08-01,0.0326562495961966,0.01396609419508299,0.945387323232366,0.019452881189096004
2024-09-01,0.0635964086610023,0.0644865081096806,0.9437839840619142,0.002735075119007009
2024-10-01,-0.052592470878311,-0.04383994533885638,0.9438677827213923,-0.011213358876697596
2024-11-01,-0.0418075666897411,-0.03657817636129779,0.9263590006358097,-0.007923043790608889
2024-12-01,-0.0127185930566658,-0.0028649044568269666,0.9303917641566629,-0.010053109544938273
2025-01-01,0.0277794857746236,0.016634432997359117,0.9262692347988536,0.012371522250846971
2025-02-01,-0.0095642080593372,0.003548661477816406,0.9199965885215632,-0.012828964512746182
2025-03-01,0.0233808565196133,0.021389838231943514,0.9254294958755894,0.003586069307765404
