,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2014-02-01,2.424466203946853e-10,0.008282207524903303,0.0007919950230248225,0.003132122883377931,0.0021760714409567337,0.019566368013745426,-0.000730299476587997,0.00054514701926641,0.015447760478621049,0.00028400942040781994,0.006240102674998
2014-03-01,9.906931319790213e-11,0.004079673519009601,0.003300065643587041,0.0017713921636733703,0.002813727673314875,-0.011944526660233093,0.006023649947826324,-0.001313701325078738,-0.0013404562962074464,0.005609503027892845,-0.00067074154664415
2014-04-01,3.234832480491657e-05,-0.007132542765063331,-1.984589484132367e-05,0.001304175908400255,-0.00032144083559340495,0.004511062547602463,-0.001235750501797413,-1.987963118670409e-09,-0.00037708166034277577,0.0013347515158796254,-0.0007288094101172616
2014-05-01,-0.0009019089102103524,-0.0019020960737542278,0.002146744075253281,0.005066165483647764,0.0023774923721058237,-0.002182998974835823,0.0026255526532288713,4.015410942781804e-10,0.006280385288197012,0.0054773806819013405,8.112437661797216e-05
2014-06-01,0.0028779187051435925,0.006242194963174927,-8.33383487219637e-05,0.003484792145515005,0.002540142531174286,0.00672769885948768,0.003677107042648338,2.482713017404097e-10,0.019780090084907602,-0.004063473611714701,0.004913024783136365
2014-07-01,0.002625376718234062,0.0015934717087465616,0.0015204051851135758,-0.0016169768730411346,0.0038067054823495874,7.7505469940243e-05,0.0021972426223508344,3.98406617236324e-09,-0.0024025348277005665,0.0013807620125389868,-2.210843619860125e-06
2014-08-01,-0.0033330638674191433,0.003709555794139103,0.0005512984068070429,0.010147107575853352,0.0025225356731344542,0.0022775668098992553,0.0036302052566571895,-3.362357492511612e-10,0.014478246771323304,0.001156962115762966,0.0022747183671474086
2014-09-01,-0.0042739975487504096,-0.005006915675160561,-0.0029121591219437503,-0.01047774972103921,-0.006009020359661273,0.009166278732235767,-0.0054256857660334315,-4.117404382784869e-09,-0.0072305555583638,-0.003294347512111176,-0.013825188680551458
2014-10-01,-0.0008218709905441911,0.0017590380213341739,0.002534269553401963,-0.0007274298646524432,0.004066813923608247,0.002128624822417426,-0.007054340616855536,1.0183919711320553e-09,0.0020501738644737076,0.0026562873039700508,0.0034720757024253113
2014-11-01,-0.0011420698032557043,0.0012539210161645342,0.0021154206987990276,-0.008148929618284489,0.0032921632608641804,-0.0076359570501596166,-0.0001914740631042507,2.290313603086521e-09,0.003790910597839911,-0.0006421736475806976,-0.0007018640779441394
2014-12-01,-4.045651290669685e-09,-0.007177340424296557,-0.0021980804383689135,-0.002281762905729662,0.0017241087947418487,-0.004228527917902143,-0.0020999863167957874,-8.754975113995167e-05,-0.010573948024662189,-0.00024606602565238335,-0.0024651077737577816
2015-01-01,-1.1954298801557233e-09,0.003852963401032791,0.006651236848199499,-0.0009254218654924491,-0.0036186380222041183,0.013765461952361117,-0.0012630065442740153,0.0011442414069382561,0.005817673137704384,0.0029521324385846943,0.0014260008057402757
2015-02-01,2.5347910053729347e-09,0.0071936423865189645,0.00025035741913393187,0.0061098481679009034,0.0058361782638120955,0.010510609086549959,0.00010446792692160218,0.003846355151718851,0.0019439634116958655,0.0018242238187480117,-0.004024126820328504
2015-03-01,-1.3036456296150172e-09,0.0049604015166327155,-0.003950278167813027,-0.000975338783242939,-0.0020449296846341827,0.003926772809308678,-0.0013784639908329631,0.002981657994931962,0.0007342856279257099,-0.0018633311689507735,-0.002108634603143542
2015-04-01,6.2777774254903856e-09,0.007887269977775316,0.003557142770783909,0.007930099575573316,0.011371481001063303,0.012713415182450264,0.0020602343980562366,0.03679700286497494,0.005869715872003724,0.005289833598178761,0.006431856456151447
2015-05-01,-1.3126762325045828e-09,0.00016334389310689834,-0.0001344833916104821,-0.004322787603824015,-0.00385061668017005,-0.0054188364597977465,-0.00022270768921674525,-0.017815486982313857,-0.00022250429767478613,-0.0034315090865994166,-0.004148879897354389
2015-06-01,2.7815885685443074e-05,-0.008330596870927692,-0.0004364913198800219,-0.00020409554333260946,-0.004739253268358476,-0.0005129266832487999,-1.823189147657415e-09,-0.004953906648847231,-0.004306045543411576,-0.000518222027304944,-0.00230910163809764
2015-07-01,-0.0008063110493283943,-0.011102871869683997,-0.0015783451999189866,-0.0018760862228983889,-0.008816176381751268,-0.001705559542244822,-1.6647641380577884e-09,-0.012200791243397673,-0.007991050001028356,-0.0028448314166864726,-0.0013064514716886666
2015-08-01,-1.4203880310982082e-09,-0.010545780802277001,-0.009471451685086781,-0.004976883240934336,-0.007070334877546181,-0.012431621997624476,-0.0007564255973568398,-0.013904422649217827,-0.005203270042882968,-0.007264267334056019,-0.003709295108026875
2015-09-01,-0.0035897923306153633,-0.0036693322492906445,-0.004331941145679015,-0.002415799028282464,-0.004377514889993152,-0.010546258867027546,-0.00023607931073246324,-0.010210597092124097,-0.0008889091568225914,-0.0013058955173296926,-1.9279111460643195e-09
