Factor,PC,Gross_Sharpe,TC_Adj_Sharpe,Stability,Total_TO,BreakEven_TC,DoF,r_Performance,r_Stability,r_Parsimony,r_TC_Robustness,r_LowTurnover,Composite
Corr03-EW,RiskParity,0.5164877715700881,0.4434046295668013,0.42430355583352597,0.1845648058870696,318.02066911147335,2,0.75,0.2125,0.51875,0.75,0.5,0.5443749999999999
Corr03-ICwt,TO_MVO,0.5351264145845791,0.4741024923038072,0.4427491948284728,0.1648541931235158,394.6106339332054,5,0.8625,0.3125,0.01875,0.9,0.6625,0.541875
All6-EW,BlackLitterman,0.4668379728808902,0.3749985588728734,0.8766381175201828,0.22896632857772078,228.74393316366647,2,0.525,0.875,0.51875,0.3,0.15,0.54
Corr05-EW,EqualWeight,0.4857112394750288,0.4124480266919135,0.35234613728797176,0.1836209882475732,298.3353438386687,1,0.65,0.125,0.80625,0.6375,0.5375,0.536875
Corr03-EW,MinVariance,0.44125509084802833,0.3614578194077061,0.8262186104524613,0.1988112746281388,248.83656708752588,2,0.45,0.7875,0.51875,0.4375,0.3125,0.5325000000000001
All6-ICwt,RiskParity,0.3818883469914788,0.32813804503230004,0.47172554781057474,0.1322183852851477,319.71868042095747,2,0.3875,0.3625,0.51875,0.7625,0.9,0.515
All6-EW,EqualWeight,0.45912392390044404,0.3864480138849415,0.2799741533109172,0.1841922508619055,284.283699662142,0,0.5625,0.0375,0.96875,0.575,0.5125,0.5093749999999999
Corr05-EW,HRP,0.47443118035538395,0.37885542860709825,0.5837947946611703,0.2350452945844484,223.3767741866097,1,0.5375,0.5125,0.80625,0.25,0.125,0.5006249999999999
All6-EW,MeanCVaR,0.4209065671419577,0.3370704552753483,0.6432461269603885,0.2144263164371506,225.92645459899828,1,0.4125,0.6,0.80625,0.275,0.225,0.49875
All6-ICwt,HRP,0.388596202088993,0.31147126586242224,0.6859033111905725,0.1913806634316615,226.73378999800389,1,0.2875,0.65,0.80625,0.2875,0.45,0.498125
Corr05-EW,Momentum,0.5207715051948331,0.4061133763974602,0.7192754213435192,0.2959046246745699,204.38775671267072,2,0.6125,0.7,0.51875,0.1875,0.0125,0.491875
All6-EW,Momentum,0.5337850647104381,0.42165381317027756,0.43536601609740905,0.2801015729449558,214.21617597273166,1,0.7125,0.275,0.80625,0.2125,0.025,0.47812499999999997
Corr05-EW,InverseVol,0.46147670129899476,0.38295225629389146,0.38771800160971115,0.1942104028028339,264.4584314744946,1,0.55,0.1625,0.80625,0.4875,0.35,0.475
All6-EW,MinVariance,0.32703107123886077,0.2434941758616732,0.8965318870709343,0.2086117932230499,176.16644884037083,1,0.175,0.8875,0.80625,0.0875,0.25,0.47375
Corr05-EW,RiskParity,0.4753490967958398,0.39809252029903036,0.4323868105844494,0.1914168577422938,276.8788150572032,2,0.5875,0.2625,0.51875,0.5625,0.4375,0.47375
All6-ICwt,MaxSharpe,0.3705775853000799,0.299086083298684,0.897160355413819,0.1809991584424974,233.2583715778978,3,0.25,0.9125,0.24375,0.325,0.5625,0.45687500000000003
All6-EW,HRP,0.4216683822450331,0.3227926500151902,0.5335509303963951,0.24847789916190138,191.90833557538375,0,0.3625,0.475,0.96875,0.15,0.1,0.45375000000000004
