,portfolio,benchmark,beta,hedged
2019-02-01,0.0049141434977334,0.0009714933376510082,0.8698484761408061,0.0040690914983967244
2019-03-01,0.0162936884549624,0.006831913982587201,0.8675763259560695,0.010366481622701498
2019-04-01,0.0050388625011151,0.019950289661950782,0.8699547134650106,-0.012316986025291257
2019-05-01,-0.0597462821101636,-0.07527519365479407,0.8672950844655078,0.005539523328828483
2019-06-01,0.0630077914895813,0.05697394789579158,0.8699728957406774,0.013442001056901028
2019-07-01,-0.0167336610902572,-0.016921676810192743,0.8713059107591452,-0.001989704065580307
2019-08-01,-0.0382454982477786,-0.05079989585442757,0.8715059848140829,0.006026915017287145
2019-09-01,0.023065622864019,0.016935377363282544,0.8696484523870127,0.008337798149450288
2019-10-01,0.0642183710057268,0.04093906093906097,0.873931264193559,0.028440445724356098
2019-11-01,-0.0141510446324844,-0.0018522428453521256,0.8822174695496325,-0.012516963636466436
2019-12-01,0.0712776233952609,0.07173693572424411,0.8826204871881675,0.007961134236942308
2020-01-01,-0.0544317652623,-0.04693807977320452,0.8877823052128675,-0.012760968598979024
2020-02-01,-0.0566279680170033,-0.05348570137620723,0.8941315070841931,-0.008804717238040036
2020-03-01,-0.1318304423201703,-0.15607844697271056,0.8978800775622274,0.008309285753479057
2020-04-01,0.1321030695167276,0.08998562304084468,0.8930548408586807,0.05174097325241682
2020-05-01,0.0230725737553523,0.005849028045062266,0.9025487622709275,0.01779354073279341
2020-06-01,0.0746941680617252,0.06959746332025585,0.9027498133729773,0.0118650710381316
2020-07-01,0.0700905873247553,0.08423274042809781,0.9068584734749476,-0.006296587076480981
2020-08-01,0.0139022055297784,0.02092833574315045,0.9058890312679774,-0.005056544262635144
2020-09-01,-0.034734751309477,-0.017703132092600993,0.9069469234108648,-0.018678950123356384
2020-10-01,-0.0015018774457904,0.019833641404805924,0.9069223030031366,-0.019489449185575353
2020-11-01,0.1291416128023795,0.0920830841172311,0.9029724553649658,0.04599312423946467
2020-12-01,0.1016884129288699,0.0715228161019692,0.9265992106243488,0.035415427987154774
2021-01-01,0.0029849717807841,0.02966869569257935,0.9434629248414713,-0.025006342633568376
2021-02-01,-0.0043654475610622,0.007288070579209771,0.9367822311656403,-0.011192782579146989
2021-03-01,-0.0103260257166878,-0.017046727297164055,0.9363246792488674,0.005635245752072247
2021-04-01,0.0396628762166303,0.023685270010558757,0.961976070579797,0.016878213241251477
2021-05-01,0.0367162205075586,0.021222757325932706,0.9632692716870408,0.016272990515016593
2021-06-01,0.0151098326645352,-0.001140814265264689,0.9667357525115253,0.01621269860174174
2021-07-01,-0.0748711853276591,-0.07044753535471115,0.9637192589104225,-0.006979538763551077
2021-08-01,0.0115318122572963,0.02415871028329941,0.9728343900957668,-0.011970611926657613
2021-09-01,-0.0332999626641572,-0.04246295857626459,0.9703895354109137,0.007905647980837066
2021-10-01,-0.007348868837893,0.009296943579921946,0.9689103564818484,-0.016356773756106804
2021-11-01,-0.0109750996781254,-0.04137576596165249,0.9674377148787144,0.029053376795172177
2021-12-01,0.0212059797114084,0.016157767110407173,0.9593830667575108,0.005704491549072323
2022-01-01,-0.0260489646662917,-0.019301791381563405,0.9586047566293335,-0.007546175636457944
