,portfolio,benchmark,beta,hedged
2019-02-01,0.000624202228838,0.0009714933376510082,0.869327514129035,-0.00022034365937507018
2019-03-01,0.004974418219152,0.006831913982587201,0.8683849143458983,-0.0009583128194355309
2019-04-01,0.0181887102460301,0.019950289661950782,0.868316153310859,0.0008655514693276002
2019-05-01,-0.0678783755197426,-0.07527519365479407,0.8679629851456158,-0.002542293727713224
2019-06-01,0.048153639972211,0.05697394789579158,0.8724872802116548,-0.0015554048703087242
2019-07-01,-0.0251622464355999,-0.016921676810192743,0.8677581350388075,-0.010478323725057607
2019-08-01,-0.0416913125207288,-0.05079989585442757,0.86761745018308,0.0023835635900556623
2019-09-01,0.0282562191080463,0.016935377363282544,0.8671928924806679,0.013569980227129684
2019-10-01,0.0797646968635782,0.04093906093906097,0.868920391440062,0.0441919120072208
2019-11-01,-0.0243407321812722,-0.0018522428453521256,0.8826882018702364,-0.02270577927468132
2019-12-01,0.0777553505285889,0.07173693572424411,0.8819399270596527,0.014487682668466048
2020-01-01,-0.0527407130190083,-0.04693807977320452,0.8878167861462074,-0.011068297886887561
2020-02-01,-0.0497649690890043,-0.05348570137620723,0.8935262406968464,-0.0019740914072877147
2020-03-01,-0.1316908007410586,-0.15607844697271056,0.8946231856183364,0.007940596696030311
2020-04-01,0.0917875832449801,0.08998562304084468,0.8904564172121168,0.01165930775142944
2020-05-01,0.030964178183412,0.005849028045062266,0.8889663046904089,0.02576458933616243
2020-06-01,0.0687471813678373,0.06959746332025585,0.891656860285837,0.006690125739839271
2020-07-01,0.0597635832112871,0.08423274042809781,0.8934537725654631,-0.015494476497724292
2020-08-01,0.0135523469717774,0.02092833574315045,0.8960073791562382,-0.005199596287544657
2020-09-01,-0.0326761486061951,-0.017703132092600993,0.8934453438966314,-0.016859367665673718
2020-10-01,0.0002025635171724,0.019833641404805924,0.8951823323625251,-0.017552161854823715
2020-11-01,0.1299633741028726,0.0920830841172311,0.8883398246463114,0.04816230330527997
2020-12-01,0.0906349703968368,0.0715228161019692,0.9123874190064145,0.025378452813490687
2021-01-01,0.0013702407138065,0.02966869569257935,0.9264419621077034,-0.026116083936803078
2021-02-01,0.0211846256823726,0.007288070579209771,0.9209679489054386,0.014472546269559707
2021-03-01,-0.0035042230829551,-0.017046727297164055,0.9200077918623973,0.012178898856189254
2021-04-01,0.031591241827374,0.023685270010558757,0.9234688383436372,0.00971863304486792
2021-05-01,0.0449454895156858,0.021222757325932706,0.9241812054244339,0.025331816067775074
2021-06-01,0.0026216586601074,-0.001140814265264689,0.927172359191107,0.0036793901138317308
2021-07-01,-0.0622842701420139,-0.07044753535471115,0.9267698613596491,0.003004382431800734
2021-08-01,0.014901786780095,0.02415871028329941,0.9297737085809047,-0.0075603468745399326
2021-09-01,-0.0235013947195435,-0.04246295857626459,0.9300959934519589,0.01599323292235669
2021-10-01,-0.0090773346853506,0.009296943579921946,0.9256319097739848,-0.017682882326294738
2021-11-01,-0.0264781887651819,-0.04137576596165249,0.9243408855008598,0.011767123382088292
2021-12-01,0.0243418162533973,0.016157767110407173,0.9203168887722067,0.00947155029684148
2022-01-01,-0.0091961887145351,-0.019301791381563405,0.9200871460143876,0.008563141430692674
2022-02-01,-0.0299586401495344,-0.030557095917168153,0.9210555392037069,-0.0018138576930476977
2022-03-01,0.001870598511144,-0.025202550989917305,0.925137382296921,0.02518642056116077
2022-04-01,-0.0260594234482915,-0.05745364734320668,0.9190335860333185,0.026742408100229383
2022-05-01,0.0073184139835919,0.0013752218474432087,0.9097987030888116,0.006067238930328669
2022-06-01,-0.0236576133933121,-0.07145044401347367,0.9092607091491627,0.04130946799940151
2022-07-01,-0.0147603849540684,-0.0068853867908501565,0.8905898910414991,-0.008628329082226582
