Strategy,Months,Sharpe_MSCI,Sharpe_EEM,Sharpe_Diff,Ret_MSCI,Ret_EEM,Vol_MSCI,Vol_EEM,MaxDD_MSCI,MaxDD_EEM
SF+EqualWeight,68,0.7890511719573172,0.5700791411637508,-0.21897203079356642,0.04957578394497039,0.035350915151515366,0.06282961828951207,0.062010539588153585,-0.07258180976027218,-0.07968792447792905
A6+EqualWeight,68,0.8956463491973081,0.6137483861130678,-0.2818979630842403,0.05059483422918702,0.03628348724848054,0.05648974539396145,0.05911785361794208,-0.048697655050735644,-0.05400774942512476
SF+Momentum,68,0.8708050214573262,0.6641040847641227,-0.20670093669320344,0.05967340670764698,0.0465956738956469,0.06852671406026255,0.0701632092990315,-0.15053861736662366,-0.16599502848334957
A6+Momentum,68,1.0212448745758342,0.7902002656873891,-0.23104460888844514,0.06592304967336018,0.05231375150930227,0.06455165779974248,0.06620315606170411,-0.10798355259992898,-0.13229810982143964
SF+TO_MVO,68,0.5593607119012522,0.35486545791352864,-0.2044952539877236,0.041808388547332584,0.027462213042068792,0.07474316243131732,0.07738767589140956,-0.09554126702349897,-0.1003530612400787
A6+TO_MVO,68,1.0695007985332734,0.788593518430195,-0.2809072801030784,0.06671637951605106,0.05272074746388064,0.06238085993722185,0.06685414758268445,-0.05072543029889076,-0.05235892707017831
SF+MaxSharpe,68,0.6073380318686035,0.3994424225468101,-0.20789560932179335,0.04448018255572219,0.030400685272917796,0.07323793377284399,0.07610780316994292,-0.0740058616773408,-0.08567100551097229
A6+MaxSharpe,68,0.7798789288655776,0.5238903377287512,-0.2559885911368265,0.05034560310561749,0.036435371030746275,0.06455566529903671,0.06954770570632476,-0.054774320899039,-0.07061052832108505
