Strategy,Ann. Mean,Ann. Std,Sharpe,IR,Max DD,Calmar,% Positive,Total Return,N Months
EqualWeight,0.07581951555114186,0.15891936465254494,0.47709425290562085,0.9263897439835186,0.2860766298265752,0.26503218944205614,0.5597014925373134,1.026309825170126,134
InverseVol,0.07095830138042915,0.15611521296920963,0.45452521910484245,0.8325573987436206,0.2939593620662469,0.24138813229713682,0.5522388059701493,0.9287983131672473,134
MinVariance,0.06375677348057385,0.15529782674722123,0.41054517513854816,0.5245490726547722,0.31710619376812843,0.20105811470586887,0.5447761194029851,0.7831618536190974,134
MaxSharpe,0.08335855151131746,0.16493401816298522,0.5054054490380744,0.8868475705842166,0.31385384574489894,0.26559671847727323,0.582089552238806,1.1785847030750056,134
RiskParity,0.07316790946407989,0.15728457575521454,0.4651944357083858,0.8594491812658931,0.2898660189948103,0.25241975488472096,0.5522388059701493,0.9730122439089322,134
HRP,0.06998011979668214,0.15764749136721296,0.44390252702261773,0.7364669608899022,0.2950239194510632,0.2372015120905816,0.5522388059701493,0.9031181966193447,134
Momentum,0.09442494782777801,0.15887743670008478,0.5943257254711715,1.0625568825759397,0.25294114991975675,0.3733079724581526,0.582089552238806,1.4906983623831889,134
BlackLitterman,0.08419478163968841,0.16614308797317,0.5067606643574892,0.8481793719042167,0.28893033829900744,0.2914016649665815,0.5970149253731343,1.1930142203343235,134
MeanCVaR,0.060563597145885356,0.1543195213501172,0.3924558384838417,0.44439735903397776,0.32225153768005055,0.18793889264856295,0.5597014925373134,0.7234128782689506,134
TO_MVO,0.09000451828481339,0.16968665108500205,0.5304160209970019,0.9140029985574575,0.28363662921846716,0.31732332503320176,0.5970149253731343,1.3251553569759684,134
