Strategy,Alpha (ann bps),Alpha t-stat,Alpha p-val,R-squared,Hit Rate,Significant (5%)
TO_MVO Long-Only,-106.90228825114293,-0.2355497038847905,0.8137821057282946,0.6165174036885032,0.5072463768115942,NO
TO_MVO Hedged,305.5842788449872,0.9606925854785656,0.33670676038214875,0.15809808084217924,0.5942028985507246,NO
Mom Long-Only,-112.61721265544301,-0.23739929051126235,0.8123470400918538,0.6031522990332036,0.5072463768115942,NO
Mom Hedged,295.61361317631713,1.107196941549878,0.268208789593927,0.19883286229323083,0.5362318840579711,NO
