Strategy,Ann. Mean,Ann. Std,Sharpe,IR,Max DD,Calmar,% Positive,Total Return,N Months
MSCI EM,0.06474532635528715,0.20312440806780108,0.3187471509267156,,0.6266776328087033,0.10331520221186993,0.5647058823529412,1.531098965626267,255
EW All Industries,0.11255277358680318,0.2014766297923765,0.5586393503940872,,0.5528238821957456,0.20359607681881975,0.5882352941176471,6.033233737089145,255
VW All Industries,0.12166582787666533,0.2128692367675735,0.5715519523824344,,0.5992513816013086,0.2030296994085389,0.5882352941176471,7.102735419326736,255
