ym,A_long,A_hedged_eem,A_hedged_msci,A_beta_eem,A_beta_msci,B_long,B_hedged_eem,B_hedged_msci,B_beta_eem,B_beta_msci,EEM_ret,MSCI_ret
2014-02-01,0.0550376433268652,,,,,0.0557354852451601,,,,,0.031112,0.03191568876597661
2014-03-01,0.0183851211414449,,,,,0.0083285862462099,,,,,0.030425,0.029210902092257962
2014-04-01,-0.0032282194446405,,,,,-0.0026331347590313,,,,,0.003416,0.0006333886291660651
2014-05-01,0.0162471849852625,,,,,0.0190678413736927,,,,,0.034776,0.03256370066714909
2014-06-01,0.042787052558335,,,,,0.0460961574030224,,,,,0.026644,0.022467864823049633
2014-07-01,0.0122004965279497,,,,,0.0091797506389784,,,,,0.018459,0.014265593178400815
2014-08-01,0.0361572623123714,,,,,0.0374151325670691,,,,,0.021976,0.02074556423993923
2014-09-01,-0.0256844178621258,,,,,-0.0492893453287836,,,,,-0.074706,-0.07588153105121898
2014-10-01,0.0192355959943363,,,,,0.0100636427379706,,,,,0.0115,0.010683059293963293
2014-11-01,-0.0047395862413461,,,,,-0.0080100503963476,,,,,-0.010895,-0.011170490222130347
2014-12-01,-0.0364788101167293,,,,,-0.0296342648292148,,,,,-0.046496,-0.048182578230750894
2015-01-01,0.0462752666312813,,,,,0.0298026423631605,,,,,0.005349,0.005542135918269242
2015-02-01,0.0411962098823497,,,,,0.0335955213474626,,,,,0.029896,0.029814581795114314
2015-03-01,0.0090985372847496,,,,,0.000282140246536,,,,,-0.01476,-0.015864200024235497
2015-04-01,0.0693314395772554,,,,,0.0999080579747886,,,,,0.076404,0.0751203094698174
2015-05-01,-0.0235293087187431,,,,,-0.0394044695081308,,,,,-0.041058,-0.041573612781309
2015-06-01,-0.0243941784838965,,,,,-0.0262828254809126,,,,,-0.025955,-0.03183565354205253
2015-07-01,-0.0533218456967303,,,,,-0.0502284760633911,,,,,-0.071554,-0.07258421187966069
2015-08-01,-0.0753875322419439,,,,,-0.0753337547553973,,,,,-0.089464,-0.09199494277348941
2015-09-01,-0.0315673366525471,,,,,-0.0415721215158081,,,,,-0.030186,-0.03258705556166264
2015-10-01,0.0704579460237806,,,,,0.086020523166797,,,,,0.071407,0.07043747238179421
2015-11-01,-0.021158119700347,,,,,-0.0204418309859126,,,,,-0.03959,-0.03955935082090967
2015-12-01,-0.006810897610255,,,,,0.0056500190908377,,,,,-0.022431,-0.024757460395431585
2016-01-01,-0.0555084055171133,,,,,-0.0691602946959847,,,,,-0.065619,-0.06519001687359904
2016-02-01,-0.0090239682168787,-0.007364147748227739,-0.006708281604276212,0.8391407829377957,0.8426942502930005,-0.0084091566458216,-0.006511903180209247,-0.005769060676669544,0.959177687367216,0.960749041480111,-0.001978,-0.0027479558710615803
2016-03-01,0.0918269344444777,-0.018551275057472505,-0.01770896523124378,0.837378499263737,0.8406003172688604,0.0938751762491937,-0.032352228086087675,-0.031072932322425403,0.9576175848944831,0.958876678955394,0.131814,0.13030675509570044
2016-04-01,-0.010435781194217,-0.014315240196131711,-0.013612828542738483,0.7818337367824892,0.7842339885671786,0.002035551181928,-0.0023093540893107307,-0.0015159630020832996,0.8756358869888614,0.8766687519706811,0.004962,0.004051147227533525
2016-05-01,-0.0205787111196803,0.00908838665766535,0.009889719322163315,0.7797281795980249,0.7818958635593335,-0.0294607583495649,0.003825359039182248,0.004665125286651833,0.8748453897378877,0.875755228231916,-0.038048,-0.038967376426760625
2016-06-01,0.0391908123085668,0.008208874591255366,0.013423180076314802,0.77834286439672,0.7807157465640501,0.0467626686264249,0.011903681971335706,0.017821285369305218,0.8757439179773695,0.8768750435632777,0.039805,0.033005139637129144
2016-07-01,0.0422989605534269,0.003526903428406933,0.005305930307242905,0.7793221668915191,0.7837410853020587,0.0380125597752026,-0.005750600976772359,-0.003654614682428038,0.8796438413695195,0.8827683570005002,0.049751,0.04720057547056711
2016-08-01,0.0182634172185632,-0.000585353158250531,0.00017151184276405912,0.7771406933624857,0.7819266001286173,0.0232450661967092,0.0021040717969691355,0.002992341508930782,0.8716498062068138,0.8753165478987581,0.024254,0.023137600604485442
