,portfolio,benchmark,beta,hedged
2019-02-01,-0.0059110638012932,0.0009714933376510082,0.8194603877124291,-0.006707164108424737
2019-03-01,0.0272382177950497,0.006831913982587201,0.813117382223725,0.02168306978195073
2019-04-01,0.0127480622202762,0.019950289661950782,0.8171973095532138,-0.0035552608162772743
2019-05-01,-0.0622210999849614,-0.07527519365479407,0.816166569951771,-0.0007840033772728086
2019-06-01,0.0550763667760845,0.05697394789579158,0.8194253475851718,0.008390469718276013
2019-07-01,-0.0180191103483174,-0.016921676810192743,0.8167907937937547,-0.004197640514198698
2019-08-01,-0.0480757573912362,-0.05079989585442757,0.8176158400264851,-0.006540957868960445
2019-09-01,0.0189346941850864,0.016935377363282544,0.8212069480714266,0.0050272446261472176
2019-10-01,0.0526692368888929,0.04093906093906097,0.8199416257989548,0.019101596703836765
2019-11-01,-0.0239327326555558,-0.0018522428453521256,0.8261469662459305,-0.02240250784811741
2019-12-01,0.079973610690766,0.07173693572424411,0.8252965045207641,0.020769368392516606
2020-01-01,-0.0534765865677662,-0.04693807977320452,0.8374936488866156,-0.0141662428667741
2020-02-01,-0.0398355640970187,-0.05348570137620723,0.8444488666657967,0.005330375812944731
2020-03-01,-0.1092827006458022,-0.15607844697271056,0.8439222568245707,0.022435374565081767
2020-04-01,0.0862572039778931,0.08998562304084468,0.8274108922397458,0.011802119328918378
2020-05-01,0.02969533293432,0.005849028045062266,0.8288886315793196,0.024847140081979278
2020-06-01,0.1091593448658574,0.06959746332025585,0.830516776493363,0.05135748397700345
2020-07-01,0.0592950435766159,0.08423274042809781,0.8519192832115733,-0.012464452271835694
2020-08-01,0.019060900972582,0.02092833574315045,0.857820746108323,0.001108140390587195
2020-09-01,-0.0319810764441004,-0.017703132092600993,0.8495846893526043,-0.016940766464639864
2020-10-01,0.0075461235829109,0.019833641404805924,0.8520506085837491,-0.009353142646485834
2020-11-01,0.1127642938786934,0.0920830841172311,0.8470802581561364,0.03476253121285605
2020-12-01,0.1048641039164935,0.0715228161019692,0.8657748551819816,0.04294144816360362
2021-01-01,0.0042158093108459,0.02966869569257935,0.8892001125663078,-0.022165598238691187
2021-02-01,-0.0008506348843846,0.007288070579209771,0.8798292560340585,-0.007262892600014443
2021-03-01,-0.0045043894727926,-0.017046727297164055,0.8788610541624491,0.010477315249612797
2021-04-01,0.061067005716684,0.023685270010558757,0.8824282308683021,0.040166454803628585
2021-05-01,0.038144784266496,0.021222757325932706,0.8867468651204301,0.019325570738513532
2021-06-01,0.0059076171877493,-0.001140814265264689,0.8876309686448178,0.006920239259070022
2021-07-01,-0.0398671581795318,-0.07044753535471115,0.8868648055087189,0.022610281561392713
2021-08-01,0.0187764015140392,0.02415871028329941,0.8793941354458149,-0.002468626629028803
2021-09-01,-0.0175770541174639,-0.04246295857626459,0.8809027722288321,0.019828683809405633
2021-10-01,-0.0019949701494381,0.009296943579921946,0.875695890303352,-0.010136265434757881
2021-11-01,-0.0361128267915704,-0.04137576596165249,0.8744504841197044,6.823178442020433e-05
2021-12-01,0.0334961469147812,0.016157767110407173,0.8745360997119263,0.01936559628599207
2022-01-01,-0.0147074173240806,-0.019301791381563405,0.8756982149704482,0.0021951269344864556
2022-02-01,-0.0384743051168621,-0.030557095917168153,0.8810977537689464,-0.011550516542542993
2022-03-01,0.0362797205397076,-0.025202550989917305,0.8895086055167803,0.058697606526214495
2022-04-01,-0.0275281827812675,-0.05745364734320668,0.8758161987863434,0.022790652241270873
2022-05-01,0.0168418236996254,0.0013752218474432087,0.8685970958965845,0.015647309996722696
2022-06-01,-0.0512730761114262,-0.07145044401347367,0.8687862953278028,0.010802090442566172
2022-07-01,-0.0097100556207635,-0.0068853867908501565,0.8670401286977186,-0.0037401489714912082
2022-08-01,0.0433429702697013,0.00033206544708086483,0.8593203559414796,0.0430576196715199
2022-09-01,-0.1276676527887324,-0.11902103388960983,0.858623595139285,-0.02547338477324093
2022-10-01,-0.0368841264200149,-0.03154865892508474,0.885123476768789,-0.008959667744851213
2022-11-01,0.1062598458545224,0.14635210337672144,0.8871086739779755,-0.023570374505888544
2022-12-01,-0.0286302876846465,-0.016363430663690837,0.8643403352188465,-0.01448671453946161
2023-01-01,0.0519605353616551,0.0785461845709865,0.8650383908397519,-0.01598492974623321
2023-02-01,-0.0969569231174129,-0.06542898691226373,0.8693652865721928,-0.04007523316030449
2023-03-01,0.0182511423999058,0.02725075466022142,0.8871529694192078,-0.00592444551582395
2023-04-01,-0.004405415812084,-0.013359857817990872,0.887203290066615,0.007447493998859691
2023-05-01,-0.0504424378661592,-0.01895501765518648,0.8871970381134832,-0.033625602345088976
2023-06-01,0.0377958604383877,0.0322890259042492,0.8929636733162623,0.008962933259125387
