lambda,gamma,bounds,bounds_tuple,Dev_Sharpe,Dev_TC_Sharpe,PC_Turnover,Total_Turnover,Ann_Return,Ann_Vol,Hold_Sharpe
1.5,0.0,2%-20%,"(0.02, 0.2)",0.6220535093659615,0.5054302988675655,0.12114668020989526,0.30533893107180077,0.08766687733209927,0.14093140865237655,0.33152685276923954
1.5,0.0,5%-15%,"(0.05, 0.15)",0.6321049382003314,0.5365269466066575,0.062247055105055946,0.24643930596696145,0.0877307545694674,0.1387914399454717,0.29739900647500406
1.5,0.0005,2%-20%,"(0.02, 0.2)",0.6628243624779614,0.5798769445195487,0.03857773374720857,0.22276998460911407,0.0958214792201578,0.1445654152812523,0.40243322299325834
1.5,0.0005,5%-15%,"(0.05, 0.15)",0.6483473425943592,0.5700313802511355,0.02011863994929731,0.2043108908112028,0.09104572706772673,0.14042739298260656,0.3429733443389748
1.5,0.001,2%-20%,"(0.02, 0.2)",0.6631598938748524,0.5846327241494567,0.024970836950531143,0.20916308781243664,0.09508104754414802,0.1433757505879738,0.37044202373767504
1.5,0.001,5%-15%,"(0.05, 0.15)",0.6477511137569327,0.5718003284288864,0.013116355490232028,0.1973086063521375,0.09058004528244804,0.13983772989148113,0.3273854450851558
1.5,0.005,2%-20%,"(0.02, 0.2)",0.6011261773204388,0.5288722326034778,0.010090341479049508,0.194282592340955,0.08700587374570301,0.1447381215929369,0.1668882524446231
1.5,0.005,5%-15%,"(0.05, 0.15)",0.6081324390903083,0.5357323185219899,0.005583598107369502,0.189775848969275,0.08580457184367404,0.1410952061232372,0.2344932566084946
1.5,0.01,2%-20%,"(0.02, 0.2)",0.5614591337579938,0.48924390374487386,0.005143811431011616,0.1893360622929171,0.07923796217448147,0.14112863681479526,0.22363410779199583
1.5,0.01,5%-15%,"(0.05, 0.15)",0.5958351658456373,0.5241000820558457,0.002389600709027486,0.186581851570933,0.0834208335213581,0.1400065627260575,0.27116160393409267
2.0,0.0,2%-20%,"(0.02, 0.2)",0.613356518778536,0.49320463243407836,0.12979532408879677,0.3139875749507023,0.0862790708131416,0.14066708051780613,0.35536231870749657
2.0,0.0,5%-15%,"(0.05, 0.15)",0.6245358784767324,0.5257020377030472,0.07028147282028405,0.25447372368218957,0.08655761267617133,0.13859510023233373,0.31258655662921997
2.0,0.0005,2%-20%,"(0.02, 0.2)",0.6528464723668987,0.5653936760925221,0.047012550502110895,0.2312048013640164,0.0929062251758749,0.14230945422595734,0.38941328842557527
2.0,0.0005,5%-15%,"(0.05, 0.15)",0.645428690711554,0.5647140740292519,0.025140052253314144,0.20933230311521964,0.09010376422965297,0.13960297322748066,0.34083993494539083
2.0,0.001,2%-20%,"(0.02, 0.2)",0.6675786526682856,0.5900975930866487,0.02164067190153698,0.20583292276344248,0.09546239704508566,0.1429979773372414,0.3819847412040659
2.0,0.001,5%-15%,"(0.05, 0.15)",0.6522169171605773,0.5767237387082723,0.011475759119226922,0.19566800998113243,0.09099442428578955,0.13951558429660682,0.33383067627949503
2.0,0.005,2%-20%,"(0.02, 0.2)",0.6091591732929941,0.5367257331728877,0.009206732926534133,0.19339898378843962,0.08755006429002163,0.14372280370784418,0.18205779937333133
2.0,0.005,5%-15%,"(0.05, 0.15)",0.6145049985282932,0.5418579390228244,0.0051948091698255814,0.18938706003173109,0.0862319658083414,0.14032752543081403,0.250106737203051
2.0,0.01,2%-20%,"(0.02, 0.2)",0.5883936507948719,0.5180160694441553,0.004095247706489288,0.18828749856839477,0.08473556525328688,0.14401169206842396,0.21247304525392455
2.0,0.01,5%-15%,"(0.05, 0.15)",0.6077575459181388,0.5361372523309459,0.0017034393840773758,0.18589569024598288,0.08491300079434845,0.1397152554742376,0.28426105631403353
2.5,0.0,2%-20%,"(0.02, 0.2)",0.6112041836382311,0.4876472474280504,0.1361134315722689,0.3203056824341744,0.08528927756530741,0.13954301990804063,0.37609349688451965
2.5,0.0,5%-15%,"(0.05, 0.15)",0.6185218794327139,0.5190756885907236,0.07088418770953886,0.25507643857144435,0.08539803223091338,0.1380679246290162,0.3254288165647877
2.5,0.0005,2%-20%,"(0.02, 0.2)",0.6568915499679766,0.5702350616172993,0.042294624432337266,0.22648687529424277,0.09241580150778902,0.14068654333016506,0.36930315592307333
2.5,0.0005,5%-15%,"(0.05, 0.15)",0.6474665402031727,0.568250830944292,0.01983176894481085,0.20402401980671633,0.0897631159202143,0.13863745899833982,0.32796440471813126
2.5,0.001,2%-20%,"(0.02, 0.2)",0.6679110949747489,0.5909432155620095,0.020296236518554434,0.20448848738045994,0.0955187441427716,0.14301116550007723,0.3916750063587946
2.5,0.001,5%-15%,"(0.05, 0.15)",0.6522978155507367,0.5768280274350075,0.011380200456636158,0.19557245131854165,0.090989457891671,0.13949066779389466,0.3436088115453268
2.5,0.005,2%-20%,"(0.02, 0.2)",0.5914078584057142,0.5178943243836661,0.009194906309836586,0.19338715717174207,0.08374483358943088,0.1416025039220577,0.2470116023272246
2.5,0.005,5%-15%,"(0.05, 0.15)",0.6174238658454874,0.5440671007691512,0.005196802949869498,0.18938905381177498,0.08580423436788576,0.13897136005649413,0.23857012808206235
2.5,0.01,2%-20%,"(0.02, 0.2)",0.5381313208270964,0.4665355846024073,0.006097171191181819,0.1902894220530873,0.07698858941919143,0.14306654610042324,0.2170304036427951
2.5,0.01,5%-15%,"(0.05, 0.15)",0.5906290791492949,0.517817663904683,0.0033809734039071623,0.18757322426581266,0.08190243265037789,0.13866982771716052,0.267823673040001
3.0,0.0,2%-20%,"(0.02, 0.2)",0.6216590579623286,0.49811718349380374,0.1335467556516792,0.31773900651358467,0.08606354236085799,0.13844170893762364,0.38153679737525154
3.0,0.0,5%-15%,"(0.05, 0.15)",0.6376976335679861,0.5388507414898533,0.06755190933952841,0.2517441602014339,0.0874222130381764,0.13709038333581358,0.3268478898919037
3.0,0.0005,2%-20%,"(0.02, 0.2)",0.6664139788782876,0.5789341146736202,0.04322915249530602,0.2274214033572115,0.09325624793874422,0.1399374126210764,0.3666236377435606
3.0,0.0005,5%-15%,"(0.05, 0.15)",0.6543562388657027,0.5753860635056642,0.0187316028625884,0.2029238537244939,0.09050964288008173,0.13831860614178013,0.32561101529374115
3.0,0.001,2%-20%,"(0.02, 0.2)",0.6698861759996954,0.5928219229787431,0.02003648537154425,0.20422873623344975,0.09555985833149852,0.14265088869596554,0.3952585117081921
3.0,0.001,5%-15%,"(0.05, 0.15)",0.6604641002791338,0.5845612719967366,0.01155041339703893,0.19574266425894443,0.09168269220759698,0.13881555737677317,0.34233038390914017
3.0,0.005,2%-20%,"(0.02, 0.2)",0.5844755977149222,0.5105587647292937,0.009197504973371847,0.19338975583527734,0.0823127483602686,0.1408317963693954,0.2410839104806159
3.0,0.005,5%-15%,"(0.05, 0.15)",0.6045302661342351,0.530652856640948,0.00521183946904426,0.18940409033094976,0.08342694661954109,0.13800292771613895,0.25077289834854694
3.0,0.01,2%-20%,"(0.02, 0.2)",0.6172189335721026,0.5463728809055108,0.0040627894632434885,0.18825504032514898,0.08828375560201453,0.143034749584041,0.2184466744287484
3.0,0.01,5%-15%,"(0.05, 0.15)",0.5900309554457503,0.5180510572379307,0.0033830010452605896,0.1875752519071661,0.08276557034454496,0.14027326800509662,0.24549509384277357
5.0,0.0,2%-20%,"(0.02, 0.2)",0.6503214858894254,0.528829417639515,0.12565264223358483,0.30984489309549035,0.08927608246485257,0.13727992139572678,0.365091451839352
5.0,0.0,5%-15%,"(0.05, 0.15)",0.6526686377708506,0.5544294207446865,0.06514772951305069,0.2493399803749562,0.08916827758388045,0.136621054580513,0.3332910100035867
5.0,0.0005,2%-20%,"(0.02, 0.2)",0.7024474706350172,0.6148310335696566,0.039272683691049984,0.22346493455295546,0.096438013068265,0.13728857615656923,0.3626256300867485
5.0,0.0005,5%-15%,"(0.05, 0.15)",0.6780465754073016,0.5987291839713785,0.017661479151164113,0.2018537300130696,0.09288348201925908,0.1369868758108012,0.33693874210546226
5.0,0.001,2%-20%,"(0.02, 0.2)",0.6980057548698305,0.6163190326737784,0.025262252396671892,0.2094545032585774,0.09634026587625238,0.13802216558260133,0.37076237951983027
5.0,0.001,5%-15%,"(0.05, 0.15)",0.6719281330019342,0.5948060935761935,0.012777631081194393,0.1969698819430999,0.0923750632621386,0.13747759429187748,0.3245685382580725
5.0,0.005,2%-20%,"(0.02, 0.2)",0.5824619296223843,0.5085873659028636,0.00718045360130055,0.19137270446320603,0.08122004293131997,0.1394426636329274,0.24564731723631225
5.0,0.005,5%-15%,"(0.05, 0.15)",0.6000367552273455,0.526977503324878,0.00402688604446277,0.18821913690636827,0.08321028613481182,0.13867531515346027,0.22985495241341714
5.0,0.01,2%-20%,"(0.02, 0.2)",0.6133922869933081,0.5378075088057139,0.014497719382430784,0.19868997024433627,0.08679416259104898,0.14149862075457736,0.26057164580400305
5.0,0.01,5%-15%,"(0.05, 0.15)",0.6170204416829339,0.5458825770228338,0.002179256110675118,0.18637150697258062,0.08701394303404612,0.14102278815384803,0.24822781670906435
