ym,stock,allocation,total
2014-03-01,0.14044960887066152,0.07821516216631058,0.2186647710369721
2014-04-01,0.1388129414445204,0.11179781704158064,0.25061075848610104
2014-05-01,0.23989139515455304,0.09581532041543457,0.3357067155699876
2014-06-01,0.15065124933545987,0.050190514755270824,0.20084176409073068
2014-07-01,0.1574865193286246,0.0836707765116922,0.2411572958403168
2014-08-01,0.1278727120832384,0.09172608242252409,0.21959879450576247
2014-09-01,0.08164730006835269,0.10911728598821016,0.19076458605656285
2014-10-01,0.09628047391205286,0.06108582551521989,0.15736629942727276
2014-11-01,0.08050239234449762,0.052748082668466374,0.133250475012964
2014-12-01,0.11710526315789474,0.09527295153753462,0.21237821469542936
2015-01-01,0.10765740107845372,0.10086813817729837,0.20852553925575207
2015-02-01,0.28834776334776335,0.06420000756117729,0.3525477709089406
2015-03-01,0.1246031746031746,0.05900952137713039,0.183612695980305
2015-04-01,0.13964646464646466,0.10370702818558591,0.24335349283205057
2015-05-01,0.23185425685425687,0.12844313997220264,0.3602973968264595
2015-06-01,0.15097402597402598,0.08389828617847134,0.23487231215249732
2015-07-01,0.11071428571428572,0.10281257851717678,0.2135268642314625
2015-08-01,0.1418831168831169,0.08300595041192937,0.22488906729504626
2015-09-01,0.138997113997114,0.08017917818046597,0.21917629217757997
2015-10-01,0.08409090909090909,0.07292877167761032,0.1570196807685194
2015-11-01,0.06464646464646465,0.07287582605034823,0.13752229069681288
2015-12-01,0.09632034632034632,0.06652620861762566,0.16284655493797198
2016-01-01,0.12813852813852813,0.07909694364231594,0.20723547178084406
2016-02-01,0.31518481518481517,0.08368864387458338,0.3988734590593985
2016-03-01,0.1231851481851482,0.06232940469369736,0.18551455287884555
2016-04-01,0.23082195582195586,0.09682456386857567,0.32764651969053155
2016-05-01,0.134987234987235,0.19408928849761986,0.32907652348485483
2016-06-01,0.2717060717060717,0.060407182020547116,0.3321132537266188
2016-07-01,0.20055500055500056,0.05852410433429191,0.2590791048892925
2016-08-01,0.12523587523587523,0.10079837013033494,0.22603424536621017
