ym,gross_return,hedge_return,net_return,beta
2019-02-01,0.0004290891744877,0.000816840896785303,-0.000387751722297603,0.8408095713351548
2019-03-01,0.0070046943494585,0.005717688446565989,0.0012870059028925107,0.836908728818734
2019-04-01,0.0093628426925978,0.016717272560059476,-0.007354429867461676,0.8379463578387375
2019-05-01,-0.0683118919035189,-0.06295795484275486,-0.005353937060764036,0.8363705463379467
2019-06-01,0.0514925001148229,0.048044798473147236,0.0034477016416756615,0.8432766246254123
2019-07-01,-0.0208780749828223,-0.014231176224694225,-0.006646898758128074,0.8410027200213457
2019-08-01,-0.0415644277492045,-0.042673681126294924,0.0011092533770904259,0.8400348152008192
2019-09-01,0.0248742811593763,0.01421959608302799,0.010654685076348308,0.8396385730298153
2019-10-01,0.0835978954217494,0.03446357435700992,0.049134321064739486,0.8418262062315008
2019-11-01,-0.016363438473773,-0.0015886526907635651,-0.014774785783009435,0.8576913630682969
2019-12-01,0.0807294904027279,0.061417771116372186,0.019311719286355708,0.8561526986943147
2020-01-01,-0.05243983319031,-0.040580835004472175,-0.011858998185837827,0.8645610387248628
2020-02-01,-0.0505104459663197,-0.0465573622382855,-0.0039530837280341985,0.8704637134850445
2020-03-01,-0.1344603825920789,-0.13654292956504527,0.002082546972966365,0.8748352653003976
2020-04-01,0.0971613504464105,0.07889924729810598,0.018262103148304523,0.8767983665823309
2020-05-01,0.0291222280631113,0.005154574158876228,0.023967653904235074,0.8812702074881836
2020-06-01,0.0716603018230742,0.06142176269409291,0.010238539128981289,0.8825287555590628
2020-07-01,0.061768886138471,0.07459248956472447,-0.012823603426253473,0.885552211475271
2020-08-01,0.0206874710947334,0.018622862623299638,0.0020646084714337626,0.8898396342573316
2020-09-01,-0.025153264554224,-0.015709727214642477,-0.009443537339581524,0.8873981808681382
2020-10-01,-0.0013148748518947,0.01762701077001302,-0.018941885621907722,0.8887430406875153
2020-11-01,0.1367819332240321,0.08159296726620568,0.05518896595782641,0.8860798706777628
