Strategy,Ann. Mean,Ann. Std,Sharpe,Max DD,Calmar,% Positive,Total Return,N Months
MSCI EM,0.02966203417974582,0.1651893798833321,0.17956380852507076,0.38369870877264395,0.0773055355714572,0.5597014925373134,0.19667282414871856,134
Single-Factor (Raw),0.07522173982347917,0.16713044923958364,0.45007800891893635,0.3106323652383805,0.2421568009043543,0.5373134328358209,0.98523384302652,134
Hedged Portfolio,0.048114670916645924,0.05670986344099157,0.8484356688093736,0.057550844083117156,0.8360376234822352,0.5895522388059702,0.679824514838931,134
Hedged (10bps TC),0.045114670916645935,0.05670986344099157,0.7955348184463396,0.061355826394096216,0.7352956282728345,0.5895522388059702,0.6246790235002615,134
Hedged (20bps TC),0.042114670916645926,0.05670986344099157,0.7426339680833052,0.06558609709435109,0.6421280238106019,0.582089552238806,0.5713307835979409,134
Hedged (30bps TC),0.03911467091664594,0.05670986344099157,0.6897331177202711,0.0697983577693124,0.5603952896130047,0.5746268656716418,0.5197216469856651,134
