,portfolio,benchmark,beta,hedged
2019-02-01,0.0019752103502265,0.0009714933376510082,0.8514389011141217,0.0011480431303772351
2019-03-01,0.0220017421489552,0.006831913982587201,0.8451428038947634,0.016227799209743612
2019-04-01,-0.0025930528277075,0.019950289661950782,0.8505794141602077,-0.019562358520696044
2019-05-01,-0.0461306358646944,-0.07527519365479407,0.846676770065955,0.01760312196503591
2019-06-01,0.0662935433081876,0.05697394789579158,0.8424235545850335,0.01829734760307237
2019-07-01,-0.0208517328267416,-0.016921676810192743,0.8449772741713378,-0.006553300481256597
2019-08-01,-0.0445578726054032,-0.05079989585442757,0.8475333432072437,-0.0015032670373203993
2019-09-01,0.0209420720725886,0.016935377363282544,0.8477339746386476,0.006585377308407709
2019-10-01,0.0637810848699074,0.04093906093906097,0.8543282655127846,0.02880568794611725
2019-11-01,-0.0124730358091931,-0.0018522428453521256,0.8629555968119311,-0.010874632479141628
2019-12-01,0.0679161746202696,0.07173693572424411,0.8630543645628924,0.006003299143093041
2020-01-01,-0.055740750584255,-0.04693807977320452,0.8673386030778214,-0.015029542042608444
2020-02-01,-0.0466675054594436,-0.05348570137620723,0.8750136522507528,0.00013321344494460208
2020-03-01,-0.1195346855696713,-0.15607844697271056,0.8759976039893296,0.01718966001279877
2020-04-01,0.1141460353526104,0.08998562304084468,0.8652726196351987,0.03628393957455324
2020-05-01,0.0290959445614397,0.005849028045062266,0.8694056152855091,0.024010766735100143
2020-06-01,0.0948860097903097,0.06959746332025585,0.8681127394725076,0.03446756524702503
2020-07-01,0.08392268318078,0.08423274042809781,0.8812918070302876,0.009689059157788518
2020-08-01,0.0209989978600249,0.02092833574315045,0.8885168120746296,0.002403819703493338
2020-09-01,-0.0236196519209365,-0.017703132092600993,0.8886084079643002,-0.00788849989614862
2020-10-01,0.0045501579258555,0.019833641404805924,0.8859545039776738,-0.013021546007010387
2020-11-01,0.108499007214063,0.0920830841172311,0.8749548821819332,0.02793046319932202
2020-12-01,0.1132591814641972,0.0715228161019692,0.892630696749593,0.04941572029360343
2021-01-01,0.0055694237827973,0.02966869569257935,0.9173551182095412,-0.021647306061391737
2021-02-01,-0.0158002290248447,0.007288070579209771,0.906144196064532,-0.022404271880704308
2021-03-01,-0.0068950127319642,-0.017046727297164055,0.9058614677260721,0.00854696067737093
2021-04-01,0.0703929813167582,0.023685270010558757,0.9297469205788286,0.04837167446136312
2021-05-01,0.0200780666513859,0.021222757325932706,0.9345429235459657,0.0002444889743021851
2021-06-01,0.040679188279281,-0.001140814265264689,0.9345904945578861,0.04174538244765342
2021-07-01,-0.0640457390707067,-0.07044753535471115,0.9294202070181281,0.0014296238225858515
2021-08-01,0.012649786489287,0.02415871028329941,0.935731865768161,-0.009956288558657218
2021-09-01,-0.0377467001952,-0.04246295857626459,0.934243071629618,0.0019240246555706497
2021-10-01,0.0011543704858225,0.009296943579921946,0.9359873767229162,-0.0075474513470895985
2021-11-01,-0.0244512807275509,-0.04137576596165249,0.9345817728534004,0.014217755978057661
2021-12-01,0.0321568861066304,0.016157767110407173,0.9351078508521387,0.01704763122944818
2022-01-01,-0.0249127807879906,-0.019301791381563405,0.9357588995014829,-0.00685095772637162
2022-02-01,-0.0063702499966179,-0.030557095917168153,0.9325161065553216,0.022124734115697257
2022-03-01,0.0228987872132446,-0.025202550989917305,0.9306722809356168,0.04635410282842713
2022-04-01,-0.0524398827756235,-0.05745364734320668,0.9212677864177266,0.0004903117338772162
2022-05-01,0.0285073491391163,0.0013752218474432087,0.9258217222075033,0.027234138879899044
2022-06-01,-0.0570964480593007,-0.07145044401347367,0.926991132756457,0.009137479972701062
2022-07-01,0.0199616261172293,-0.0068853867908501565,0.9266820692473815,0.026342190596142907
2022-08-01,0.0084831964474256,0.00033206544708086483,0.9199589636086094,0.008177709862878859
2022-09-01,-0.1305528209080797,-0.11902103388960983,0.9203169225947647,-0.021015749274746795
2022-10-01,-0.0460025204277006,-0.03154865892508474,0.94360095675916,-0.01623317568152223
2022-11-01,0.1307760056559447,0.14635210337672144,0.9505904835393315,-0.008344911059931182
2022-12-01,-0.0272806186537928,-0.016363430663690837,0.9399045022901704,-0.011900556500076752
2023-01-01,0.0322435862649292,0.0785461845709865,0.9429178973516154,-0.04181901693573729
2023-02-01,-0.0749976172287583,-0.06542898691226373,0.9406020500076806,-0.013454978009157334
2023-03-01,0.0361299754744442,0.02725075466022142,0.9459330087669509,0.010352587127530944
2023-04-01,0.0041522256755324,-0.013359857817990872,0.9480386317716455,0.01681788700196419
2023-05-01,-0.0345658830589913,-0.01895501765518648,0.947396195770345,-0.016607971441707902
2023-06-01,0.034075734795198,0.0322890259042492,0.953449668243267,0.0032897737588933433
2023-07-01,0.0668417964756585,0.058040586974976716,0.9587154038496929,0.011197391694270468
2023-08-01,-0.078573582781608,-0.06359667975279637,0.9613017870807288,-0.017437980882844054
2023-09-01,-0.018245986152783,-0.028102781716360936,0.9688631162155354,0.00898176251525543
2023-10-01,-0.0483059497857477,-0.03944247360356001,0.9670867415121078,-0.010161656511303518
2023-11-01,0.0747293751577216,0.07856206293706292,0.9810319664459067,-0.0023425199334723146
2023-12-01,0.046381741405946,0.0371188329449903,0.9795503738079413,0.01002197471936623
2024-01-01,-0.0438922338316983,-0.04682829624709406,0.9797113504889835,0.001985979525640412
2024-02-01,0.0457639276238324,0.046259479401516757,0.9869709244371254,0.00010716647493724113
2024-03-01,0.0250175456605946,0.021803436049131264,0.9858012569596193,0.0035236909973223214
2024-04-01,0.0063751041422032,0.002636119631901801,0.9853061688524081,0.0037777192070574165
2024-05-01,0.0274292495016653,0.002877766623643474,0.9882510849883358,0.024585293513506416
2024-06-01,0.0307655444365518,0.0355494966442953,0.9982045931769071,-0.004720126398910812
2024-07-01,-0.0098495221313189,-0.0013624856156502219,0.9946467178642467,-0.008494330285575159
2024-08-01,0.0338652194327026,0.01396609419508299,0.9938363038317475,0.019985207998895294
2024-09-01,0.065701949988827,0.0644865081096806,0.9947747747176563,0.0015523984116911776
2024-10-01,-0.0518695864793785,-0.04383994533885638,0.9938245931513722,-0.008300370639211165
2024-11-01,-0.0531329601478829,-0.03657817636129779,0.9936494224521639,-0.016787076332125957
2024-12-01,0.0003735914828862,-0.0028649044568269666,0.9983879124875074,0.0032338774630138313
2025-01-01,0.0209010182643367,0.016634432997359117,1.0015766784695406,0.004240358114617631
2025-02-01,-0.002303426874035,0.003548661477816406,0.9972111145391916,-0.005842191541450593
2025-03-01,0.0222960019923807,0.021389838231943514,0.9973954166676757,0.0009618753765772182
