,ir_36m
2017-02-01,1.1662237672173903
2017-03-01,0.9323464366692393
2017-04-01,1.2965575534376146
2017-05-01,1.2112450976115967
2017-06-01,1.388871344743334
2017-07-01,1.2201078901911262
2017-08-01,1.3850223310943002
2017-09-01,1.3920255055779953
2017-10-01,1.2341775943261006
2017-11-01,1.1915219802000123
2017-12-01,1.0154037723630285
2018-01-01,0.8797395939115484
2018-02-01,0.506009786327404
2018-03-01,0.531696048303583
2018-04-01,0.5437349893225218
2018-05-01,0.4138709661054375
2018-06-01,0.564545995651495
2018-07-01,0.5992777358582265
2018-08-01,0.5117354977571855
2018-09-01,0.45869827713024014
2018-10-01,0.2935616372662256
2018-11-01,0.33732514303596906
2018-12-01,0.32964681299763315
2019-01-01,0.17687958878503574
2019-02-01,-0.0029526339213011483
2019-03-01,0.0029642882532631043
2019-04-01,0.2723480640687462
2019-05-01,0.14612939599557162
2019-06-01,0.19612379618327674
2019-07-01,0.10090969481451739
2019-08-01,0.16941702238252299
2019-09-01,0.22062469373255866
2019-10-01,0.28803470964426237
2019-11-01,0.5005917758767456
2019-12-01,0.2849721515790205
2020-01-01,0.28162338481691535
2020-02-01,0.17621780166966614
2020-03-01,0.32691235225239607
2020-04-01,0.5356550874001741
2020-05-01,0.6641017076280973
2020-06-01,0.6834412916149093
2020-07-01,0.7244592102683372
2020-08-01,0.5100217393898061
2020-09-01,0.44471215801770325
2020-10-01,0.4395202838627191
2020-11-01,0.39964736829444786
2020-12-01,0.6145819056131132
2021-01-01,0.8000171993867362
2021-02-01,0.8769133842046676
2021-03-01,0.7336392651455659
2021-04-01,0.6317772267906696
2021-05-01,0.8750631488566721
2021-06-01,0.7840643009804668
2021-07-01,0.8297497579098476
2021-08-01,0.8847439643452343
2021-09-01,0.876280394273016
2021-10-01,1.1108778900691028
2021-11-01,1.048319036272252
2021-12-01,1.1661793184797944
2022-01-01,1.287271895286148
2022-02-01,1.4822018392719858
2022-03-01,1.688683426681512
2022-04-01,1.7617009579595235
2022-05-01,1.9549890118375295
2022-06-01,1.941537312916131
2022-07-01,1.9150182636608775
2022-08-01,1.9676852965852805
2022-09-01,2.055997679754717
2022-10-01,2.085144034446084
2022-11-01,1.8758893308587574
2022-12-01,1.8291679928049234
2023-01-01,1.7783036543991015
2023-02-01,1.413330581243439
2023-03-01,1.3461695695233604
2023-04-01,1.3213995657799067
2023-05-01,1.338627341014609
2023-06-01,1.256591754527012
2023-07-01,1.2901313475177918
2023-08-01,1.2433982200103029
2023-09-01,1.3426971796327805
2023-10-01,1.4624956710759256
2023-11-01,1.4666168509374589
2023-12-01,1.4137743723613287
2024-01-01,1.358053553308365
2024-02-01,1.6502182422884137
2024-03-01,1.7582000859519757
2024-04-01,1.7943362707448447
2024-05-01,1.7063246105249181
2024-06-01,1.7759695698879758
2024-07-01,1.6067424762836564
2024-08-01,1.5980452128707172
2024-09-01,1.7143328924596093
2024-10-01,1.5720774433130933
2024-11-01,1.5022634273254163
2024-12-01,1.2890573494287334
2025-01-01,1.1770596195916643
2025-02-01,1.2236474443047667
2025-03-01,1.1030835883884569
