ym,local_ret,fx_ret,usd_ret,n_stocks,cross_term,year
2009-03-01,0.03820515223854419,-0.0019114582416039478,0.03626081021617336,64.0,-3.288378076688131e-05,2009
2009-04-01,0.14363966177898344,0.04344127028606928,0.19260462032037326,69.0,0.005523688255320541,2009
2009-05-01,0.09000817054813147,0.035702510300835565,0.1275401861201691,70.0,0.001829505271202063,2009
2009-06-01,0.0846321567956268,0.018778163256850125,0.10898280709565573,67.0,0.005572487043178809,2009
2009-07-01,0.06572091783699163,0.004680733750786399,0.07191345914093529,68.0,0.0015118075531572591,2009
2009-08-01,0.0451151910583934,0.00849059917047472,0.052882221286436035,69.0,-0.0007235689424320863,2009
2009-09-01,0.09062976893354442,0.009150581549626452,0.09897500246985616,66.0,-0.000805348013314713,2009
2009-10-01,0.04393952361017968,0.025428021542685038,0.07084292624746731,66.0,0.0014753810946025944,2009
2009-11-01,0.040086719065717494,0.005020401986470559,0.046006238050552935,70.0,0.0008991169983648822,2009
2009-12-01,0.03077815185419602,-0.003233035495805896,0.027447072245076014,72.0,-9.804411331410922e-05,2009
2010-01-01,0.03757230379277974,0.007420684908268087,0.04543648425648259,59.0,0.00044349555543476537,2010
2010-02-01,-0.04456823557116558,-0.012634125096084556,-0.056947045310661665,76.0,0.00025531535658846957,2010
2010-03-01,0.06084740639050993,0.019630200111601062,0.0820519060179715,79.0,0.0015742995158605014,2010
2010-04-01,0.04530201115879349,0.0217471043750965,0.07059257834185866,74.0,0.0035434628079686684,2010
2010-05-01,-0.016893378354005437,-0.022367208815417122,-0.03828291537860216,76.0,0.0009776717908204016,2010
2010-06-01,0.040560842510693876,-0.008689804868684082,0.03154537680984113,75.0,-0.0003256608321686623,2010
2010-07-01,0.05068840431803801,0.0058058789571310675,0.05676302601816,75.0,0.0002687427429909229,2010
2010-08-01,0.043363854714309265,0.010960049169689644,0.05489816420472963,75.0,0.0005742603207307198,2010
2010-09-01,0.07020092715617982,0.012351885056085053,0.08380705264059597,75.0,0.0012542404283311034,2010
2010-10-01,0.06932242508372286,0.027571056440129405,0.09976582137947101,75.0,0.0028723398556187545,2010
2010-11-01,0.030903109637348627,-0.0024131423996283452,0.028694730159304207,76.0,0.00020476292158392532,2010
2010-12-01,0.020105721783899407,-0.0014490228374547383,0.018944453893972243,77.0,0.0002877549475275745,2010
2011-01-01,0.04120291667801981,0.008415467162935824,0.0514452250594221,67.0,0.0018268412184664663,2011
2011-02-01,-0.02174975448681983,-0.0006060981832512721,-0.02494168675376972,77.0,-0.0025858340836986187,2011
2011-03-01,0.02891538838015858,0.011258711715882897,0.04108049662816856,78.0,0.000906396532127084,2011
2011-04-01,0.10001606358303977,0.028458840932125026,0.13205857602092747,78.0,0.003583671505762668,2011
2011-05-01,0.026937016466511195,0.0008229856319029651,0.02799677955519873,80.0,0.00023677745678456967,2011
2011-06-01,-0.002920445727935734,0.0010637209074872123,-0.0018355855690892972,79.0,2.1139251359224547e-05,2011
2011-07-01,0.053371691305846874,0.0073226752999713115,0.06105679067797667,78.0,0.0003624240721584815,2011
2011-08-01,-0.05323788081713062,-0.011687685481464807,-0.06356928493295062,79.0,0.0013562813656448052,2011
2011-09-01,-0.012967668641207405,-0.03527020449671525,-0.049647684186188035,80.0,-0.0014098110482653747,2011
2011-10-01,-0.017651800636257462,-0.02897625886533289,-0.04665694257534558,79.0,-2.888307375522453e-05,2011
2011-11-01,0.01680508811806965,-0.01375053129806625,0.002702116956385644,81.0,-0.0003524398636177567,2011
2011-12-01,-0.01546442293856259,-0.017772190667132138,-0.033851314991507904,80.0,-0.0006147013858131753,2011
2012-01-01,0.07469124822894084,0.010620576548030128,0.0848593453114954,74.0,-0.0004524794654755665,2012
2012-02-01,0.0799861205775628,0.025556496444994255,0.10694204853879388,87.0,0.0013994315162368307,2012
2012-03-01,0.02372219342306114,-0.010225398705706702,0.012443460552343338,82.0,-0.0010533341650111015,2012
2012-04-01,0.01326398869774574,-0.009234692434586475,0.004125110130688362,82.0,9.581386752909558e-05,2012
2012-05-01,-0.024753101176490204,-0.023827061997008115,-0.04787575993008532,83.0,0.0007044032434130008,2012
2012-06-01,0.024035572868291888,-0.020183184654617773,0.002590587550209678,82.0,-0.0012618006634644366,2012
2012-07-01,0.03166619855931365,0.006102435976887792,0.03829463731526357,86.0,0.0005260027790621293,2012
2012-08-01,0.039544604449048705,-0.0006724211779760366,0.03854422426435244,83.0,-0.00032795900672023077,2012
2012-09-01,0.047636604312707075,0.004285648388115825,0.052308036246778496,84.0,0.0003857835459555965,2012
2012-10-01,0.01828775235871791,-0.0012088615059998164,0.016694187723785392,84.0,-0.0003847031289327021,2012
2012-11-01,-0.019626891106329036,-0.009819893938212088,-0.028093661607513868,83.0,0.0013531234370272559,2012
2012-12-01,0.05293301122619147,0.006640104485010167,0.0600473284745226,84.0,0.000474212763320961,2012
2013-01-01,0.03178241452193148,0.00027617689740726747,0.03226408705822658,73.0,0.00020549563888783357,2013
2013-02-01,0.028178913464346245,-0.0028959865297899616,0.025287349319460084,82.0,4.422384903800258e-06,2013
2013-03-01,0.021404539911042565,-0.006003619835677995,0.014406398375576078,83.0,-0.0009945216997884919,2013
2013-04-01,0.03628285291224135,0.002859199465806589,0.03451120473018146,82.0,-0.004630847647866478,2013
2013-05-01,0.06444377883406312,-0.00895391309531865,0.054900714433613676,85.0,-0.0005891513051307917,2013
2013-06-01,-0.05030958457296904,-0.033592916458128015,-0.08276697529181262,86.0,0.0011355257392844306,2013
2013-07-01,0.03528800555641366,-0.013077034187842836,0.021561677355125035,85.0,-0.0006492940134457913,2013
2013-08-01,0.010612405822535524,-0.021355786091228006,-0.011077603503639745,84.0,-0.0003342232349472646,2013
2013-09-01,0.028011620763279746,-0.01114013805433513,0.016605928214641897,87.0,-0.0002655544943027197,2013
2013-10-01,0.06536581990471009,0.011555071665996453,0.07525187977009187,85.0,-0.0016690118006146698,2013
2013-11-01,-0.007827489662526613,-0.016093168064366215,-0.02359357084510505,85.0,0.00032708688178777895,2013
2013-12-01,0.022709888249637964,-0.006518876753638118,0.013114509942667956,84.0,-0.0030765015533318904,2013
2014-01-01,0.045585985291345804,-0.02498214975980096,0.02283539658035222,79.0,0.0022315610488073748,2014
2014-02-01,0.018537653218852382,-0.007839119780026417,0.007805853579603602,86.0,-0.002892679859222362,2014
2014-03-01,0.0072461826772238416,0.01087073950426086,0.018596833807022286,85.0,0.0004799116255375848,2014
2014-04-01,0.06213786201409585,0.00990110644751843,0.07152616166700262,83.0,-0.0005128067946116571,2014
2014-05-01,0.020248264841091424,0.006597757078084322,0.0284758863513097,87.0,0.0016298644321339527,2014
2014-06-01,0.046719354737214745,-0.012015948620332928,0.03489518264233206,87.0,0.00019177652545024175,2014
