,alpha
2019-02-01,-0.0078356232187109
2019-03-01,0.0143923404427584
2019-04-01,-0.015495090827567
2019-05-01,0.0121641835173559
2019-06-01,0.0111474274229137
2019-07-01,-0.0048079975705049
2019-08-01,7.373886995713091e-05
2019-09-01,0.0115666586307472
2019-10-01,0.0217250379277427
2019-11-01,-0.0144414248504043
2019-12-01,0.0074731418743234
2020-01-01,-0.006054685220938
2020-02-01,0.0113421963699427
2020-03-01,0.0247930001547917
2020-04-01,0.0353074936541178
2020-05-01,0.0156548406096945
2020-06-01,0.0150829974045048
2020-07-01,0.0079703990993511
2020-08-01,0.0017456024170352
2020-09-01,-0.0076018876332837
2020-10-01,-0.0086068552336878
2020-11-01,0.0302424706120582
2020-12-01,0.0494749198052163
2021-01-01,-0.0219078300773448
2021-02-01,-0.0199799650459617
2021-03-01,0.0023231185347032
2021-04-01,0.0479463660664827
2021-05-01,0.0080487414909909
2021-06-01,0.0314728948487041
2021-07-01,0.0034443006067176
2021-08-01,-0.0013035569403602
2021-09-01,0.0075958321437524
2021-10-01,-0.002577577996467
2021-11-01,0.0191288042051131
2021-12-01,0.0266850826225816
2022-01-01,-0.0082210922361671
2022-02-01,0.0377704014461996
2022-03-01,0.0460419171848559
2022-04-01,0.0026469086213546
2022-05-01,0.0188049527139795
2022-06-01,-0.0076348977067678
2022-07-01,0.0049680509530994
2022-08-01,0.0304993167383447
2022-09-01,0.0021092254544212
2022-10-01,-0.0185148649579204
2022-11-01,-0.0043605158587017
2022-12-01,-0.0107377260491567
2023-01-01,-0.0366339665102041
2023-02-01,-0.0034013837183648
2023-03-01,0.0344416271991873
2023-04-01,0.0289629065035888
2023-05-01,-0.0046612302671302
2023-06-01,0.0165338130755569
2023-07-01,-0.005853939807322
2023-08-01,0.0163498507660663
2023-09-01,0.0182388738887182
2023-10-01,-0.014727401321161
2023-11-01,0.0142336823847647
2023-12-01,0.0229348711035838
2024-01-01,0.0234982712401895
2024-02-01,-0.0025895747483207
2024-03-01,0.0131245716113089
2024-04-01,0.0109197747702794
2024-05-01,0.0220583263573771
2024-06-01,-0.0022416111216444
2024-07-01,0.0074667364032329
2024-08-01,0.0198842525947608
2024-09-01,-0.005467050104537
2024-10-01,-0.0172940939792818
2024-11-01,-0.0201012186189999
2024-12-01,-0.0001927232909441
2025-01-01,0.0027264185495701
2025-02-01,0.0065361023095941
2025-03-01,0.0042382487202394
