gamma_l2,mu_shrink,Mean_Val_SR,Std_Val_SR,TSCV_Score,Dev_TC_Sharpe,PC_Turnover
0.5,1.0,1.2546950885471486,2.021322355991575,0.24403391055136114,0.5368372144686415,8.275164283969413e-13
0.1,1.0,1.25469508854717,2.0213223559916424,0.2440339105513487,0.5368372144686222,8.287749454969985e-13
0.05,1.0,1.2546950885471762,2.0213223559916633,0.2440339105513445,0.5368372144686164,8.29176608326979e-13
0.01,1.0,1.2546950885471815,2.0213223559916806,0.24403391055134116,0.5368372144686113,8.295011503075703e-13
0.0,1.0,1.2546950885471828,2.0213223559916846,0.2440339105513405,0.53683721446861,8.295852100508634e-13
0.001,1.0,1.254695088547183,2.021322355991685,0.2440339105513405,0.5368372144686102,8.295772798864018e-13
0.5,0.75,1.2546950890106878,2.021322357833881,0.24403391009374742,0.5368372142227449,3.013942587567645e-11
0.1,0.75,1.2546950890694006,2.0213223580681836,0.24403391003530883,0.5368372141905675,3.389210142693397e-11
0.05,0.75,1.2546950890778024,2.0213223581017,0.2440339100269524,0.5368372141859608,3.4428709883016495e-11
0.01,0.75,1.2546950890847204,2.0213223581292965,0.24403391002007213,0.5368372141821675,3.487050945613238e-11
0.001,0.75,1.2546950890863025,2.0213223581356057,0.2440339100184996,0.5368372141813005,3.497150129007563e-11
0.0,0.75,1.254695089086478,2.021322358136308,0.2440339100183242,0.5368372141812034,3.4982757167258324e-11
0.5,0.5,1.2546952933325992,2.0213231145595834,0.24403373605280754,0.5368371290799446,1.0914353218030978e-08
0.1,0.5,1.2546953438693307,2.0213233004452724,0.24403369364669447,0.5368371079659067,1.3567727641581951e-08
0.05,0.5,1.254695352002855,2.021323330316523,0.2440336868445936,0.5368371045630829,1.3993535768633666e-08
0.01,0.5,1.254695358897753,2.021323355663518,0.244033681065994,0.5368371016862209,1.4354368465093907e-08
0.001,0.5,1.2546953604984767,2.0213233615393,0.24403367972882672,0.5368371010162339,1.4438078688767357e-08
0.0,0.5,1.2546953606775115,2.02132336219646,0.24403367957928146,0.5368371009412953,1.4447440646206795e-08
0.5,0.25,1.254716399757805,2.0213813852464564,0.24402570713457683,0.5368328720091184,5.769879113516816e-07
0.001,0.25,1.254731067937127,2.021416870656574,0.24402263260884016,0.5368309111105563,8.883551541365363e-07
0.0,0.25,1.2547305210130648,2.0214166897342136,0.244022176145958,0.5368307685402702,8.89162240850069e-07
0.01,0.25,1.2547299703347758,2.021416043143624,0.2440219487629638,0.5368306429267502,8.922916560534313e-07
0.5,0.0,1.2620373946843062,2.038531025753626,0.2427718818074931,0.5365112318188412,0.00013385603834816735
0.1,0.25,1.2595081715880936,2.035479128333629,0.24176860742127904,0.5350471864066333,0.00011240399336938636
0.05,0.25,1.2619886786049497,2.0450443051969387,0.23946652600648033,0.5333979227888812,0.00018674742033448745
0.05,0.0,1.3219514585734922,2.1877770739732423,0.22806292158687103,0.5382486932078101,0.0011754812664560332
0.0,0.0,1.3166493391357488,2.180232400492125,0.2265331388896863,0.5361372523309459,0.0017034393840773758
0.1,0.0,1.281539807750781,2.1119108766573667,0.22558436942209759,0.5256102447495209,0.0008235321294387508
0.01,0.0,1.3056006805765927,2.277736905224365,0.16673222796441034,0.5142715386941793,0.0023533226893782695
0.001,0.0,1.2664147892077249,2.20273316904694,0.16504820468425496,0.4979548865121212,0.0023426014018744362
