ym,A_long,A_hedged_60m,A_hedged_36m_only,B_long,B_hedged_60m,B_hedged_36m_only,EEM_ret,A_beta_60m,A_beta_36m_only,B_beta_60m,B_beta_36m_only,A_hedged_60m_baseline,A_hedged_24m_only,A_hedged_EW_blend,A_hedged_Recency-wt,A_hedged_InvVar-wt
2014-02-01,0.0550376433268652,,,0.0557354852451601,,,0.031112,,,,,,,,0.0550376433268652,
2014-03-01,0.0183851211414449,,,0.0083285862462099,,,0.030425,,,,,,,,0.0183851211414449,
2014-04-01,-0.0032282194446405,,,-0.0026331347590313,,,0.003416,,,,,,,,-0.0032282194446405,
2014-05-01,0.0162471849852625,,,0.0190678413736927,,,0.034776,,,,,,,,0.0162471849852625,
2014-06-01,0.042787052558335,,,0.0460961574030224,,,0.026644,,,,,,,,0.042787052558335,
2014-07-01,0.0122004965279497,,,0.0091797506389784,,,0.018459,,,,,,,,0.0122004965279497,
2014-08-01,0.0361572623123714,,,0.0374151325670691,,,0.021976,,,,,,,,0.0361572623123714,
2014-09-01,-0.0256844178621258,,,-0.0492893453287836,,,-0.074706,,,,,,,,-0.0256844178621258,
2014-10-01,0.0192355959943363,,,0.0100636427379706,,,0.0115,,,,,,,,0.0192355959943363,
2014-11-01,-0.0047395862413461,,,-0.0080100503963476,,,-0.010895,,,,,,,,-0.0047395862413461,
2014-12-01,-0.0364788101167293,,,-0.0296342648292148,,,-0.046496,,,,,,,,-0.0364788101167293,
2015-01-01,0.0462752666312813,,,0.0298026423631605,,,0.005349,,,,,,,,0.0462752666312813,
2015-02-01,0.0411962098823497,,0.021111148898330025,0.0335955213474626,,0.010200573760923589,0.029896,,0.6718310470972596,,0.7825444068283051,,0.021111148898330025,0.021111148898330025,0.027136667193535927,
2015-03-01,0.0090985372847496,,0.01926364086534177,0.000282140246536,,0.01191405839465082,-0.01476,,0.6886926545116646,,0.7880703352381314,,0.01926364086534177,0.01926364086534177,0.016214109791164118,
2015-04-01,0.0693314395772554,,0.01747218466384947,0.0999080579747886,,0.040202188294638695,0.076404,,0.6787505223994285,,0.7814495272518442,,0.01747218466384947,0.01747218466384947,0.03302996113787125,
2015-05-01,-0.0235293087187431,,0.005019781549272011,-0.0394044695081308,,-0.0024326185533661907,-0.041058,,0.6953356293052538,,0.9004786145151885,,0.005019781549272011,0.005019781549272011,-0.0035449455311325206,
2015-06-01,-0.0243941784838965,,-0.005865820068847966,-0.0262828254809126,,-0.0022451273128678666,-0.025955,,0.7138647048756901,,0.9261297695259,,-0.005865820068847966,-0.00586582006884797,-0.007718655910352819,
2015-07-01,-0.0533218456967303,,-0.0003973537084304632,-0.0502284760633911,,0.01705816634037991,-0.071554,,0.739644072844283,,0.9403617184751517,,-0.0003973537084304632,-0.00039735370843045625,-0.005689802907260441,-0.0003973537084304632
2015-08-01,-0.0753875322419439,,-0.006449668374148829,-0.0753337547553973,,0.006461520813533059,-0.089464,,0.7705654103080019,,0.9142814491743088,,-0.006449668374148829,-0.006449668374148829,-0.013343454760928332,-0.006449668374148829
2015-09-01,-0.0315673366525471,,-0.007046132837608292,-0.0415721215158081,,-0.0138769909234575,-0.030186,,0.8123369712760488,,0.9174826274548002,,-0.007046132837608292,-0.007046132837608292,-0.009498253219102172,-0.007046132837608292
2015-10-01,0.0704579460237806,0.011614957684491965,0.011614957684491965,0.086020523166797,0.019440360449360636,0.019440360449360636,0.071407,0.8240507000614594,0.8240507000614594,0.9324038640110404,0.9324038640110404,0.011614957684491965,0.011614957684491965,0.011614957684491965,0.011614957684491965,0.011614957684491965
2015-11-01,-0.021158119700347,0.011642702790594407,0.011642702790594407,-0.0204418309859126,0.017374121224842127,0.017374121224842127,-0.03959,0.8285128186648499,0.8285128186648499,0.9551894976194677,0.9551894976194677,0.011642702790594407,0.011642702790594407,0.011642702790594407,0.011642702790594407,0.011642702790594407
2015-12-01,-0.006810897610255,0.011728153940064455,0.011728153940064455,0.0056500190908377,0.026886307744541198,0.026886307744541198,-0.022431,0.8264924234460993,0.8264924234460993,0.9467383823148098,0.9467383823148098,0.011728153940064455,0.011728153940064455,0.011728153940064455,0.011728153940064455,0.011728153940064455
2016-01-01,-0.0555084055171133,-0.0013398953403663191,-0.0013398953403663191,-0.0691602946959847,-0.007559471010842603,-0.007559471010842603,-0.065619,0.825500391300492,0.825500391300492,0.9387650480065545,0.9387650480065545,-0.0013398953403663191,-0.0013398953403663191,-0.0013398953403663191,-0.0013398953403663191,-0.001339895340366326
2016-02-01,-0.0090239682168787,-0.007364147748227739,-0.007364147748227739,-0.0084091566458216,-0.006511903180209247,-0.006511903180209247,-0.001978,0.8391407829377957,0.8391407829377957,0.959177687367216,0.959177687367216,-0.007364147748227739,-0.007364147748227739,-0.007364147748227739,-0.007364147748227739,-0.007364147748227739
2016-03-01,0.0918269344444777,-0.018551275057472505,-0.018551275057472505,0.0938751762491937,-0.032352228086087675,-0.032352228086087675,0.131814,0.837378499263737,0.837378499263737,0.9576175848944831,0.9576175848944831,-0.018551275057472505,-0.01615347761711615,-0.017951825697383433,-0.017592156081329954,-0.018523712700660513
