ym,gross_return,hedge_return,net_return,beta
2014-02-01,0.0456952199581923,0.029726784623378244,0.015968435334814055,0.9314160456116546
2014-03-01,0.0229592341154436,0.02717023877967932,-0.004211004664235719,0.9301403528677912
2014-04-01,0.0078083238321993,0.0005760331729249843,0.007232290659274315,0.9094466594441452
2014-05-01,0.0242886536928255,0.02970983780923094,-0.00542118411640544,0.9123606101441295
2014-06-01,0.0361525445463828,0.02102348826429654,0.015129056282086262,0.93571367060784
2014-07-01,0.0353370233962232,0.013383305213640296,0.021953718182582904,0.9381527319805832
2014-08-01,0.0246242992635852,0.01957139760486129,0.005052901658723911,0.9434015570028488
2014-09-01,-0.0599653959565566,-0.07153516387732661,0.01156976792077001,0.9427216726694849
2014-10-01,0.0051049252630687,0.010078582165661144,-0.004973656902592443,0.9434172261270025
2014-11-01,-0.0257928374794897,-0.01053232964579413,-0.01526050783369557,0.9428708531455559
2014-12-01,-0.0395229236829393,-0.04568973718762093,0.00616681350468163,0.9482626058076112
2015-01-01,0.0152188974663071,0.005244672569712686,0.009974224896594414,0.9463269481399779
2015-02-01,0.0228462094877473,0.02805967192870677,-0.005213462440959469,0.9411392090465236
2015-03-01,-0.0003822049143152,-0.014902496207175351,0.01452029129286015,0.939378990709209
2015-04-01,0.0780889130293114,0.07102038266918163,0.007068530360129763,0.9454218595533997
2015-05-01,-0.0320774306224284,-0.03937749412914687,0.007300063506718475,0.9471751790320837
2015-06-01,-0.0249911892046892,-0.03034591922896013,0.005354730024270931,0.9532054741353252
2015-07-01,-0.0353830370522987,-0.06923601490028565,0.03385297784798695,0.9538715528808647
2015-08-01,-0.0828100940188827,-0.08674358065908096,0.0039334866401982554,0.942916839164318
2015-09-01,-0.0286792024426871,-0.0307936196766428,0.002114417233955699,0.9449647765313984
2015-10-01,0.0662757478733135,0.06676042595149485,-0.00048467807818135256,0.9477970133515219
2015-11-01,-0.0406223668653466,-0.037374429395647904,-0.003247937469698696,0.9447685217294595
2015-12-01,-0.0063920864304445,-0.023441043211400586,0.017048956780956085,0.9468274547144621
2016-01-01,-0.050210042303682,-0.06188336447692144,0.011673322173239443,0.9492767059243278
2016-02-01,-0.0029449196918257,-0.002599476125755723,-0.0003454435660699769,0.9459672017045538
2016-03-01,0.1102805481484433,0.12316763246948675,-0.012887084321043449,0.9452129506181737
2016-04-01,0.0089860303568442,0.003736956332711129,0.005249074024133072,0.9224439702692104
2016-05-01,-0.0375062071382147,-0.03580982923119419,-0.0016963779070205132,0.9189694692045522
2016-06-01,0.0381157307203761,0.030394318065594356,0.007721412654781743,0.9208965148992206
2016-07-01,0.0368518545463534,0.04347698439496795,-0.006625129848614547,0.9211113203922465
2016-08-01,0.0163972930605895,0.02123532082308513,-0.004838027762495631,0.9177840514270292
2016-09-01,0.007200832914502,0.010111618632266173,-0.0029107857177641727,0.9239827545279737
2016-10-01,-0.01581759910568,0.0016007103542239895,-0.01741830945990399,0.8872256298326096
2016-11-01,-0.0400577650511313,-0.040342134915487285,0.0002843698643559822,0.8640147394855275
2016-12-01,-0.0016616608679366,-0.0005543656498942679,-0.001107295218042332,0.8541487744611024
2017-01-01,0.0505792679551798,0.046548308097339945,0.004030959857839855,0.8547105967438957
2017-02-01,0.028542071706895,0.025660643596047736,0.0028814281108472638,0.8596693801339165
