,All6EW+TO_MVO_unhedged,All6EW+TO_MVO_hedged,All6EW+Momentum_unhedged,All6EW+Momentum_hedged,All6EW+EqualWeight_unhedged,All6EW+EqualWeight_hedged,Corr05EW+Momentum_unhedged,Corr05EW+Momentum_hedged,SF+Momentum_unhedged,SF+Momentum_hedged
2014-02-01,0.0550376433268652,,0.0557354852451601,,0.0404739285110233,,0.0642648196823676,,0.0544605058595847,
2014-03-01,0.0183851211414449,,0.0083285862462099,,0.0202993111592805,,0.007579643430793,,0.0132289878270898,
2014-04-01,-0.0032282194446405,,-0.0026331347590313,,-0.0053473377223851,,0.02079452763397,,0.0114188789669239,
2014-05-01,0.0162471849852625,,0.0190678413736927,,0.018300273859237,,0.0157976148683652,,0.0309690247240548,
2014-06-01,0.042787052558335,,0.0460961574030224,,0.0403545536259761,,0.0499728665366766,,0.051039583871014,
2014-07-01,0.0122004965279497,,0.0091797506389784,,0.0223626078198814,,0.0132358294964695,,0.0171726128978488,
2014-08-01,0.0361572623123714,,0.0374151325670691,,0.0275812001600388,,0.0266790433456057,,0.0232812300416821,
2014-09-01,-0.0256844178621258,,-0.0492893453287836,,-0.0565349230066514,,-0.0543861375019734,,-0.0609007310763294,
2014-10-01,0.0192355959943363,,0.0100636427379706,,0.01073532251627,,0.0072247229989873,,0.0037500887739548,
2014-11-01,-0.0047395862413461,,-0.0080100503963476,,-0.0063501575720384,,-0.0082888677742888,,-0.0205833954126436,
2014-12-01,-0.0364788101167293,,-0.0296342648292148,,-0.031705391146886,,-0.0343896836935426,,-0.0321680154587243,
2015-01-01,0.0462752666312813,,0.0298026423631605,,0.0199163127271453,,0.0286651283252332,,0.0239987794916393,
2015-02-01,0.0411962098823497,,0.0335955213474626,,0.0367257162348218,,0.0284605230706056,,0.0262434716385352,
2015-03-01,0.0090985372847496,,0.000282140246536,,-0.0055638994786676,,0.0046321750455125,,0.0064025496612455,
2015-04-01,0.0693314395772554,,0.0999080579747886,,0.1091172153849357,,0.0944312642211201,,0.0732275663631905,
2015-05-01,-0.0235293087187431,,-0.0394044695081308,,-0.0356148375943334,,-0.0319101311449647,,-0.0283415952783283,
2015-06-01,-0.0243941784838965,,-0.0262828254809126,,-0.0231303635243627,,-0.0184092405306548,,-0.0246886587821511,
2015-07-01,-0.0533218456967303,,-0.0502284760633911,,-0.0539544477988113,,-0.047284500973115,,-0.0292510155870959,
2015-08-01,-0.0753875322419439,,-0.0753337547553973,,-0.0772147405858054,,-0.0783016275878157,,-0.0863109124627715,
2015-09-01,-0.0315673366525471,,-0.0415721215158081,,-0.0400252353480983,,-0.0265277145899051,,-0.02745142284434,
2015-10-01,0.0704579460237806,,0.086020523166797,,0.0705970646592884,,0.0803584486396903,,0.070205837444332,
2015-11-01,-0.021158119700347,,-0.0204418309859126,,-0.0367904279176476,,-0.0208883956716912,,-0.0319791094198202,
2015-12-01,-0.006810897610255,,0.0056500190908377,,-0.0041320602673786,,0.0146055905403733,,0.0096782436227359,
2016-01-01,-0.0555084055171133,,-0.0691602946959847,,-0.0640616289819901,,-0.0795004347077004,,-0.06521041899653,
2016-02-01,-0.0090239682168787,,-0.0084091566458216,,-0.0083284858197,,-0.0031728337938275,,-0.012056336732921,
2016-03-01,0.0918269344444777,,0.0938751762491937,,0.0965785622114558,,0.0990883785035883,,0.1105051384360311,
2016-04-01,-0.010435781194217,,0.002035551181928,,0.0008308117329428,,-0.0017550533333627,,0.0096362253139918,
2016-05-01,-0.0205787111196803,,-0.0294607583495649,,-0.0278193186838245,,-0.0239653112134062,,-0.031399451359579,
2016-06-01,0.0391908123085668,,0.0467626686264249,,0.0462928090003306,,0.0422897455823145,,0.0358601435082461,
2016-07-01,0.0422989605534269,,0.0380125597752026,,0.0392208909768449,,0.0378563961983302,,0.0359008710950532,
2016-08-01,0.0182634172185632,,0.0232450661967092,,0.0304436824427975,,0.0303359302018084,,0.004757322111554,
2016-09-01,0.0131853685047556,,0.0085302235128851,,0.0072975578935771,,0.0043516453884535,,0.0129231224287291,
2016-10-01,-0.0387591453167856,,-0.0243490290616225,,-0.0251950443714625,,-0.0233844146311493,,-0.0191860001751546,
2016-11-01,-0.0438539410676704,,-0.0288013568928842,,-0.0390513037573713,,-0.035045242815732,,-0.0398850540346605,
2016-12-01,-0.02596080271388,,0.0028852763353482,,-0.0121108518521087,,-0.0063477148969119,,0.0081417923517599,
2017-01-01,0.0714453426493123,,0.071693661171559,,0.0656806584217236,,0.0645149859016451,,0.0396387695996497,
2017-02-01,0.0369027946505488,,0.0197788028858918,,0.0225567499625003,,0.0211830320345628,,0.0119243691438001,
2017-03-01,0.028057252721344,,0.0316923878304182,,0.0294136957585418,,0.0301996047929931,,0.0405057825650903,
2017-04-01,0.014180373507153,,0.014030329110515,,0.0091612498836709,,2.8951441755322624e-05,,0.0263674034136697,
2017-05-01,0.0435838937592201,,0.0252417941073526,,0.0269727439425947,,0.0336056826944269,,0.0291338142979611,
2017-06-01,0.0162909742670926,,0.0076135127272085,,0.0074817076849227,,0.0167564225436694,,0.0174249781933745,
2017-07-01,0.0568101309428907,,0.0717624018249741,,0.0549733015947903,,0.088686237347964,,0.074211874454129,
2017-08-01,0.0174201204684687,,0.0231573117473841,,0.0235664071789019,,0.0238669246842323,,0.0290461707461692,
2017-09-01,0.0150294838263928,,0.0001702597268715,,0.0032905359164283,,0.00403274716977,,0.0183123489447153,
2017-10-01,0.0397723675058886,,0.0288471828426658,,0.0358247482742189,,0.0277487626530664,,0.0395029248863521,
2017-11-01,0.0056786685480432,,-0.0084793598250056,,0.0035213037917094,,-0.0082309597144759,,-0.0143735210017479,
2017-12-01,0.0459829551772643,,0.0311071581433504,,0.0460005555237235,,0.0320850615213149,,0.0390273076500123,
2018-01-01,0.0461789500752732,,0.0434997784569837,,0.0505799563194262,,0.0563759750966531,,0.048074377170166,
2018-02-01,-0.0504133781376564,,-0.0463133719682359,,-0.0401403139408934,,-0.0497436122695966,,-0.0320996413667095,
2018-03-01,0.0113984088833558,,-0.0001792324332391,,-0.0011705087457544,,0.0050842014832112,,0.0020472035438438,
2018-04-01,0.0033830978159128,,0.0042420919396197,,0.0044526074633972,,-0.0089640041535439,,0.0084654417321686,
2018-05-01,-0.0111573619523669,,-0.0114033598438123,,-0.0208177543617659,,-0.007543897681384,,-0.0200830220858695,
2018-06-01,-0.0309452923592168,,-0.0162436510354214,,-0.0382382011796939,,-0.0224812276686038,,-0.0257507819761922,
2018-07-01,-0.0010818949471226,,0.0174530937010098,,0.030625491055593,,0.0143445377173787,,0.0141778817162863,
2018-08-01,-0.0076041594404435,,-0.0282196737672739,,-0.0277506414653103,,-0.0320104066378142,,-0.0090157790995506,
2018-09-01,-0.0525534728039313,,-0.0313896436918231,,-0.0171269786863514,,-0.0344880603564137,,-0.050787188969876,
2018-10-01,-0.0822876659915978,,-0.0581713878198345,,-0.0637007279390162,,-0.0692406815806956,,-0.0712890833620508,
2018-11-01,0.0591514558487578,,0.0388468002451281,,0.0487575073816208,,0.0278019537026141,,0.023482550272509,
2018-12-01,-0.0489537209355937,,-0.0282045408295841,,-0.029170617628995,,-0.0338514531879264,,-0.0319734927235836,
2019-01-01,0.0900583995610148,,0.0769778254017245,,0.074074292404958,,0.066367806467707,,0.0493690685126742,
