factor,industry,Raw |IC|,Resid |IC|,Raw IR,Resid IR,Raw t,Resid t
Size,BMATR,0.031399917868558745,0.033176766688454665,0.1909936717253712,0.19933512106712117,3.049924355288244,3.0296315458129444
Size,CODIS,0.03439588637055957,0.0376361754551017,0.24345424456543568,0.25771130379930873,3.8876525237238444,3.916872709250589
Size,COSTP,0.013905620419546736,0.007169866205562936,0.08866430813938486,0.04640371936106557,1.415855459483109,0.7052754741197675
Size,ENEGY,0.010201015294620473,0.012453881467040594,0.04912552143545451,0.06039157210024367,0.7844716682951982,0.9178724298891938
Size,FINAN,0.020850016437674656,0.020202110221459617,0.20302317547684737,0.21179888225168086,3.242020125489539,3.219064315422601
Size,HLTHC,0.05632400669565626,0.06104224020587124,0.2522165093154493,0.27735519584985724,3.0579626604941903,3.3627530366861857
Size,INDUS,0.03457680962078033,0.03784232925700165,0.22894461765329333,0.24423718476343922,3.6559523626362025,3.7120838297767937
Size,RLEST,0.03385791046785316,0.030404897886691158,0.13541892901424282,0.12181341470687802,2.0040171425027364,1.8026739174233417
Size,TECNO,0.05930409217556429,0.05577521829716322,0.33961037674319017,0.3221627019404964,5.423142819239702,4.896449152854531
Size,TELCM,0.031168558682044874,0.02263242849149465,0.1718241287508871,0.12121371673695702,2.743811302067867,1.8422889957653918
Size,UTILS,0.02705493347005059,0.027803147835151917,0.12516582478689778,0.1287391104245054,1.998737937329209,1.9566650775537142
Value (P/B),BMATR,0.026971956715412637,0.029408957404654663,0.14899622488407768,0.16458022478912052,2.3792789102110743,2.5014028544935036
Value (P/B),CODIS,0.0290679104126852,0.04051501761105166,0.15261532139771963,0.2241058102120415,2.43707124700099,3.4061134263928703
Value (P/B),COSTP,0.014186389542307425,0.02086000293510524,0.08803264087535645,0.13023221851426647,1.405768542175353,1.9793583558171337
Value (P/B),ENEGY,0.016242219205834674,0.014525576394613517,0.07845878379460186,0.07420305371363736,1.2528863046600278,1.1277887766240131
Value (P/B),FINAN,0.023330861214020913,0.02392536991349877,0.18171737597705254,0.1912376412492702,2.9017937912016243,2.9065605076215144
Value (P/B),HLTHC,0.019908165191792726,0.021268223648110717,0.08918792210309494,0.09438669599811733,1.0813460875283898,1.1443778711910806
Value (P/B),INDUS,0.030326607304411914,0.033404262787998754,0.17877945122558206,0.19661834460527705,2.854878895160471,2.9883401184535203
Value (P/B),RLEST,0.041865253783287586,0.038879603149758524,0.1738527739129821,0.1613730934862774,2.5727861070044717,2.388103701892246
Value (P/B),TECNO,0.049756191939861034,0.043594257568832034,0.24065335940813368,0.22516332357654653,3.842925974511764,3.4221862380081616
Value (P/B),TELCM,0.02483763211183061,0.013188282223682471,0.12406558814886563,0.06579737275011512,1.9811685671579302,1.0000334865637568
Value (P/B),UTILS,0.03483841800515631,0.02889075067612682,0.13572265537026565,0.1151509312865332,2.1673170029076863,1.7501426346135365
Quality (ROE),BMATR,0.027292352447879503,0.02029932690006621,0.16381135435211677,0.12298434765612146,2.61585755589674,1.8692002558583185
Quality (ROE),CODIS,0.009432962320366892,0.012334153537557065,0.0608571280003667,0.08084428847242839,0.9718104019074499,1.2287268061125929
Quality (ROE),COSTP,0.0035220927067015407,0.007184979300839769,0.021263119814768503,0.044462260939048884,0.33954479437268104,0.6757678607662463
Quality (ROE),ENEGY,0.013928975836266833,0.017031663903354047,0.06995325243358431,0.09089367553287253,1.117063860815207,1.3814642659812635
Quality (ROE),FINAN,0.014016062798121428,0.016319728734735528,0.13375300334548976,0.1645210838075857,2.1358641823637434,2.500503989394624
Quality (ROE),HLTHC,0.0030431800962718654,0.001338005863640861,0.013858958994007336,0.0060382985932835856,0.16803094782344052,0.07321047968387195
Quality (ROE),INDUS,0.005321412895101929,0.018392741626714726,0.03232723153974839,0.11417890159469572,0.5162244901699726,1.7353690623394062
Quality (ROE),RLEST,0.013573416435830252,0.007811584916300979,-0.05434312624968724,-0.031956696072541146,-0.8042048284853112,-0.4729159151774615
Quality (ROE),TECNO,0.021005423929283007,0.018075900046815405,0.10409217211133333,0.09298122118422507,1.6622186905422935,1.4131922129923304
Quality (ROE),TELCM,0.0043604147562588316,0.002964732481879359,0.02164115461322416,-0.014723813705528258,0.3455815260012255,-0.22378259404633888
Quality (ROE),UTILS,0.042110527859432915,0.03328496030586016,0.17003057490387835,0.13585685686357013,2.7151705439155314,2.0648454575662614
Momentum,BMATR,0.016962725249061988,0.016526709036086353,0.09062603341190122,0.0890334077250096,1.4185217986812484,1.3531906431284995
Momentum,CODIS,0.015531164037915553,0.018915091235310356,0.08488416117528651,0.10741894791598347,1.3286472822069235,1.6326266614838905
Momentum,COSTP,0.020754408171606748,0.01567679688083556,0.12507742474322564,0.09831023842700691,1.957771369235267,1.4941862629143037
Momentum,ENEGY,0.02455282103301918,0.023890270969941414,0.12586556618677033,0.1267208209898245,1.9701077341408222,1.9259897339055108
Momentum,FINAN,0.004576484457935064,0.005761353838015435,-0.03961814323873629,-0.05107083595146489,-0.6201220299689661,-0.7762095050851363
Momentum,HLTHC,0.016689974257196524,0.016309860388766223,0.07124916128772281,0.07021974337621256,0.8638501714290384,0.851369142554338
Momentum,INDUS,0.02719242914807571,0.025048857614670673,0.15178215988733154,0.14146477999106027,2.3757665909587065,2.1500785099384885
Momentum,RLEST,0.028535526026713994,0.02560444637374332,0.11011491579996403,0.09984204072945013,1.6295519431051175,1.477527274958956
Momentum,TECNO,0.03756145550565328,0.03227578489554167,0.1772425197018917,0.15932957325558483,2.774284257897429,2.4215998602348336
Momentum,TELCM,0.017663031905310655,0.01708298444124566,-0.08316588458938455,-0.07786402664607282,-1.3017519994553624,-1.183430747918871
Momentum,UTILS,0.01934054549390189,0.024131887676256365,0.07640629339515846,0.09979133273420812,1.1959476615825726,1.5166969474911067
Volatility,BMATR,0.0033041814555959197,0.0008087054699976149,-0.01682854075993356,0.004507020990490045,-0.262870210032506,0.0685007885079714
Volatility,CODIS,0.011418366215660959,0.016367689810834706,-0.06253549012713955,-0.10064755253829392,-0.9768355829963109,-1.5297103618594385
Volatility,COSTP,0.007178447937624761,0.002351372581794163,0.03936278090354199,0.013794027100760126,0.6148662935893469,0.20965106111024723
Volatility,ENEGY,0.02083803320863369,0.02543269963915256,-0.08930959971033366,-0.12487233728667199,-1.395060544385973,-1.897895213938273
Volatility,FINAN,0.005393840056410029,0.009895206754607672,-0.037682025948585204,-0.08837257118123654,-0.5886120619048874,-1.3431467972225553
Volatility,HLTHC,0.03290959634977472,0.02683750107072766,-0.1445245371706851,-0.11281324487785875,-1.7522668892400233,-1.3677879032661253
Volatility,INDUS,0.0029110181589821846,0.00837458776820797,-0.015444108191828291,-0.050203445502222555,-0.24124468199978844,-0.7630263116092785
Volatility,RLEST,0.017689708857199084,0.02152559218173674,-0.06828165964925079,-0.08361815268965576,-1.0104762860829002,-1.2374356571440386
Volatility,TECNO,0.020687675969302162,0.02344763858870527,-0.0812588855338246,-0.10068762090605708,-1.269304368810179,-1.5303193483256199
Volatility,TELCM,0.015202552857993785,0.01853792126046081,-0.06383577884098818,-0.08031387398577886,-0.9971467420081536,-1.220665203859528
Volatility,UTILS,0.02275395082048357,0.016726758673766,-0.09037304463294236,-0.07145428513422036,-1.4116720851102713,-1.0860111111741948
Dividend Yield,BMATR,0.0065700717314068615,0.002508402953568701,0.037235368397207515,-0.014593032453812707,0.5946011505348092,-0.2217948911083056
Dividend Yield,CODIS,0.0032308253820773555,0.005100739889226135,-0.020542103934372714,-0.03335124045526593,-0.3280310940793504,-0.5068949698093751
Dividend Yield,COSTP,0.02066761442814513,0.02240701805798273,-0.1204087615707081,-0.13400086754445942,-1.9227737295539655,-2.0366368621126965
Dividend Yield,ENEGY,0.0023733278121167703,0.0010050703311006457,0.011900214354728256,0.00513293163626406,0.19003118410030104,0.07801380672144811
Dividend Yield,FINAN,0.011258200949327798,0.016191023795403374,-0.11219204134692104,-0.16406279157077502,-1.7915632297257207,-2.493538550437305
Dividend Yield,HLTHC,0.03511777508484579,0.04202411772362229,-0.16074601845235845,-0.18232788008724807,-1.9489418975172237,-2.210608063632076
Dividend Yield,INDUS,0.018059882245353702,0.008772141835168851,-0.11170216523363503,-0.053778587077471934,-1.783740535520788,-0.8173637592157927
Dividend Yield,RLEST,0.05600243773082387,0.059491406685106496,-0.22156895920441005,-0.22630080861493135,-3.2789211650420462,-3.3489461416347117
Dividend Yield,TECNO,0.007741497099865196,0.003420798210843975,-0.03954585257428155,-0.018309222733628838,-0.6314966240890261,-0.27827609342580034
Dividend Yield,TELCM,0.0260415351482438,0.019866776154533455,-0.11739940608006329,-0.09063996763014848,-1.874718176080783,-1.3776082397004956
Dividend Yield,UTILS,0.018684952817466172,0.01995630281575137,-0.07577473930971378,-0.0832583288297907,-1.2100255513628817,-1.2654170430381153
