ym,EqualWeight,InverseVol,MinVariance,MaxSharpe,RiskParity,HRP,Momentum,BlackLitterman,MeanCVaR,TO_MVO
2014-02-01,0.04667820378312416,0.05276210097275567,0.0608029550286126,0.05710190656915924,0.05264512232420875,0.062331271330300024,0.06659576446355911,0.05854674665180503,0.05624485040943683,0.04667820378327259
2014-03-01,0.01149679160567189,0.017018150745305057,0.014042752763720995,0.00697919171914347,0.013376027294124208,0.014588104335276901,-0.0013548960764060655,-0.003155825041912865,0.006622903098604318,0.011496791605481699
2014-04-01,0.005660843704594272,0.008595712609294457,0.016873790919573358,0.01940500006930527,0.007821121531494587,0.010591065246420941,0.011412919674725882,0.016007580396155293,0.020554961730424773,0.0056608437050290426
2014-05-01,0.023245847863971412,0.026131489464628024,0.03324777001518687,0.0246719857307742,0.024772319759982325,0.027384076864154536,0.020020163632609833,0.013058000959736471,0.026889695925036938,0.023245847864009052
2014-06-01,0.042467746848535985,0.04577036615086053,0.05452242746124113,0.039098025067412126,0.04497984011460598,0.05018809366143116,0.06023994451088097,0.04460305917798492,0.03598001953831902,0.04246774684918986
2014-07-01,0.03269486505014129,0.023154547109610443,0.01148324125718822,0.012261728495670443,0.02700962330038182,0.020612242886571597,0.011351887089589795,0.01656173475966863,0.015292555139089073,0.03269486504889012
2014-08-01,0.01670771397555019,0.019294615339783664,0.025433132404120512,0.027532657744504682,0.018492906358401905,0.01789367732275366,0.02192079789327109,0.026955619828643564,0.030345010319855325,0.016707713976673266
2014-09-01,-0.06010796436381575,-0.05848981341735345,-0.05755921201111202,-0.04626789850282394,-0.05877787262445654,-0.05857362720486193,-0.05836167284533561,-0.03896915723925718,-0.043652330673179675,-0.060107964362865765
2014-10-01,0.005240027336894073,0.009215789054329477,0.019877774748438475,0.002954157960957397,0.008193480370595271,0.013017955413096182,0.009677455061622292,0.0026980142285216928,0.0010815382513786583,0.0052400273363264974
2014-11-01,-0.012527599714800837,-0.013149980394469093,-0.0043639415331423416,-0.010829127262046217,-0.012479345635870614,-0.01199806635593825,-0.0020902127544500447,-0.010249159387872936,-0.01120527142322663,-0.012527599713860789
2014-12-01,-0.033503265214129496,-0.03307433659010428,-0.030096209731669578,-0.02486052501355091,-0.03274645578331632,-0.030597895948347095,-0.024552106491863384,-0.024701244279737054,-0.02354930022581655,-0.03350326521361541
2015-01-01,0.02075209558076591,0.02183722688201914,0.029187473093183168,0.03916001820381981,0.023200441835939053,0.026748016017657434,0.02677886632956577,0.04179389703315084,0.04180190141542337,0.020752095583137946
2015-02-01,0.031829887590603276,0.02370400886239849,0.0038738926980607376,0.019454785602386625,0.025942992392580633,0.017587819463216955,0.022018730557511162,0.02145867664229409,0.025838790666874233,0.03182988758963439
2015-03-01,0.003217462518221212,0.0030926155694668963,0.002007219524506917,0.0140008030957065,0.0035581188495216525,0.0018811402484755194,0.00424948034543894,0.014813275051522684,0.015832042860389837,0.0032174625200703548
2015-04-01,0.1040601151258756,0.0839634605910931,0.07868912469965311,0.05293464631205925,0.09239492578374808,0.08398113458939113,0.10905964648324173,0.05765856717411699,0.058316619439543915,0.10406011512077766
2015-05-01,-0.03588253107802514,-0.02667709498828712,-0.020169471405455535,-0.02353658490775933,-0.030246126792052835,-0.029269678288502295,-0.0440392767987014,-0.03391864345980215,-0.019728190262721067,-0.03588253107405456
2015-06-01,-0.022007118951186264,-0.02125886298180332,-0.023742168665830447,-0.0168158529004841,-0.02136704833095761,-0.0207655918169263,-0.022875987687636924,-0.01706811620198483,-0.012571447683246416,-0.02200711895065676
2015-07-01,-0.04940426292121672,-0.04688981413460853,-0.04210791644577128,-0.04037470099487953,-0.04744524905034184,-0.04314212873905373,-0.04558800352922069,-0.043750791331121565,-0.0414138024931539,-0.049404262921006685
2015-08-01,-0.07968954306785604,-0.07713240322365286,-0.0815280298493409,-0.06747583037812122,-0.07828447551992648,-0.07894905842672004,-0.083192343067203,-0.07466365040911002,-0.06580308289303176,-0.07968954306645909
2015-09-01,-0.019994052715906187,-0.018904909109854064,-0.015861023633244715,-0.016648300252338405,-0.01940869568779922,-0.015974905524204684,-0.02330513362401866,-0.016616698089690397,-0.017707467831717737,-0.019994052715055395
2015-10-01,0.06259060770842288,0.058024966471077556,0.05406584741444395,0.06398294775039837,0.06008038677695114,0.057302654352268806,0.07279679535697554,0.061227492715997464,0.06114252069437206,0.06259060770686377
2015-11-01,-0.03544497523744704,-0.035019909000000064,-0.033882612403237505,-0.03357701129581715,-0.035571866992333716,-0.03435622678501283,-0.030484019986586418,-0.0375107444651583,-0.03465793245391313,-0.0354449752374904
2015-12-01,-0.002165955055375291,-0.006760058672302412,-0.0049573106706829635,-0.0009737307377724809,-0.004684095663950821,-0.007730946242354676,0.00504095186034631,-0.006537381388662633,-0.007576052853576648,-0.002165955056480695
2016-01-01,-0.0655292348300621,-0.058062326579714295,-0.04863503180093594,-0.0596412329893865,-0.059935019457675896,-0.05493245849043021,-0.061595246494384415,-0.05378262133293969,-0.0477063016320586,-0.06552923482709101
2016-02-01,-0.005225306683403318,-0.0006223242807479838,-0.0007081508223090675,-0.008495502791979073,-0.0036393607800054174,-0.003371445179783702,-0.00591690000369558,-0.007827032237924891,-0.007945295341756068,-0.0052253066848452386
2016-03-01,0.11221358458510343,0.10880293302818853,0.10291443521938619,0.1070754628900663,0.1098025588484541,0.10928015017166752,0.10892310524230335,0.10833787091604577,0.10982617311278788,0.11221358458507567
2016-04-01,0.008354685678848627,0.007509943799208238,0.003583143200632816,-0.003168419228287964,0.007284498104118153,0.003602984317348315,0.008912940448434969,-0.003233143936970391,-0.005008277988147854,0.00835468567348147
2016-05-01,-0.02937095582535973,-0.02076428297164344,-0.006096511777618545,-0.009651204280331886,-0.023122998000214973,-0.01446173145390785,-0.029391299075600657,-0.0065161492274494305,-0.00914502072804054,-0.029370955817384817
2016-06-01,0.034303581921384704,0.03800114176039345,0.042949955048357226,0.041880156812045724,0.0370660585520619,0.04007897845126771,0.035289039170683496,0.045141037316092314,0.04199073300890869,0.034303581924061424
2016-07-01,0.04374002683008991,0.04440705528969198,0.044824930516183595,0.04505852080915697,0.0437547359535047,0.04394380607038411,0.03539000328208839,0.041358831854001465,0.04464548209760593,0.04374002683099068
2016-08-01,0.024105851419358237,0.01525979275613016,0.010270798607967565,0.008149141368945534,0.017764018587769104,0.012011915653544545,0.013728411638798184,0.008363906576307879,0.0049259746069418575,0.02410585141907648
2016-09-01,0.0040144004607362005,0.007460246635586678,0.012101331915597017,0.010138972051605388,0.006032183765591901,0.00892192005823319,0.0014384904144752156,0.004055190163092361,0.010984120194758158,0.004014400462975452
