country,avg_weight,avg_fx_contrib,fx_ann,avg_weight_pct
INDIA,0.18205559571518598,-0.0009815355082803932,-1.177842609936472,18.2055595715186
CHINA,0.1136523623075558,-4.29275911950567e-05,-0.05151310943406804,11.36523623075558
INDONESIA,0.08830514337913652,-0.0003031034179938558,-0.363724101592627,8.830514337913652
SOUTH AFRICA,0.08462917752609184,-0.0004955076500226869,-0.5946091800272243,8.462917752609183
TAIWAN,0.08451803413551041,-3.663104712291007e-05,-0.043957256547492086,8.451803413551042
SOUTH KOREA,0.08373629922691293,2.859565633561572e-06,0.0034314787602738863,8.373629922691293
HONG KONG,0.057732417629352085,-5.282097682798009e-06,-0.00633851721935761,5.773241762935209
BRAZIL,0.05741535380481514,-0.0006325736407147371,-0.7590883688576845,5.741535380481514
THAILAND,0.05153379361382815,-2.140859330148282e-05,-0.025690311961779382,5.1533793613828145
RUSSIAN FEDERATION,0.04324761222743743,-0.0003551549913291332,-0.4261859895949598,4.324761222743743
MEXICO,0.029597861462497946,-0.00012122793678810683,-0.1454735241457282,2.9597861462497947
ISRAEL,0.02800224466891134,0.00027015411786870106,0.3241849414424413,2.800224466891134
PHILIPPINES,0.026081400122217258,-8.393249064630486e-05,-0.10071898877556584,2.608140012221726
CHILE,0.022287311333169538,-5.190107364098704e-05,-0.062281288369184444,2.2287311333169537
TURKEY,0.021824231310817968,-0.0004090700739605609,-0.49088408875267314,2.182423131081797
MALAYSIA,0.02177796483352039,-5.384070537561386e-05,-0.06460884645073664,2.1777964833520387
SAUDI ARABIA,0.020722324447620892,2.0501017677978815e-07,0.00024601221213574575,2.072232444762089
COLOMBIA,0.017087490112426176,-7.258018796873757e-05,-0.08709622556248509,1.7087490112426176
MOROCCO,0.014891774891774892,0.00023428942414680393,0.2811473089761647,1.4891774891774892
HUNGARY,0.013589972049900869,-0.00014125076811144776,-0.16950092173373732,1.358997204990087
CZECH REPUBLIC,0.012526522271588061,-6.206393112854233e-05,-0.0744767173542508,1.252652227158806
POLAND,0.010606203180279435,-2.853979247990813e-05,-0.03424775097588976,1.0606203180279434
UNITED KINGDOM,0.009882037154764427,-0.00014344960610133457,-0.17213952732160148,0.9882037154764427
NETHERLANDS,0.009704482844978714,-0.00010022982524841728,-0.12027579029810073,0.9704482844978715
QATAR,0.009698271218363445,-3.680956098779166e-06,-0.0044171473185349985,0.9698271218363445
UNITED ARAB EMIRATES,0.0071745488355919275,5.0305227605709134e-08,6.036627312685096e-05,0.7174548835591927
EGYPT,0.004482046479890533,-8.30967013906022e-05,-0.09971604166872264,0.44820464798905324
