ym,Ridge EW,Ridge SW,ElasticNet EW,ElasticNet SW
2009-02-01,-0.05820078311391064,-0.05923095892434261,-0.07947425820256417,-0.08238247418741057
2009-03-01,0.16663033937759142,0.16817617257702303,0.209378700322831,0.21330182985009394
2009-04-01,0.14927979436842678,0.1441916144870574,0.16723077106299328,0.1683303980506898
2009-05-01,0.15380651292568903,0.15088131761335602,0.13314707617172514,0.13414979609271538
2009-06-01,0.015442091043670992,0.012996217525432074,0.013652108893605635,0.019103956773855933
2009-07-01,0.10783955038189967,0.098468723243812,0.1429682371226008,0.14206848576547662
2009-08-01,-0.02385692827771824,-0.026330997077241288,-0.04317792970488331,-0.04632016638147904
2009-09-01,0.07743982962918872,0.08255344134503363,0.09345789431113075,0.10045807039215028
2009-10-01,0.009268568913626558,0.01283301602835951,0.006218684855396678,0.013067083014212489
2009-11-01,0.02896918344976955,0.0374186218728528,0.013470471688681068,0.02080963683946243
2009-12-01,0.04928983618531424,0.050945842234324995,0.0505903537843909,0.05279663968738837
2010-01-01,-0.0487506917635467,-0.0542887794479081,-0.049787218361675774,-0.050924002815617445
2010-02-01,0.013993299101085903,0.021896988191287662,0.019104310957921297,0.021634846191585327
2010-03-01,0.07556583123184998,0.07335242729471342,0.07933433192636406,0.07771199304522977
2010-04-01,-0.005125978338282727,-0.00450092546885711,-0.0007615648229186675,-0.0001268242435080478
2010-05-01,-0.0681117676259837,-0.0616555601431431,-0.07108741998320106,-0.06188792993598122
2010-06-01,0.005913834343970132,0.005607556680639633,0.010988431321360069,0.014243265738702916
2010-07-01,0.07198595519272175,0.06271406944444356,0.06962580194584779,0.06007149041953472
2010-08-01,-0.006255912262911083,-0.012918401974435058,-0.025914859565358505,-0.022926958588060466
2010-09-01,0.09691631331750844,0.09258260692094401,0.10650477404410973,0.10221358293175609
2010-10-01,0.02392183449494558,0.03877369587790019,0.013975732541971276,0.013968920803944608
2010-11-01,-0.0241547969336844,-0.015377910217004742,-0.016695219887306722,-0.01678294282135784
2010-12-01,0.0531644921373509,0.054094200025459574,0.06556631352893735,0.0596357234150468
2011-01-01,-0.024658283581644493,-0.01774327454344908,0.0016578505203338472,0.006759176210286502
2011-02-01,-0.03336878088764314,-0.02796596551979905,-0.051771316094108406,-0.053147744552252
2011-03-01,0.08869923829261794,0.08645036891804192,0.09964252525535368,0.0969974099344066
2011-04-01,0.046086546392697776,0.06046608791256783,0.02945446335688395,0.030780727708875386
2011-05-01,-0.014570387787433164,-0.022903741326508676,-0.014145451863797414,-0.013603294342323895
2011-06-01,-0.010055285688308779,-0.01148627646078546,-0.013904306907022589,-0.015500247291670476
2011-07-01,0.004307160504898703,0.0049526424559503575,0.0019210678375028384,0.002869767339090362
2011-08-01,-0.08585868471517377,-0.08503394721434297,-0.10841551632803365,-0.10865503953537553
2011-09-01,-0.14837877958009393,-0.1530369829386393,-0.15323139385530823,-0.15394598678899987
2011-10-01,0.1184560744152544,0.11469121147185145,0.16127320903855644,0.16127320903855644
2011-11-01,-0.0622660592149796,-0.0614339027226545,-0.06738034092841828,-0.06564310486581786
2011-12-01,-0.006305690777865542,-0.0012575166922779157,0.0062575917676167495,0.006057615186234497
2012-01-01,0.09240937439025382,0.09675275585027775,0.09504810969796974,0.09504810969796974
2012-02-01,0.07431739650072021,0.07321130177184874,0.042339825815780184,0.042339825815780184
2012-03-01,-0.030965707530129213,-0.030456496563623023,-0.029998533219285684,-0.029998533219285684
2012-04-01,-0.008145000771436718,-0.0027454176547021887,3.6637111797825766e-05,3.6637111797825766e-05
2012-05-01,-0.07987969777036925,-0.09667720293490557,-0.07405595503597212,-0.07405595503597212
2012-06-01,0.05553196329150884,0.05678844327939529,0.04315169997984287,0.04315169997984287
2012-07-01,0.016512616562874328,0.021429273484218133,0.01839705441258501,0.01839705441258501
2012-08-01,0.008139228298698774,0.0031731773834893064,0.00898758929583606,0.00898758929583606
2012-09-01,0.055666753432959175,0.047021785474282644,0.0610857551333863,0.0610857551333863
2012-10-01,-0.006020384363014467,-0.0029484223288789497,0.008308573326650524,0.008308573326650524
2012-11-01,0.015774206032403267,0.019302259980835627,0.022047307421274583,0.022047307421274583
2012-12-01,0.04268672590642062,0.0361531852394475,0.053376268274798466,0.053376268274798466
2013-01-01,-0.004069938543650434,-0.008184849436069293,0.002891810265084408,0.002891810265084408
2013-02-01,-0.0020057102370987425,-0.00348046356941462,0.002898622155200863,0.002898622155200863
2013-03-01,0.0021748213679904523,0.00421487807394014,-0.03434120185447933,-0.03434120185447933
2013-04-01,0.01866318367281267,0.012241720558991255,-0.009851235608051208,-0.009851235608051208
2013-05-01,-0.018917195077978025,-0.017683237472983768,-0.003619395049647622,-0.003619395049647622
2013-06-01,-0.06042860314534613,-0.05308812058736923,-0.0540167945793397,-0.0540167945793397
2013-07-01,0.03633774041102399,0.012742001318683388,0.05528230875014078,0.05528230875014078
2013-08-01,-0.03622646500504585,-0.029795730937797246,0.020663091918987072,0.020663091918987072
2013-09-01,0.07653359052033898,0.08034294437431931,0.060234000438446886,0.060234000438446886
2013-10-01,0.04867987698101031,0.05109289755333839,0.031761085504523924,0.031761085504523924
2013-11-01,-0.009526125024845573,-0.010577192207672618,0.017287685799036112,0.017287685799036112
2013-12-01,-0.010028747584025376,-0.0035399596715377916,-0.0027291263373446658,-0.0027291263373446658
2014-01-01,-0.058606888299890074,-0.06691871204354821,-0.053226117958274616,-0.053226117958274616
2014-02-01,0.05085083495892229,0.05780510059359007,0.03092036936889364,0.03092036936889364
2014-03-01,0.013481428732040383,0.011904139964196536,-0.007986682836744334,-0.007986682836744334
2014-04-01,-0.001618787666280772,-0.003400852796602556,0.002169017710615706,-0.0007693865073227571
2014-05-01,0.015743454538917886,0.006745387973390921,0.027744930455138636,0.027744930455138636
2014-06-01,0.04386976389372946,0.04818844506038788,0.02618138930055444,0.029789942051283824
2014-07-01,0.01687052562746815,0.03180900945555672,0.044553585202430405,0.044235034251757524
2014-08-01,0.025033366195637632,0.028060664665337697,0.005062442597243918,0.008576490275221983
2014-09-01,-0.05727338073075371,-0.058912722695738905,-0.06790537291092193,-0.07398639930245289
2014-10-01,0.01303446062737851,0.010313907442746737,-0.008172257351304309,-0.012641833975259042
2014-11-01,-0.016516078680685477,-0.010009708713731857,-0.021645528875139493,-0.01970594072217705
2014-12-01,-0.04494774755233339,-0.041580218393855,-0.03864111102385331,-0.03497004920007018
2015-01-01,0.008876581910609062,0.011961470295981979,0.005038960410041482,0.007456742066035438
2015-02-01,0.03489682136607294,0.02694100979577625,0.021580597533436826,0.02308064927224375
2015-03-01,0.0032597115188343546,-0.0017157176651035435,0.008237586344955474,0.006733255744323405
2015-04-01,0.10037855969827135,0.08607080829387549,0.11955119916187512,0.1229460048157276
2015-05-01,-0.03147530227833642,-0.02768253361483414,-0.05367632399913655,-0.05333385623765663
2015-06-01,-0.02869447086748789,-0.02969625520639466,-0.034148763975199475,-0.035648625751041954
2015-07-01,-0.06909639979127437,-0.06544715911757526,-0.06081129313598601,-0.06078244330531526
2015-08-01,-0.08391705987940647,-0.085495796014621,-0.07625571149635729,-0.07857589923033312
2015-09-01,-0.023402389765944467,-0.037068357631846016,-0.0035400857794895893,-0.009854931223153241
2015-10-01,0.06423721547837924,0.0637494361459241,0.07134058300319233,0.06959583272378755
2015-11-01,-0.03635089569035474,-0.03782425328071496,-0.02456361956404556,-0.023685522679751395
2015-12-01,0.0026651853888627324,0.002819081120843706,-0.015590934634195664,-0.014634682191515341
2016-01-01,-0.05992239375471706,-0.07063416251825912,-0.07198246574364829,-0.07232193991908063
2016-02-01,-0.0032556367012050195,0.004578967023872088,-0.004211627242775151,-0.0024013671519207466
2016-03-01,0.1018683237289792,0.108037611810254,0.11316136349099547,0.11768800902052842
2016-04-01,0.0033838779718265797,0.00931717907462902,0.0026637873707167996,0.005100049961885034
2016-05-01,-0.029788027722734246,-0.03325534861308649,-0.03746700014335918,-0.04118367083041335
2016-06-01,0.029500272006650254,0.040393442203809075,0.023497903390060585,0.026302508890725173
2016-07-01,0.042054572793343584,0.04506208142832275,0.04326318373733142,0.04477577323688291
2016-08-01,0.027477573059931603,0.02221205494651676,0.02663953983546086,0.025699856237307254
2016-09-01,0.00891713605833036,0.008698862616751556,0.008187380076244026,0.006438294778964071
2016-10-01,-0.018411837026443015,-0.020263676644716035,-0.028752827842060583,-0.027568638130314963
2016-11-01,-0.04429749369957075,-0.04442378062829496,-0.020159631826856626,-0.020002551862286642
2016-12-01,-0.007239260252704641,-0.00849280385012658,-0.002569048436186912,-0.0034107102583710094
2017-01-01,0.057997943160707825,0.0632144020921514,0.04506810360956142,0.04720176391252755
2017-02-01,0.02472280003429537,0.026832806415093592,0.03903516833797573,0.03883672915164707
