ym,EqualWeight,InverseVol,MinVariance,MaxSharpe,RiskParity,HRP,Momentum,BlackLitterman,MeanCVaR,TO_MVO
2014-02-01,0.04569521995819238,0.045593683302231305,0.04968822452701152,0.055088295468819236,0.04732920397385056,0.049952957338547745,0.061683705498753856,0.06277233526318964,0.05218444264363634,0.06109464533198498
2014-03-01,0.022959234115443636,0.027378820497058177,0.020963285787971363,0.010265373952872888,0.023936550926719258,0.025554478239433052,0.00805060234406653,-0.00015784905538664308,0.016689620212030794,0.008036188267521822
2014-04-01,0.007808323832199309,0.012135774606541399,0.021536396251384322,0.016497246761158494,0.011281366073697193,0.015597068953183997,0.013050130936801126,0.014041719802413562,0.019822735698464638,0.014435038637575903
2014-05-01,0.024288653692825582,0.025979731803849337,0.03250640941276025,0.02399591807891997,0.025078812498190224,0.0286007283262687,0.022220620095849276,0.01126665770673773,0.027582869314613293,0.016967495037273263
2014-06-01,0.036152544546382864,0.03716865707577898,0.04008497599285097,0.03606488507442281,0.037908905945535164,0.046101997247173405,0.048389309846336874,0.03872452149385786,0.03716824114261787,0.034275732626322386
2014-07-01,0.035337023396223216,0.02890182588518212,0.01990062758580907,0.015958041232789634,0.031023246301296558,0.025848021517487167,0.01777929321353071,0.01865888767445592,0.01833118246327524,0.01750153026235048
2014-08-01,0.024624299263585267,0.028870692360987712,0.032840702789005284,0.03611481170392466,0.02759591100862219,0.029152478056974636,0.02390103569981045,0.03512282596369142,0.034886245488296,0.03644487644884676
2014-09-01,-0.0599653959565566,-0.06071244109350013,-0.06672215287367146,-0.05203921642095537,-0.060077487858337546,-0.061841272389689055,-0.06005937376515401,-0.03825334446818873,-0.05387258489065775,-0.04030055194873607
2014-10-01,0.005104925263068727,0.007369657171552604,0.01539647472216529,0.012382098737352965,0.0072085815329925645,0.009120475315840256,-0.00013271418720314795,0.011832233319056121,0.014603837596520832,0.011832233319056133
2014-11-01,-0.025792837479489798,-0.021738303194238952,-0.007442830458279718,-0.016433463773101564,-0.022148998561632095,-0.014987821429740497,-0.022383624338797876,-0.013297278923317115,-0.011323678129546636,-0.013297278923317113
2014-12-01,-0.0395229236829393,-0.036584112975830564,-0.036405749674140876,-0.032637661824433103,-0.03759569308838782,-0.036853138921567094,-0.029798552943723418,-0.03070422438583029,-0.03227428181415142,-0.030704224385830276
