,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS,AVG
SF,0.49500833162748453,0.9679500786853333,1.0121862409008833,0.737490147679492,0.7883019833924538,0.8924255608960898,0.42888238676199225,0.5710897072971051,1.433488186973742,1.1641467424720096,0.8730340909527661,0.8512730416035773
All6-EW,0.40803268230581174,1.149954485392783,1.0221641827778458,0.5545156479526212,0.8877739309528323,0.8924255608960898,0.42493103641417457,0.5251332359829473,1.3869982690809288,1.264437362769247,0.9366714310195833,0.8593670750495331
All6-ICwt,0.4537665385368367,0.9511893179530996,0.924062537519659,0.7196937763861669,0.7834863464476984,0.8924255608960898,0.5429440107230766,0.5364244190815507,1.2305487895420184,0.8085658779975319,0.8149034673063195,0.7870918765809134
Top3-EW,0.3798812063994239,0.9906687188855763,1.02732813429412,0.691493656524953,0.8230770223731886,0.8924255608960898,0.5786250805153953,0.6383274210756557,1.3264907433512456,0.775661687187092,1.2866514403425426,0.8555118792586621
Top3-ICwt,0.39699690673906546,1.0164917484145066,0.9455997735944316,0.7720968835419361,0.8186460000158534,0.8924255608960898,0.503180691923387,0.561661451028354,1.4011858634754635,0.7863552601322368,1.0118467847207477,0.8278624476801884
Corr03-EW,0.3341262051486664,0.9200186317105061,1.028589544399566,0.7591712715862408,0.7600493486666318,0.8924255608960898,0.5970618313383149,0.5133059406151872,1.3663159293787623,0.9494964043489648,0.9277914368377909,0.8225774640842474
Corr03-ICwt,0.39399812211823554,0.8717348679852159,1.287952275876564,0.7224189882643007,0.7579207114060988,0.8924255608960898,0.45511869362612906,0.5561372191438195,1.3437763532994027,0.8467120709175866,0.8743089867910141,0.818409440938587
Corr05-EW,0.33821459689455696,1.0497926808044276,1.1051388052587245,0.8621618939031598,0.737004779826669,0.8924255608960898,0.6078388956754118,0.47707431750105617,1.191801148670126,0.8417430829684317,0.6850594331197235,0.7989322905016707
