ym,portfolio,hedged,static_tc_bps,time_varying_tc_bps,stock,allocation,total,cost_uniform_20,cost_static_stock,cost_static_total,cost_tv_total
2019-02-01,0.0019752103502265,0.001161829250708,44.61248374723606,39.224172646198674,0.23495670995670997,0.0355447770631322,0.27050148701984217,0.00046991341991342,0.0010482002404247782,0.0012067743193275894,0.001061019702791976
2019-03-01,0.0220017421489552,0.0163240315920638,45.77973966594368,40.17240232729886,0.16937229437229437,0.07167383147781688,0.24104612585011126,0.00033874458874458876,0.0007753819542987214,0.001103502888890239,0.0009683401947087384
2019-04-01,-0.0025930528277075,-0.0192795367591462,45.95665793138502,40.241087403089196,0.17175324675324674,0.05864164988983728,0.23039489664308402,0.00034350649350649347,0.0007893205209643725,0.0010588179454163018,0.0009271341173040045
2019-05-01,-0.0461306358646944,0.0165408926678737,45.18780282500183,39.485658298616016,0.2196969696969697,0.08293024794601747,0.30262721764298717,0.00043939393939393937,0.000992762334791707,0.001367505904033022,0.001194943490771189
2019-06-01,0.0662935433081876,0.0190972841981576,45.14001529793969,39.35923460581944,0.137012987012987,0.08701263475684577,0.22402562176983276,0.00027402597402597403,0.0006184768329782646,0.00101125199938207,0.0008817477004953417
2019-07-01,-0.0208517328267416,-0.0067916076870146,45.04127337812122,39.19155460724791,0.18084415584415584,0.047171310068719496,0.22801546591287533,0.00036168831168831165,0.0008145451062212182,0.0010270106934621498,0.0008936280583621528
2019-08-01,-0.0445578726054032,-0.0022208437967884,44.320491508147086,38.481605537193055,0.20584415584415583,0.09398397202009676,0.2998281278642526,0.0004116883116883116,0.0009123114161092614,0.0013288529994911248,0.001153786774542725
2019-09-01,0.0209420720725886,0.0068246555544773,43.22953506126285,37.45380669999725,0.16147186147186146,0.0940059375042941,0.2554777989761556,0.0003229437229437229,0.0006980353496905213,0.001104418646821398,0.0009568616098993687
2019-10-01,0.0637810848699074,0.0293886112281804,42.227522739158005,36.50966877141202,0.17272727272727273,0.06882436219620436,0.2415516349234771,0.00034545454545454544,0.0007293844836763656,0.0010200127156411922,0.0008818970182249188
2019-11-01,-0.0124730358091931,-0.0109012725346424,43.425477546873466,37.46482222135528,0.17067099567099567,0.09500987953857012,0.2656808752095658,0.00034134199134199135,0.0007411469490413361,0.001153731888104669,0.000995368675734046
2019-12-01,0.0679161746202696,0.0070351804010459,43.57690039353718,37.51736230211011,0.10865800865800866,0.05451840349812893,0.1631764121561376,0.0002173160173160173,0.0004734979220250144,0.0007110722259102778,0.0006121948574020258
2020-01-01,-0.055740750584255,-0.0157080621849692,43.044900067326076,36.97979079906116,0.14437229437229437,0.09061345804027016,0.23498575241256453,0.00028874458874458874,0.0006214490983745994,0.0010114938229844267,0.0008689723964976618
2020-02-01,-0.0466675054594436,-0.0006467985367951,44.17178304911495,37.86643861686472,0.33394974590626764,0.10398177942109645,0.43793152532736407,0.0006678994918125353,0.0014751155725478717,0.0019344216327128315,0.0016582907222198568
2020-03-01,-0.1195346855696713,0.0149109209197576,43.196156802248844,36.95571691910907,0.1480566534914361,0.1306927010008656,0.2787493544923017,0.00029611330698287215,0.0006395478419832297,0.0012040900825175114,0.0010301382236001886
2020-04-01,0.1141460353526104,0.0375816411708541,43.028696056389734,36.73343085567736,0.17319938515590688,0.1394977100762086,0.3126970952321155,0.0003463987703118137,0.0007452543701027098,0.0013454948268458652,0.0011486437126480072
2020-05-01,0.0290959445614397,0.0240955196988724,43.42182432702205,36.992038271281395,0.14656189221406613,0.11386306290823531,0.26042495512230146,0.00029312378442813226,0.000636398473675512,0.0011308126651693175,0.0009633649906680916
2020-06-01,0.0948860097903097,0.0354745393227464,43.53184386078085,37.006161784842696,0.14464991530208923,0.08853043927868504,0.23318035458077427,0.00028929983060417845,0.0006296877527405724,0.0010150770787011782,0.0008629109926663117
2020-07-01,0.08392268318078,0.0109262862248384,45.38766125628764,38.50362984905654,0.21710427253905512,0.07316660720614804,0.29027087974520316,0.0004342085450781102,0.0009853855179295385,0.0013174716362439887,0.0011176482509669303
2020-08-01,0.0209989978600249,0.0027137393394355,44.524482336615606,37.690294612945486,0.10523558567036827,0.05553132745660881,0.16076691312697708,0.00021047117134073652,0.00046855599753637105,0.0007158063583834306,0.000605935231976958
2020-09-01,-0.0236196519209365,-0.0081506857632284,44.354540903448736,37.465844509506184,0.14958121588556372,0.057275547566196815,0.20685676345176054,0.00029916243177112743,0.0006634606158383832,0.0009175036775676133,0.0007750063335223362
