,te_36m
2017-02-01,0.0548589387796939
2017-03-01,0.05457976823062995
2017-04-01,0.052373140840992816
2017-05-01,0.05259274777215386
2017-06-01,0.0515965490475505
2017-07-01,0.05057558788238649
2017-08-01,0.050590719596073766
2017-09-01,0.050227644882935484
2017-10-01,0.048678893883346126
2017-11-01,0.048972588136053576
2017-12-01,0.04972850944493394
2018-01-01,0.04919426639133112
2018-02-01,0.05377984448548678
2018-03-01,0.05377732668365054
2018-04-01,0.05418203650894676
2018-05-01,0.052721597004234094
2018-06-01,0.05454596915609278
2018-07-01,0.05669169502340333
2018-08-01,0.05555679637992372
2018-09-01,0.05493665046145277
2018-10-01,0.056606278400280804
2018-11-01,0.05833134974530906
2018-12-01,0.05749227197063613
2019-01-01,0.054888807095997805
2019-02-01,0.05518771323741849
2019-03-01,0.05506197862433266
2019-04-01,0.05101079526812684
2019-05-01,0.05293704466188388
2019-06-01,0.055104819266056995
2019-07-01,0.054844799131958485
2019-08-01,0.05455760726282443
2019-09-01,0.05459079498355663
2019-10-01,0.054522558701793684
2019-11-01,0.05298717739955884
2019-12-01,0.05297010528719517
2020-01-01,0.0531216225407859
2020-02-01,0.05284620102286618
2020-03-01,0.052397303987083095
2020-04-01,0.055860625497093364
2020-05-01,0.05678646709817829
2020-06-01,0.05765325883112956
2020-07-01,0.058791680807535496
2020-08-01,0.058503704868927156
2020-09-01,0.058566312155208286
2020-10-01,0.05891057044349145
2020-11-01,0.059750962409302256
2020-12-01,0.05949230786577473
2021-01-01,0.0628956168140104
2021-02-01,0.05957699926201787
2021-03-01,0.061974965515076884
2021-04-01,0.061472620057910154
2021-05-01,0.06580024847091923
2021-06-01,0.06496027836796385
2021-07-01,0.06684235980151891
2021-08-01,0.06675032558444208
2021-09-01,0.06749927193634855
2021-10-01,0.06509336722641032
2021-11-01,0.06428180744365967
2021-12-01,0.06439884320993905
2022-01-01,0.06452425479897271
2022-02-01,0.06416020418735477
2022-03-01,0.06478324918855577
2022-04-01,0.0687266298415577
2022-05-01,0.06621643199569169
2022-06-01,0.06602210100964069
2022-07-01,0.06608165354815915
2022-08-01,0.06630534212312378
2022-09-01,0.06627263204341964
2022-10-01,0.06739517989751465
2022-11-01,0.06841058935473204
2022-12-01,0.06895719881642684
2023-01-01,0.0695264761802027
2023-02-01,0.07585252283803956
2023-03-01,0.07650444454759747
2023-04-01,0.07451229136915577
2023-05-01,0.07406860445632221
2023-06-01,0.07441416785844246
2023-07-01,0.07347045115557777
2023-08-01,0.07345207452326588
2023-09-01,0.07429351641066048
2023-10-01,0.07410144466805872
2023-11-01,0.0735951225037496
2023-12-01,0.07344686371587819
2024-01-01,0.07011033912629017
2024-02-01,0.06816698081941197
2024-03-01,0.06627777778525974
2024-04-01,0.06621090361451135
2024-05-01,0.0613376286057847
2024-06-01,0.06245017177505666
2024-07-01,0.058508067590050596
2024-08-01,0.05883742775919909
2024-09-01,0.05906078275038221
2024-10-01,0.05906879252487187
2024-11-01,0.05906131998273281
2024-12-01,0.05957695116751985
2025-01-01,0.059030174026992795
2025-02-01,0.058867046606776066
2025-03-01,0.05757926803816447
