,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2014-02-01,3.971026998919181e-08,0.115816118048836,0.07745127718795242,0.051701983161579264,0.06541590824526282,0.19393174867921298,0.08743268888526122,0.03467459345364154,0.20091004355105307,0.0896936454796036,0.0829719535973272
2014-03-01,4.2522095935492505e-08,0.12677133581296846,0.05322908575450225,0.06730831117695407,0.0522734337168699,0.22535669193146537,0.07828895646679178,0.026843078757300177,0.2116208811912272,0.0658183963899469,0.09248978627987792
2014-04-01,0.004472248584393436,0.1517785462776108,0.04827691616013925,0.07823099759687542,0.06036789789164699,0.19066672817900104,0.10506645904841962,5.041566243006422e-08,0.2230213479655454,0.09094167695394328,0.04717713092676239
2014-05-01,0.0536242109917633,0.11368232766722093,0.05202006291970908,0.09805232499468336,0.06840981935814153,0.1539825563481179,0.11109176190328587,3.968948211445825e-08,0.2020787905214549,0.09997333648326939,0.047084769122871586
2014-06-01,0.049190395898038225,0.08304987664945203,0.06370669507577834,0.11147819806742267,0.08096086119873065,0.15283101883918124,0.11310629119350184,3.881297101691865e-08,0.1881060802631259,0.10771656025214921,0.049853983749648834
2014-07-01,0.06638690324083113,0.09685025183764519,0.044390368702297726,0.11033982245267106,0.08160328845783396,0.13658652459835444,0.12025335852568104,4.2554667627184106e-08,0.210425059658762,0.060744979969516014,0.07241940000173985
2014-08-01,0.08235157715284182,0.10559826264620377,0.0453215398285101,0.10550585026095663,0.11286552326737313,0.050563013670010364,0.12133415170075824,6.212518962974233e-08,0.22605709911188174,0.059876380667050456,0.09052653956922402
2014-09-01,0.041183079364014726,0.09951790497084649,0.06683937691538105,0.11654490269215356,0.10783722876172709,0.10721976978361683,0.10586412689135041,4.4448375940457954e-08,0.18584175863850796,0.05872162760826601,0.11043017992575987
2014-10-01,0.028488020090241616,0.10542220189732694,0.07390989866972256,0.10026282306610586,0.10707888540364002,0.13794394891107514,0.10533447776571116,4.5025737964758114e-08,0.19565763822525248,0.06629257515109924,0.07960948579408711
2014-11-01,0.02461466638714395,0.09921389578053474,0.08316140791433227,0.09364535050699163,0.11264612303031687,0.1469893360907681,0.0692855274762488,4.815058777566209e-08,0.19876595171448966,0.08629417954796988,0.08538351340061635
2014-12-01,5.514183235855688e-08,0.09354665935508229,0.11522951042944864,0.057696970435788954,0.12967205030761259,0.1585628821196158,0.05966736589476816,0.0263311181773757,0.2070402574039765,0.07973669765212889,0.07251643308237017
2015-01-01,4.092610891948165e-08,0.07442012559278793,0.11866934293789841,0.06200482222049691,0.1466377709470097,0.14782267365212864,0.06392648628584865,0.07693726040459857,0.14564655580633404,0.10102616827856893,0.06290875294821927
2015-02-01,3.3539245541178597e-08,0.09669109283616188,0.12199723789997144,0.07114396107162568,0.12358473507001207,0.13628360567536574,0.058806018593987465,0.06885313165243985,0.12924325592980054,0.1090102835752136,0.08438664415617612
2015-03-01,4.328252592583806e-08,0.10076384256686408,0.12943229508366816,0.07587935532940951,0.13946388499124066,0.1422434647788699,0.05448536017988641,0.07827622851630242,0.11942366403373776,0.1205144881482854,0.03951737308920958
2015-04-01,4.21803269703497e-08,0.11559581667967819,0.1050221470660749,0.07158422810280864,0.12324403035433995,0.17836141086467772,0.02856591126001968,0.1182807349412198,0.13217626559578446,0.09345930533083642,0.03371010762423325
2015-05-01,4.712439291862242e-08,0.1187878604063625,0.07518822395653604,0.0613254771246744,0.120408462695497,0.162361671357636,0.00924931906263905,0.21419283930418723,0.11016593437332309,0.0652710700320335,0.06304909456271815
2015-06-01,0.005913625692234721,0.155354678905556,0.07776275833947069,0.02621045224688416,0.11898327058081536,0.18854485738750296,5.407498622185811e-08,0.21463229565135253,0.12238664672479212,0.037405275353564596,0.05280608504284047
2015-07-01,0.011357915307341808,0.1254593344291177,0.10424945347993472,0.037942642842344707,0.11517415717545489,0.19468007735628134,5.335007282267217e-08,0.22809284710440014,0.08779708352815467,0.07695890709788371,0.018287528329013526
2015-08-01,5.117920202677002e-08,0.11184138205582476,0.11519045871351481,0.05780857322011237,0.09419348254234645,0.2190277943624032,0.015146637105695476,0.19231679506039612,0.0865236762947703,0.08461529838172276,0.023335851084011677
