Period,Cons. Median ($M),Cons. Mean ($M),Agg. Median ($B),Agg. Mean ($B),Avg Stocks
2014-2018,338.79105872714536,353.4764768113537,8.124182913139341,9.591740331651192,90.44067796610169
2020-2025,474.7212950435453,502.23670608878376,29.286599991995022,30.741692130532183,102.39682539682539
