ym,EqualWeight_SF_LW_60m,InverseVol_SF_LW_60m,MinVariance_SF_LW_60m,MaxSharpe_SF_LW_60m,RiskParity_SF_LW_60m,HRP_SF_LW_60m,Momentum_SF_LW_60m,BlackLitterman_SF_LW_60m,MeanCVaR_SF_LW_60m,TO_MVO_SF_LW_60m,EqualWeight_All6EW_LW_60m,InverseVol_All6EW_LW_60m,MinVariance_All6EW_LW_60m,MaxSharpe_All6EW_LW_60m,RiskParity_All6EW_LW_60m,HRP_All6EW_LW_60m,Momentum_All6EW_LW_60m,BlackLitterman_All6EW_LW_60m,MeanCVaR_All6EW_LW_60m,TO_MVO_All6EW_LW_60m,EqualWeight_All6ICwt_LW_60m,InverseVol_All6ICwt_LW_60m,MinVariance_All6ICwt_LW_60m,MaxSharpe_All6ICwt_LW_60m,RiskParity_All6ICwt_LW_60m,HRP_All6ICwt_LW_60m,Momentum_All6ICwt_LW_60m,BlackLitterman_All6ICwt_LW_60m,MeanCVaR_All6ICwt_LW_60m,TO_MVO_All6ICwt_LW_60m,EqualWeight_Top3EW_LW_60m,InverseVol_Top3EW_LW_60m,MinVariance_Top3EW_LW_60m,MaxSharpe_Top3EW_LW_60m,RiskParity_Top3EW_LW_60m,HRP_Top3EW_LW_60m,Momentum_Top3EW_LW_60m,BlackLitterman_Top3EW_LW_60m,MeanCVaR_Top3EW_LW_60m,TO_MVO_Top3EW_LW_60m,EqualWeight_Top3ICwt_LW_60m,InverseVol_Top3ICwt_LW_60m,MinVariance_Top3ICwt_LW_60m,MaxSharpe_Top3ICwt_LW_60m,RiskParity_Top3ICwt_LW_60m,HRP_Top3ICwt_LW_60m,Momentum_Top3ICwt_LW_60m,BlackLitterman_Top3ICwt_LW_60m,MeanCVaR_Top3ICwt_LW_60m,TO_MVO_Top3ICwt_LW_60m,EqualWeight_Corr03EW_LW_60m,InverseVol_Corr03EW_LW_60m,MinVariance_Corr03EW_LW_60m,MaxSharpe_Corr03EW_LW_60m,RiskParity_Corr03EW_LW_60m,HRP_Corr03EW_LW_60m,Momentum_Corr03EW_LW_60m,BlackLitterman_Corr03EW_LW_60m,MeanCVaR_Corr03EW_LW_60m,TO_MVO_Corr03EW_LW_60m,EqualWeight_Corr03ICwt_LW_60m,InverseVol_Corr03ICwt_LW_60m,MinVariance_Corr03ICwt_LW_60m,MaxSharpe_Corr03ICwt_LW_60m,RiskParity_Corr03ICwt_LW_60m,HRP_Corr03ICwt_LW_60m,Momentum_Corr03ICwt_LW_60m,BlackLitterman_Corr03ICwt_LW_60m,MeanCVaR_Corr03ICwt_LW_60m,TO_MVO_Corr03ICwt_LW_60m,EqualWeight_Corr05EW_LW_60m,InverseVol_Corr05EW_LW_60m,MinVariance_Corr05EW_LW_60m,MaxSharpe_Corr05EW_LW_60m,RiskParity_Corr05EW_LW_60m,HRP_Corr05EW_LW_60m,Momentum_Corr05EW_LW_60m,BlackLitterman_Corr05EW_LW_60m,MeanCVaR_Corr05EW_LW_60m,TO_MVO_Corr05EW_LW_60m
2014-02-01,0.03524567593771076,0.038529213162976986,0.0477355106670557,0.05570373069101764,0.038902967001727365,0.044933372009058115,0.054460505859584764,0.048092249443824356,0.04572242101294861,0.04685833128909101,0.040473928511023306,0.03990909369983003,0.045120469440703886,0.05095490758896661,0.041951865389241595,0.04577705627885562,0.05573548524516012,0.06022130058285465,0.05673611040792552,0.055037643326865254,0.04488774885377728,0.04619156051454314,0.04878101808798845,0.06411635096834191,0.047467287183731485,0.05139408818609138,0.0601225805134659,0.06351548033732951,0.05744074177948913,0.060608713337999616,0.052157646280681536,0.055420551580962915,0.05845515067377122,0.07067841087059151,0.05570589540048111,0.061995143381612085,0.06402512821635484,0.06573253712146618,0.06334182918836453,0.07231388843843463,0.048171532825576034,0.051299130640454035,0.05684245884874615,0.06936698250843802,0.05144890523591052,0.05433990386319427,0.06239204370810526,0.06120495427380826,0.05879450658185291,0.06577251982409356,0.0427675976154438,0.044019972423257864,0.0518193488354687,0.059741307382840655,0.04458299985623837,0.04523594462627987,0.06893892123518172,0.06307777366516934,0.057957833362262616,0.06715225511636175,0.04517854499293621,0.046956861186902496,0.05174409536842374,0.06118133685113467,0.04755621838430403,0.050117107320203164,0.06736779014590775,0.06511306520542473,0.057025588412473786,0.06135845281329963,0.04446477326519734,0.04687880160120805,0.05161103169975699,0.0678418452389027,0.04753446106158352,0.053177642045987024,0.06426481968236769,0.06567889422757747,0.053286889857896605,0.06742870648512654
2014-03-01,0.028384390658243757,0.032372046005891934,0.025918993275373732,0.013012969822348964,0.029339492347494073,0.028610676245927946,0.013228987827089823,0.005030628816334523,0.022168273063841306,0.01593573853998187,0.020299311159280575,0.02947213504401485,0.024021909084989045,0.021074318935820926,0.02337118777564021,0.02253775895480389,0.00832858624620994,0.006330310342966885,0.01579948683954818,0.018385121141444957,0.01834898201282002,0.024835610603150055,0.018853157665510135,0.008831833832607274,0.02007007286078111,0.018766967470259233,0.0032461603539821037,-0.0038808212983997043,0.014724090173586583,0.009990616757680069,0.01844382508601811,0.027312293812514602,0.02726326814617012,0.019851164579793544,0.02198730489909148,0.026427717116140077,0.00807820188798753,-0.004543796067676178,0.017606985841259522,0.015240795803127434,0.014694198749827372,0.020193056628762793,0.01643047108932022,0.010965541802458898,0.016294055403799138,0.014142411034040474,0.0011845418540410403,0.0010469413774256604,0.015292178029755457,0.017856790511878017,0.018206798548357946,0.027299269627903425,0.022346449821458586,0.013695169107532093,0.022351016873220907,0.024793090307834133,7.381080539935185e-05,0.006287479092486696,0.013928984338916952,0.016839408871859193,0.02349188647784169,0.034108516386572266,0.03401486875596198,0.01950319435842015,0.02867760189240019,0.031815847131972504,0.006544923968092343,0.010685026307157322,0.022019793952074315,0.017602834734871245,0.023470989798359775,0.030271458484871873,0.02507889580440677,0.02883723277166414,0.026069849314433683,0.02886991846803364,0.007579643430793031,0.017215319882992797,0.024527689149484163,0.026103991893335638
2014-04-01,0.007259957209247328,0.01140141798001387,0.01815665842688388,0.018432001234705626,0.010445642800698329,0.014224898887628932,0.011418878966923908,0.0161521285515171,0.018839321400182272,0.016188709166337103,-0.005347337722385182,-0.003822133027902377,0.00019893048027331775,-0.002074615313705006,-0.0038926174685775306,-0.0021057478500055163,-0.0026331347590313674,-0.006663928774927408,-0.00426174660812337,-0.00322821944464057,-0.001231611143019745,0.0016806861906626018,0.007366087107252994,0.001266912931241279,0.0010605263741882479,0.0024763734427402967,-0.0005285148201225058,0.0011493385822502285,0.0037102384696464687,0.001266912930905888,-0.002448126056886927,0.0013218733466320222,0.010177349465535297,0.00866401544429745,0.0006275809789191312,0.0041459773849815045,0.0022712846463506936,-0.0041505331987327695,0.010682374147927715,0.006215681846158199,-0.003638864854911281,-0.0009915204877955187,0.005885150845669824,0.004632181839982623,-0.0012128929680488446,0.0022446742064702826,-0.0002256411814301388,-0.0026782631649918676,0.005581965328429408,0.0005713696422388704,0.010487807916128047,0.01234863871220689,0.020029193701520048,0.025204184001532133,0.01264625414677732,0.014828578662807861,0.025583021207239896,0.019725036897576195,0.02476481838409709,0.021386041743826068,0.006744197912890765,0.010708117261146875,0.018576048725602323,0.019321869107338133,0.009673743060041106,0.012963396732979483,0.01687609507637293,0.012809526671590576,0.018791027892387208,0.012821046030412097,0.008042093298477363,0.009438073483222271,0.017161549321775528,0.01937890964289866,0.010128982714987682,0.011025441229363216,0.020794527633970043,0.0207078918151035,0.018072939420048183,0.019364920104574364
2014-05-01,0.028745990701673926,0.03165834708456919,0.03451963098774503,0.030147352283016463,0.029545505893858043,0.028771673343080097,0.03096902472405487,0.021606308255141763,0.028220491731053978,0.025482233019303684,0.018300273859237076,0.02209920824871958,0.02424474269274146,0.0232966424823062,0.019951629362145007,0.021440052298478583,0.019067841373692756,0.013523654215107837,0.016508411372532485,0.01624718498526255,0.022034216795577596,0.024844425099955342,0.026901448070984324,0.018857036068100776,0.02296253684878259,0.023841147780874816,0.01859087185141866,0.018566751558196492,0.024262003865299177,0.01700753168762278,0.016475119131970244,0.018548642937919028,0.025759719886213398,0.012245379698501268,0.016967131412185355,0.020205972175225136,0.013656590537892472,0.010309979961602402,0.02223810932645304,0.012245379698501278,0.020902193653332655,0.023201369163293722,0.027138123440087616,0.01645887697523188,0.02146993334534403,0.02352073280482122,0.016465997402850936,0.013406656706641852,0.02377658041019387,0.01340665670664185,0.022861914072319765,0.028331952716413897,0.036980086139185735,0.029018039006486963,0.02641194190997668,0.03429148298451959,0.020791886104903404,0.012200620766367628,0.028887473942493483,0.014881170856453298,0.03228871668813752,0.03865941863172621,0.04696954831482448,0.03942579222471466,0.03594984615858413,0.04240973111581695,0.031880408344333463,0.02074085033678853,0.03483320744783305,0.02245681691091408,0.01830789156865553,0.019664270664490266,0.02025590055823512,0.014444654306576998,0.01821307770376554,0.017464983610446013,0.0157976148683652,0.015566681486526299,0.019389348451151648,0.014209863639249426
2014-06-01,0.037188401700447425,0.03904052576282602,0.04349847720525798,0.04447831103726479,0.03906552996682915,0.04677981118943824,0.05103958387101408,0.03529374817425456,0.036745081403537536,0.03987919616994823,0.04035455362597612,0.03807448733655062,0.04302837296124806,0.03321337216772255,0.039319537759458595,0.04158188241653008,0.046096157403022434,0.043606565152873054,0.051616684135657134,0.042787052558335086,0.04463812441345129,0.047005428448015675,0.05102393535203293,0.05731965742506469,0.04672599618322468,0.0497641717404854,0.05772146755087887,0.05488095911922898,0.059511084247806045,0.05642151990231281,0.03534912609305269,0.03872766185012873,0.041127984740356394,0.0509197929288563,0.03801995399677126,0.04196359935033082,0.05288329716413205,0.0543341409450673,0.04531656903841242,0.05095891005553744,0.040113213596298374,0.046162407806023695,0.049330086306462954,0.0565186442826034,0.04387415160062923,0.049805049314376536,0.059647955046594,0.05800879693850139,0.052781833855900524,0.0554260395314589,0.03661112380273842,0.035087307568297,0.03340733171195727,0.04399064191668033,0.03696085223614378,0.04032699446003925,0.05885035982370518,0.053414324475636196,0.03153390178841816,0.04868771557643209,0.035531213238058565,0.03375401969780804,0.03107672575257738,0.04063904926860667,0.03479812064400535,0.03369108228848092,0.05378007878073819,0.04565098433289795,0.028253516262376564,0.04606143075418444,0.03432077958971379,0.03146456744776636,0.02768460027712181,0.03915541408024735,0.03271778117673368,0.033392876492460435,0.049972866536676645,0.04323620405836065,0.02975850674550685,0.042662184579412905
2014-07-01,0.03382247603428272,0.026916170563462377,0.02216752751950267,0.017140168142683924,0.029429890182490866,0.024029553506176037,0.017172612897848823,0.017839009540189393,0.01957717077505178,0.021657195295179933,0.022362607819881437,0.019681568657969044,0.014102926438055427,0.012195092432512137,0.02025432326026621,0.017929633294083574,0.009179750638978463,0.013355778984602693,0.009484425702263486,0.012200496527949705,0.022867444939411022,0.018455914146182948,0.013999939492138999,0.01009959845305464,0.01986457655888798,0.019217638502978942,0.00989623872912494,0.012455554420934994,0.011168960345568957,0.01296324595089602,0.035295402692890325,0.024661385484002183,0.013338225949472857,0.009756063204690614,0.028418365431437723,0.020948092191477703,0.012829636865854036,0.011468515763815017,0.010026028188290289,0.00975606320469062,0.02548727999471966,0.018502237202595,0.009538716877901076,0.005611173661158386,0.021084443951580212,0.018734939777671517,0.01050288536795022,0.00691330055144588,0.00853157886906594,0.008371579802485811,0.03028367269553803,0.021512750451319014,0.008356821713961482,0.004607065389371453,0.024240245423216313,0.019072503299911607,0.006664719612304073,0.008364377251654053,0.007595858739012903,0.0066118052932910764,0.029973011527921433,0.020635221604707522,0.008093215185706054,0.005784323540813733,0.024322165491378184,0.02105421182894894,0.010585055975644814,0.01018070002060459,0.007095016895814852,0.007143170053887137,0.023459942048791257,0.018457652479666412,0.009722897107903323,0.014864474476482382,0.019617503718655102,0.014528992141854524,0.013235829496469509,0.018504660332346056,0.008810722022816155,0.014527152586627212
2014-08-01,0.02313642739393988,0.02826735937297093,0.03276229916969477,0.036100898270275475,0.02655630425339988,0.029335691334257105,0.023281230041682158,0.03543230088521846,0.03497141854920813,0.035727654696430695,0.027581200160038892,0.028353906332480847,0.029894611360901293,0.03319162318710279,0.028164653947480616,0.029132375765983976,0.03741513256706919,0.03565967874363583,0.03511424550114142,0.03615726231237144,0.020953626677389536,0.022716589703851993,0.020378392908428057,0.021326514589127404,0.021622420136396033,0.017642888063516465,0.021409277918471126,0.02230105043953975,0.021784853970452645,0.025129631233375513,0.013563984882933307,0.018063777521858754,0.02122863660837098,0.022221799207915203,0.016354610906079797,0.0174301474602837,0.01680886706533192,0.022180506265409867,0.026318344586908127,0.02222179920791524,0.014327796472085853,0.016660996240436154,0.016857223078319192,0.01774566477671404,0.015671925013048767,0.014905569558768058,0.016498734716645383,0.018276623099565438,0.0204652134173688,0.020431211339509675,0.028529644965456902,0.032113430689379205,0.03730341993257498,0.04037127977068841,0.030820120747207063,0.03079323870032198,0.03646629741078835,0.0367354227843618,0.040886510525772524,0.03730797572895803,0.022301266751536902,0.024485090175046825,0.03019327066021339,0.031749153382065125,0.02395025733054427,0.02433505363734792,0.02618846726445661,0.028362669824215824,0.03377031311514092,0.029207621749780453,0.027570078575996245,0.030058687569837247,0.0322990122994368,0.026872504452308085,0.029248278712373857,0.030573978408061933,0.026679043345605783,0.02569858551355843,0.031763576893174286,0.030861591986777966
2014-09-01,-0.0630333077291235,-0.06352213183603594,-0.06585708706417949,-0.047308220912730035,-0.0626169832006726,-0.06511618000551016,-0.06090073107632944,-0.03940758270808282,-0.051311611132229165,-0.034426025487254805,-0.056534923006651486,-0.05797755478712639,-0.0629352727697756,-0.026850677596072323,-0.05624669639850273,-0.05481569887541602,-0.049289345328783686,-0.025173826869193575,-0.04624055819709823,-0.02568441786212585,-0.061207736149536326,-0.06072933608566574,-0.0619782338451133,-0.0415828032312182,-0.06029488170042081,-0.06167956962982207,-0.05679783655955507,-0.0373700500153377,-0.05189410504636632,-0.03701085110899489,-0.056500301035231,-0.05722960520411244,-0.060406160227123355,-0.04741331169536054,-0.05620679728481575,-0.05675631864057395,-0.05487829939359832,-0.04419042768443548,-0.05086442271634558,-0.045392104196246126,-0.05827281044261403,-0.05792195402250589,-0.060775745383196196,-0.046670846350488626,-0.05770149676229923,-0.06097216125406131,-0.053318898711827996,-0.04102242230688167,-0.05293771478513361,-0.039496795741447446,-0.06504515354957167,-0.06766525042285079,-0.06638248341889312,-0.049065492021304176,-0.06576440858473055,-0.06578184772643265,-0.06363946169331348,-0.05438000968923451,-0.048620495753800466,-0.05099570554395374,-0.06501131523538126,-0.06800677052048161,-0.0713994113562873,-0.05806009484992561,-0.06631055788956881,-0.06913733569374796,-0.06802655741062173,-0.05517075768888895,-0.05187957847110155,-0.05733292741981716,-0.061914781032755654,-0.06331188983210763,-0.06569382953635501,-0.0385761458828679,-0.061998553605146126,-0.0637801683344438,-0.05438613750197341,-0.03851441786943419,-0.059829784950734884,-0.04052572762055539
2014-10-01,0.01041968499522501,0.011050513872877471,0.01319147414323201,0.012346284893718985,0.01129136509687318,0.011132254735996714,0.0037500887739548784,0.011504429175385323,0.015044879192894805,0.00815836918778495,0.010735322516270027,0.015192170379027311,0.025594894999108418,0.021411014381901308,0.014375990241268986,0.02130798111624993,0.01006364273797068,0.019385841300904778,0.02291757448737354,0.019235595994336368,0.011372500165669371,0.014691694542071365,0.021003965066432977,0.018599179176828105,0.013657677635847465,0.01648920426528078,0.009206697185528582,0.017519199561288036,0.018310756899124793,0.01872725958951032,0.013340384266865856,0.014137883746187985,0.021001306493551447,0.018157395093029976,0.014167089835799293,0.01710534798804299,0.010638299103637965,0.017114506284919263,0.01956119211308548,0.017368378731733945,0.009932483256603872,0.00976269263571266,0.016761404100765896,0.012659004681076218,0.010382157111766791,0.012290383951059186,0.005525754566721141,0.011623880874606082,0.01514177721912885,0.014582777146509907,0.012674961618276656,0.015070593003963621,0.02332436811656055,0.022496637848773277,0.015315116545836715,0.01931842270185524,0.0073678581356458215,0.014234183833518071,0.019710252503125313,0.019048292335955255,0.011404661265677936,0.012298150238997272,0.021048985370028257,0.02148590576856001,0.013187251732157755,0.019315165160318597,0.007643256244272625,0.019948816036880736,0.01540596906893278,0.019948816036881558,0.009610052926156808,0.015545761229334152,0.028567384628533154,0.015791113312655446,0.014365312363229098,0.019597682740347046,0.0072247229989873905,0.009625326950361082,0.0283145202989208,0.0123720222732513
2014-11-01,-0.020610058938715453,-0.02004439805196945,-0.005623113418280433,-0.01506305018935488,-0.018925815729735666,-0.014694776341190862,-0.020583395412643615,-0.01081835012802765,-0.006760262183257517,-0.009028416159615579,-0.006350157572038416,-0.0032867999033178888,0.004780348231956816,-0.004380620192194513,-0.0052275513420838495,-0.0009045861578527248,-0.008010050396347642,-0.004853171903770367,-0.005073989426073272,-0.004739586241346193,-0.012579715808772844,-0.012951837211479281,-0.003561830050671785,-0.006161064085930088,-0.012827158646668762,-0.007543247300488081,-0.01134517205842076,-0.005666619215944254,-0.006187277053115058,-0.001062027319967118,-0.01919279184267483,-0.019462125281245423,-0.009941201448513706,-0.016857530291241603,-0.01911496698603925,-0.01696747783070554,-0.013290889850689306,-0.01176231177850446,-0.017221357278828918,-0.013725773795367276,-0.016940776519679974,-0.016626427354780156,-0.007815884287480129,-0.010141761701615128,-0.016827435189229238,-0.014545399349512853,-0.013389066063979492,-0.00908730535620517,-0.012818993344586296,-0.010579575806048843,-0.009631171822588607,-0.00977169434515824,-0.002779685851477657,-0.007357323502671348,-0.009534602791575211,-0.0065672690820260775,-0.0035031433640469504,-0.006683295650675095,-0.007576270955190609,-0.008003281175130517,-0.005439739192205123,-0.005505407066739888,-0.003710369818900249,-0.008691276874576532,-0.005607553197073237,-0.006398640202382546,0.0033340592056708422,-0.0068570172411888605,-0.008620730934352198,-0.006857017249772525,-0.011982324237679962,-0.011249174912989936,-0.005133665668222487,-0.009671265176525976,-0.011738222211226706,-0.011589568771098898,-0.00828886777428888,-0.00967126517652596,-0.007307816635445665,-0.011187949553735699
