,portfolio,benchmark,beta,hedged
2019-02-01,-0.0099446305873673,0.0009714933376510082,0.8649620628394932,-0.010784935468736741
2019-03-01,0.0303840047138594,0.006831913982587201,0.8566449676492527,0.02453147998126351
2019-04-01,0.0018739740504431,0.019950289661950782,0.8626031771275197,-0.015335209196569955
2019-05-01,-0.052117571701816,-0.07527519365479407,0.8597691418816119,0.012601716951738458
2019-06-01,0.0636314377229375,0.05697394789579158,0.8591514000680908,0.014682190620861714
2019-07-01,-0.02572851517117,-0.016921676810192743,0.8596025288355269,-0.011182598992990825
2019-08-01,-0.04750805584237,-0.05079989585442757,0.8621845717358537,-0.0037091693908943985
2019-09-01,0.0252874741571072,0.016935377363282544,0.8646707269805609,0.010643949100707546
2019-10-01,0.0469474203057953,0.04093906093906097,0.8699371031382215,0.011333012227269484
2019-11-01,-0.0178389653131358,-0.0018522428453521256,0.8731391137281638,-0.016221699636735712
2019-12-01,0.0798572402270262,0.07173693572424411,0.8734455687526005,0.017198931602795064
2020-01-01,-0.0524693801785635,-0.04693807977320452,0.8832238594697012,-0.011012548205177088
2020-02-01,-0.0359219853204683,-0.05348570137620723,0.888990658253774,0.011626303553130948
2020-03-01,-0.1224623163135851,-0.15607844697271056,0.8857748875701794,0.015788052505795805
2020-04-01,0.1106892500489475,0.08998562304084468,0.8766413600884446,0.031804131078015344
2020-05-01,0.0313031205988711,0.005849028045062266,0.8813112423470548,0.02614830642595451
2020-06-01,0.0835935587856955,0.06959746332025585,0.8824555299279053,0.022176892409781164
2020-07-01,0.0862178508197958,0.08423274042809781,0.8923678047411701,0.011051265156641357
2020-08-01,0.0183243521819104,0.02092833574315045,0.9030510997467476,-0.0005750044268107816
2020-09-01,-0.0251866955221432,-0.017703132092600993,0.9024378698588841,-0.00921071870666591
2020-10-01,0.0056759060185315,0.019833641404805924,0.9042960145439768,-0.012259576857728896
2020-11-01,0.1176221222539969,0.0920830841172311,0.8961290906586026,0.03510379181898299
2020-12-01,0.1084611374125307,0.0715228161019692,0.9191336767552932,0.042722108476835066
