ym,TO_MVO
2014-02-01,0.055037643326865254
2014-03-01,0.018385121141444957
2014-04-01,-0.00322821944464057
2014-05-01,0.01624718498526255
2014-06-01,0.042787052558335086
2014-07-01,0.012200496527949705
2014-08-01,0.03615726231237144
2014-09-01,-0.02568441786212585
2014-10-01,0.019235595994336368
2014-11-01,-0.004739586241346193
2014-12-01,-0.036478810116729384
2015-01-01,0.046275266631281314
2015-02-01,0.041196209882349774
2015-03-01,0.009098537284749684
2015-04-01,0.06933143957725542
2015-05-01,-0.02352930871874311
2015-06-01,-0.0243941784838965
2015-07-01,-0.05332184569673034
2015-08-01,-0.07538753224194394
2015-09-01,-0.031567336652547164
2015-10-01,0.07045794602378064
2015-11-01,-0.021158119700347006
2015-12-01,-0.0068108976102550685
2016-01-01,-0.055508405517113384
2016-02-01,-0.009023968216878703
2016-03-01,0.09182693444447779
2016-04-01,-0.010435781194217095
2016-05-01,-0.02057871111968039
2016-06-01,0.03919081230856682
2016-07-01,0.042298960553426954
2016-08-01,0.018263417218563227
2016-09-01,0.01318536850475567
2016-10-01,-0.038759145316785676
2016-11-01,-0.043853941067670446
2016-12-01,-0.025960802713880033
2017-01-01,0.07144534264931234
2017-02-01,0.03690279465054885
2017-03-01,0.028057252721344086
2017-04-01,0.014180373507153086
2017-05-01,0.04358389375922016
2017-06-01,0.016290974267092646
2017-07-01,0.05681013094289072
2017-08-01,0.01742012046846871
2017-09-01,0.01502948382639286
2017-10-01,0.03977236750588863
2017-11-01,0.005678668548043285
2017-12-01,0.04598295517726431
2018-01-01,0.04617895007527329
2018-02-01,-0.050413378137656464
2018-03-01,0.011398408883355846
2018-04-01,0.0033830978159128593
2018-05-01,-0.011157361952366981
2018-06-01,-0.03094529235921684
2018-07-01,-0.001081894947122624
2018-08-01,-0.007604159440443592
2018-09-01,-0.05255347280393135
2018-10-01,-0.08228766599159786
2018-11-01,0.05915145584875781
2018-12-01,-0.048953720935593706
2019-01-01,0.09005839956101486
2019-02-01,0.005081086477460399
2019-03-01,0.02598986359686783
2019-04-01,0.019221361803983823
2019-05-01,-0.08322214260825399
2019-06-01,0.056905875150088804
2019-07-01,-0.01807997593694323
2019-08-01,-0.040245979258341225
2019-09-01,0.021575848384785785
2019-10-01,0.06355459604191424
2019-11-01,-0.005238328643609228
2019-12-01,0.07252839950319874
2020-01-01,-0.06693985105476219
2020-02-01,-0.046156283733042335
2020-03-01,-0.11831386135333434
2020-04-01,0.11704726767794082
2020-05-01,0.010254045841708416
2020-06-01,0.08541447639218659
2020-07-01,0.08485101714744664
2020-08-01,0.008631045568176446
2020-09-01,-0.030417292158615442
2020-10-01,0.0034320381710127275
2020-11-01,0.10398040412158753
2020-12-01,0.08945596104402469
2021-01-01,0.006048334123323971
2021-02-01,0.015045726221471527
2021-03-01,-0.010420994728503037
2021-04-01,0.02826862434225674
2021-05-01,0.022394751172581984
2021-06-01,0.02335599685107741
2021-07-01,-0.051295323427108144
2021-08-01,-0.0049596783280255905
2021-09-01,-0.042744743787657045
2021-10-01,0.0025300878596645846
2021-11-01,-0.012755895637119612
2021-12-01,0.04120121594031265
2022-01-01,-0.038420677255265656
2022-02-01,0.020735159942401337
2022-03-01,0.015042409997519051
2022-04-01,-0.0536376950182218
2022-05-01,0.01951008142690573
2022-06-01,-0.0587586225290284
2022-07-01,0.020149126915418446
2022-08-01,-0.005381798023273307
2022-09-01,-0.12226156907510348
2022-10-01,-0.033019974511728195
2022-11-01,0.16073874719841627
2022-12-01,-0.010747760916790668
2023-01-01,0.03177131278967679
2023-02-01,-0.07000856394078997
2023-03-01,0.05526754057037153
2023-04-01,0.014504215024385593
2023-05-01,-0.024371690247124364
2023-06-01,0.02449512070713408
2023-07-01,0.062209782712944035
2023-08-01,-0.07911018302286059
2023-09-01,-0.011933832138901986
2023-10-01,-0.055027763646850074
2023-11-01,0.0937635899476868
2023-12-01,0.060681991508177435
2024-01-01,-0.0550650856969105
2024-02-01,0.04871655245001208
2024-03-01,0.029883228257887206
2024-04-01,0.0007658104270596995
2024-05-01,0.03978834166104032
2024-06-01,0.03743519553389673
2024-07-01,-0.01352207091991407
2024-08-01,0.032298887840146354
2024-09-01,0.058866420279830765
2024-10-01,-0.038199268217120094
2024-11-01,-0.04784448865662885
2024-12-01,2.158755970864821e-05
2025-01-01,0.028215517353094934
2025-02-01,-0.02328593609997116
2025-03-01,0.013334922360755633
