Year,Alpha_ann,Vol,Sharpe,HitRate,N_months
2019,0.03923170060212145,0.04321922331888989,0.9077372888599411,0.6363636363636364,11
2020,0.1693504920388028,0.0632746173968539,2.6764364449120026,0.75,12
2021,0.1008762104589119,0.07042702433700981,1.4323508824708482,0.6666666666666666,12
2022,0.09337167630354119,0.07193103537032534,1.2980721857099953,0.5833333333333334,12
2023,0.0864177032972839,0.07107893257551309,1.2157991146740301,0.5833333333333334,12
2024,0.049065661113420686,0.050368293881436724,0.9741378421297664,0.5,12
2025,0.0540030783176144,0.006645216615648709,8.1266091748527,1.0,3
