Strategy,IS Ann. Mean,IS Ann. Std,IS Sharpe,IS IR,IS Max DD,IS Calmar,IS % Positive,IS Total Return,IS N Months,OOS Ann. Mean,OOS Ann. Std,OOS Sharpe,OOS IR,OOS Max DD,OOS Calmar,OOS % Positive,OOS Total Return,OOS N Months
MSCI EM,0.15492116287591592,0.22471417841066155,0.6894142771570025,,0.2687640673405148,0.5764206666795088,0.5084745762711864,0.8935471078125901,59,0.023577203669731164,0.16583252398061799,0.14217478636752098,,0.38369870877264395,0.06144718011991422,0.5555555555555556,0.1177133510855779,135
Single-Factor (Exp2),0.19963369954531238,0.21455709069674378,0.9304455932779019,,0.2493593554633882,0.8005863633001862,0.559322033898305,1.3765543471939763,59,0.06934708295916477,0.16766749937030084,0.41359883829369204,,0.31063236523838034,0.22324487310247784,0.5333333333333333,0.8664743525678742,135
Ridge EW,0.20629248355260493,0.21234573594717834,0.9714934120641858,,0.23728388734082526,0.8693910314116462,0.559322033898305,1.461104283155683,59,0.05937372668099529,0.16164361468457025,0.36731253997788027,,0.30527002080135573,0.19449576648612593,0.5333333333333333,0.6860513957110803,135
Ridge SW,0.2062721110022594,0.21147233062330031,0.97540945614155,,0.24779697074488433,0.8324238604781967,0.559322033898305,1.4619636813811083,59,0.05850280440589408,0.163024413822885,0.35885916123859474,,0.3395731102107764,0.1722833835976612,0.5259259259259259,0.6656381441094497,135
ElasticNet EW,0.2308187978377096,0.23324555744684328,0.9895956877562962,,0.26465242399769934,0.8721582608278552,0.6610169491525424,1.7147365355251178,59,0.05002390573044008,0.1785294018480982,0.2801998170195122,,0.34985471659912315,0.14298479728017893,0.5777777777777777,0.47377319213609614,135
ElasticNet SW,0.23626618814169403,0.23303169364931062,1.0138800625860405,,0.2655611075912505,0.8896867100936822,0.6610169491525424,1.787939396545824,59,0.049829987744631016,0.18054329192876561,0.27600021696896787,,0.36629500383998687,0.1360378580713562,0.5777777777777777,0.4649620610435763,135
