,Avg_Sharpe,Avg_Rank,Top3_Count,Worst_Industry,Best_Industry,Spread,Stock_TO,Annual_TO,DoF
SF,0.8512730416035773,3.8636363636363638,4,0.42888238676199225,1.433488186973742,1.0046058002117497,0.097070021468343,1.164840257620116,0
All6-EW,0.8593670750495331,3.9545454545454546,6,0.40803268230581174,1.3869982690809288,0.978965586775117,0.1841922508619055,2.210307010342866,0
All6-ICwt,0.7870918765809134,5.5,1,0.4537665385368367,1.2305487895420184,0.7767822510051817,0.1246892457729107,1.4962709492749284,1
Top3-EW,0.8555118792586621,4.2272727272727275,4,0.3798812063994239,1.3264907433512456,0.9466095369518217,0.1531772715472313,1.8381272585667756,1
Top3-ICwt,0.8278624476801884,3.8636363636363638,6,0.39699690673906546,1.4011858634754635,1.004188956736398,0.1254649517494697,1.5055794209936364,2
Corr03-EW,0.8225774640842474,4.681818181818182,4,0.3341262051486664,1.3663159293787623,1.032189724230096,0.1771969065670755,2.126362878804906,1
Corr03-ICwt,0.818409440938587,4.954545454545454,1,0.39399812211823554,1.3437763532994027,0.9497782311811671,0.1452648685089912,1.7431784221078943,2
Corr05-EW,0.7989322905016707,4.954545454545454,4,0.33821459689455696,1.191801148670126,0.8535865517755692,0.1836209882475732,2.2034518589708783,1
