Strategy,Unhedged_Sharpe,Unhedged_IR,Hedged_Sharpe,Hedged_IR,Hedged_MaxDD,Net20bps_Sharpe
A6+Momentum,0.6442265259101828,1.3575694596264725,1.4665753982649663,0.348275896779788,0.0718698206096508,1.3931824853095245
A6+TO_MVO,0.5388970131004581,1.1392371194282007,1.1284061918591266,0.2824171056994476,0.0498253141079874,1.063051472477478
A6+MaxSharpe,0.4949495476961955,1.0783860584850875,1.0821397187766482,0.2315955084391348,0.0588318816128209,1.0103250366863497
A6+EqualWeight,0.4603027547152165,0.9810199372511244,1.0446650633563472,0.1844298706700152,0.0607900761532423,0.9650997055563608
SF+Momentum,0.4843587905676853,0.8180532916721756,0.8798949138578727,0.2028601094397447,0.1332443251237609,0.8391815960393447
SF+EqualWeight,0.4124405257401266,0.8200225673507074,0.7902220598848815,0.1633545558879914,0.0555260641628488,0.7475060871008151
SF+TO_MVO,0.4052124681334137,0.6595052858244498,0.7002214097821111,0.1527266701128154,0.1234358607129666,0.6620682313686048
SF+MaxSharpe,0.34282145886772,0.5139853317298266,0.5932154719171778,0.0805851022526394,0.0977648338532535,0.550369372975228
