,Alpha (ann),Alpha t,Alpha p,Beta Mkt,Beta SMB,Beta HML,Beta RMW,Beta CMA,Beta Mom,R-squared
TO_MVO LO,0.022214997554405046,0.7808622058490682,0.4348835428129909,1.071502285672252,-0.22311435366650725,-0.22091208634713377,0.1904475744429909,0.3191340411173197,0.10124545261796651,0.9127235145400757
TO_MVO Hedged,0.02422871389449657,0.8355607703083796,0.40340204595588947,0.16366696612471257,0.09855792228505413,-0.16109874813412467,0.17242713084726494,0.4304221119127973,0.1691910039937704,0.17093606262459415
Momentum LO,0.013879226878740632,0.507395279124489,0.6118774974596234,1.0777410325759864,-0.2620693072596524,-0.21095717327483346,-0.23043244257860687,0.3162038141484434,0.21260354491285466,0.9160449952931029
Momentum Hedged,0.014875650002328052,0.584257755234169,0.5590469094830761,0.1949173010009296,0.054357548547895984,-0.15122041138371062,-0.2706138317596146,0.4350951590185886,0.28900791524202524,0.33038969840951427
