Strategy,Ann. Mean,Ann. Std,Sharpe,IR,Max DD,Calmar,% Positive,Total Return,N Months
BMATR,0.1232341259356911,0.2710670557835109,0.4546259802006801,,0.6549237456100796,0.1881656097549114,0.5333333333333333,5.165348724948013,255
CODIS,0.10201749997418694,0.23097999466038077,0.44167244927071453,,0.627091200895511,0.16268367316987054,0.592156862745098,3.9309913320163172,255
COSTP,0.11408888194256953,0.16481839397454426,0.6922096447571879,,0.3769255883088361,0.3026827720942367,0.5882352941176471,7.394760326447438,255
ENEGY,0.11933055974816859,0.25481034808924286,0.46831127794847305,,0.6019973500872559,0.19822439373009257,0.5882352941176471,5.255821877805397,255
FINAN,0.1255406255463885,0.22424588336163923,0.5598346942402074,,0.6213568264338224,0.2020427236100531,0.5725490196078431,7.30672135958417,255
HLTHC,0.11061906279271977,0.2247180567705752,0.4922571171290243,,0.4853341837242498,0.22792349375408866,0.5647058823529412,5.156549716684968,255
INDUS,0.11005138538875836,0.2404889733968137,0.45761509908053216,,0.6678825760095136,0.16477654806672296,0.5647058823529412,4.51460436618852,255
RLEST,0.13233527175914445,0.32253423765216027,0.4102983693218409,,0.7680595144505915,0.17229819990421777,0.5450980392156862,4.609016292061207,255
TECNO,0.10781157064479412,0.23323477102759793,0.4622448452681059,,0.6474182664855482,0.16652537660087893,0.5725490196078431,4.514086128302728,255
TELCM,0.09728898608693583,0.1486833037117632,0.654336994525894,,0.3785820699979425,0.2569825509366161,0.5725490196078431,5.206592212709276,255
UTILS,0.09576253963547773,0.19334633972140408,0.49529016051435754,,0.3467519193875142,0.2761701789701065,0.5568627450980392,4.125723639684802,255
