,avg_monthly_turnover
SF (best-1),0.09707002146834309
All6-EW,0.18419225086190558
All6-ICwt,0.12468924577291074
Top3-EW,0.1531772715472313
Top3-ICwt,0.12546495174946973
Corr03-EW,0.1771969065670755
Corr03-ICwt,0.14526486850899129
Corr05-EW,0.1836209882475732
