Scenario,Avg TC (bps/mo),Hedged Sharpe,Unhedged Sharpe
Gross (no TC),0.0,0.9025704088573456,0.44412893050603663
"Uniform 20bps
(stock TO only)",3.618048475755985,0.8319745416799647,0.4199691357975709
"Static Country
(stock TO only)",8.163666653952369,0.7434755356883377,0.38965356793825734
"Static Country
(total TO)",12.851599767070432,0.6543310037238477,0.35878096633805356
"Time-Varying
(total TO)",10.42424471445414,0.7013784142516458,0.3748893468480295
