ym,SF+EW,SF+Momentum,Comp+EW,Comp+Momentum,SF+IndustryEW,Comp+IndustryEW
2009-02-01,,,,,,
2009-03-01,,,,,,
2009-04-01,,,,,,
2009-05-01,,,,,,
2009-06-01,,,,,,
2009-07-01,,,,,,
2009-08-01,,,,,,
2009-09-01,,,,,,
2009-10-01,,,,,,
2009-11-01,,,,,,
2009-12-01,,,,,,
2010-01-01,,,,,,
2010-02-01,,,,,,
2010-03-01,,,,,,
2010-04-01,,,,,,
2010-05-01,,,,,,
2010-06-01,,,,,,
2010-07-01,,,,,,
2010-08-01,,,,,,
2010-09-01,,,,,,
2010-10-01,,,,,,
2010-11-01,,,,,,
2010-12-01,,,,,,
2011-01-01,,,,,,
2011-02-01,,,,,,
2011-03-01,,,,,,
2011-04-01,,,,,,
2011-05-01,,,,,,
2011-06-01,,,,,,
2011-07-01,,,,,,
2011-08-01,,,,,,
2011-09-01,,,,,,
2011-10-01,,,,,,
2011-11-01,,,,,,
2011-12-01,,,,,,
2012-01-01,,,,,,
2012-02-01,,,,,,
2012-03-01,,,,,,
2012-04-01,,,,,,
2012-05-01,,,,,,
2012-06-01,,,,,,
2012-07-01,,,,,,
2012-08-01,,,,,,
2012-09-01,,,,,,
2012-10-01,,,,,,
2012-11-01,,,,,,
2012-12-01,,,,,,
2013-01-01,,,,,,
2013-02-01,,,,,,
2013-03-01,,,,,,
2013-04-01,,,,,,
2013-05-01,,,,,,
2013-06-01,,,,,,
2013-07-01,,,,,,
2013-08-01,,,,,,
2013-09-01,,,,,,
2013-10-01,,,,,,
2013-11-01,,,,,,
2013-12-01,,,,,,
2014-01-01,,,,,,
2014-02-01,,,,,0.9314160456116546,0.9253801038913453
2014-03-01,,,,,0.9301403528677912,0.9237464495695995
2014-04-01,,,,,0.9094466594441452,0.8972353719977595
2014-05-01,,,,,0.9123606101441295,0.9014610606196627
2014-06-01,,,,,0.93571367060784,0.898705308332715
2014-07-01,,,,,0.9381527319805832,0.9011108306835022
2014-08-01,,,,,0.9434015570028488,0.9014152248667019
2014-09-01,,,,,0.9427216726694849,0.8995685672692315
2014-10-01,,,,,0.9434172261270025,0.8989646296889249
2014-11-01,,,,,0.9428708531455559,0.8984020052493935
2014-12-01,,,,,0.9482626058076112,0.9020993980440789
2015-01-01,,,,,0.9463269481399779,0.8993265150845782
2015-02-01,,,,,0.9411392090465236,0.8937893787090622
2015-03-01,,,,,0.939378990709209,0.8936878594961248
2015-04-01,,,,,0.9454218595533997,0.8975770377646705
2015-05-01,,,,,0.9471751790320837,0.9118259143953338
2015-06-01,,,,,0.9532054741353252,0.9144969915500545
2015-07-01,,,,,0.9538715528808647,0.9150130381310236
2015-08-01,,,,,0.942916839164318,0.9108346862989823
2015-09-01,,,,,0.9449647765313984,0.9128781856792382
2015-10-01,,,,,0.9477970133515219,0.9149566475641733
2015-11-01,,,,,0.9447685217294595,0.912191448180528
2015-12-01,,,,,0.9468274547144621,0.9139608702558819
2016-01-01,,,,,0.9492767059243278,0.9115330730227766
2016-02-01,,,,,0.9459672017045538,0.9143682062478758
2016-03-01,,,,,0.9452129506181737,0.9133597829863969
2016-04-01,,,,,0.9224439702692104,0.8939995952901431
2016-05-01,,,,,0.9189694692045522,0.8904347500316394
2016-06-01,,,,,0.9208965148992206,0.8910347765461032
2016-07-01,,,,,0.9211113203922465,0.8909526235205404
2016-08-01,,,,,0.9177840514270292,0.8899440579559408
2016-09-01,,,,,0.9239827545279737,0.8940113312419613
2016-10-01,,,,,0.8872256298326096,0.8631958325492846
2016-11-01,,,,,0.8640147394855275,0.8575684008302878
