Strategy,Ann. Mean,Ann. Std,Sharpe,IR,Max DD,Calmar,% Positive,Total Return,N Months
MSCI EM,0.06352201600563273,0.18594214816163396,0.34162247039554977,,0.3851232942700763,0.16493942836157427,0.5412371134020618,1.1164428833116142,194
Single-Factor (Exp2),0.10897033233330246,0.18344928130896207,0.5940079544371533,,0.31063236523838045,0.3508016051375658,0.5412371134020618,3.4357777365212385,194
Ridge EW,0.10405520428627865,0.17909317662424618,0.5810115507895421,,0.3052700208013561,0.3408628335436481,0.5412371134020618,3.149548311605156,194
Ridge SW,0.1034429543501495,0.1796630841364544,0.5757607626928212,,0.3395731102107759,0.3046264596332188,0.5360824742268041,3.1007406171205023,194
ElasticNet EW,0.10500791930945502,0.1976308498062457,0.5313336425583516,,0.34985471659912315,0.30014721633659464,0.6030927835051546,3.0009059297693454,194
ElasticNet SW,0.10652965693755226,0.19891400655346955,0.5355563380546372,,0.3662950038399866,0.29083022105343537,0.6030927835051546,3.084225444428358,194
