hold_date,return_date,ric,name,country,industry,weight,within_ind_wt,ind_wt,composite_score,next_ret,contribution,log_mktcap,pb_w,roe_w,mom_11m_w,ret_vol_w,div_yield_w
2014-01-01,2014-02-01,UNTR.JK,UNITED TRACTORS,INDONESIA,BMATR,0.002857142857142857,0.14285714285714285,0.02,2.809914422502132,0.0337787920567029,9.651083444772257e-05,18.092058614455667,1.96,0.1276914611398963,-0.1968040168871881,0.0934595236955839,3.03
2014-01-01,2014-02-01,010060.KS,OCI HOLDINGS COMPANY,SOUTH KOREA,BMATR,0.002857142857142857,0.14285714285714285,0.02,2.806204722913927,0.0942282766193214,0.00026922364748377544,15.382817911748074,1.72,0.0,0.0392641630662831,0.1048537373307923,0.2
2014-01-01,2014-02-01,004020.KS,HYUNDAI STEEL,SOUTH KOREA,BMATR,0.002857142857142857,0.14285714285714285,0.02,2.62642433259768,-0.1060633496308283,-0.00030303814180236656,15.733622315773511,0.68,0.0662986365914787,-0.0027620501590163,0.0886129066198943,0.63
2014-01-01,2014-02-01,010130.KS,KOREA ZINC,SOUTH KOREA,BMATR,0.002857142857142857,0.14285714285714285,0.02,2.5204084495178614,-0.015838607441894,-4.525316411969715e-05,15.627614011196494,1.24,0.1044698280431433,-0.2130394665634462,0.096593675569022,1.54
2014-01-01,2014-02-01,005490.KS,POSCO HOLDINGS,SOUTH KOREA,BMATR,0.002857142857142857,0.14285714285714285,0.02,2.5169001343441995,-0.0444240877614495,-0.00012692596503271287,17.11720689038358,0.61,0.0424780696629213,-0.041671136618424,0.0566130173628824,2.57
2014-01-01,2014-02-01,1303.TW,NAN YA PLASTICS,TAIWAN,BMATR,0.002857142857142857,0.14285714285714285,0.02,2.4162969172146003,-0.0167929330565926,-4.797980873312172e-05,13.168166226846104,1.64,0.0633636363636363,0.1584645054895348,0.0822128654116757,0.45
2014-01-01,2014-02-01,1326.TW,FORMOSA CHEMS.& FIBRE,TAIWAN,BMATR,0.002857142857142857,0.14285714285714285,0.02,2.356783772427218,-0.0276208685827389,-7.8916767379254e-05,13.061876158647662,1.69,0.0911295143212951,0.1482247155147662,0.0605277539204145,0.79
2014-01-01,2014-02-01,ASII.JK,ASTRA INTERNATIONAL,INDONESIA,CODIS,0.022222222222222223,0.1111111111111111,0.2,3.1788387061789867,0.1374041690077758,0.0030534259779505736,19.451543673365894,2.93,0.1903590324909747,-0.3351392570509905,0.0737312117319551,3.09
2014-01-01,2014-02-01,036570.KS,NCSOFT,SOUTH KOREA,CODIS,0.022222222222222223,0.1111111111111111,0.2,3.163621759856802,-0.0335841476169215,-0.0007463143914871446,15.374810087790767,3.19,0.1151046082949308,0.7063805272956936,0.1245646642405805,0.28
2014-01-01,2014-02-01,021240.KS,COWAY,SOUTH KOREA,CODIS,0.022222222222222223,0.1111111111111111,0.2,3.160711604832118,-0.0115551971951843,-0.0002567821598929845,15.44283475287426,4.71,0.0904177272727272,0.3933982569920484,0.0823811081463228,1.59
2014-01-01,2014-02-01,030000.KS,CHEIL WORLDWIDE,SOUTH KOREA,CODIS,0.022222222222222223,0.1111111111111111,0.2,3.073509325489857,-0.1229749033113221,-0.0027327756291404912,14.95257884438844,3.34,0.1184196383763837,0.1066177085648814,0.0765602383905652,0.0
2014-01-01,2014-02-01,1476.TW,ECLAT TEXTILE,TAIWAN,CODIS,0.022222222222222223,0.1111111111111111,0.2,3.0611828189884345,0.1642626760037131,0.0036502816889714025,11.158252943416366,7.4,0.2685825509503092,1.392629866475533,0.1023684469116051,1.75
2014-01-01,2014-02-01,005380.KS,HYUNDAI MOTOR,SOUTH KOREA,CODIS,0.022222222222222223,0.1111111111111111,0.2,3.039905187406751,0.0493356467407344,0.0010963477053496534,17.73417426504411,1.07,0.1426691641137855,0.1876606212786804,0.0650729259960748,0.83
2014-01-01,2014-02-01,HROM.NS,HERO MOTOCORP,INDIA,CODIS,0.022222222222222223,0.1111111111111111,0.2,2.967659730674623,0.0115590361833941,0.0002568674707420911,12.934831389861374,7.37,0.3719883897386487,0.1077971023396773,0.0886584978919618,2.89
2014-01-01,2014-02-01,FALABELLA.SN,FALABELLA SACI,CHILE,CODIS,0.022222222222222223,0.1111111111111111,0.2,2.9604931319594745,0.0631623442681856,0.0014036076504041243,16.185503800770245,3.12,0.1232629219588399,-0.1965762226336861,0.0692317083385532,1.4
2014-01-01,2014-02-01,012330.KS,HYUNDAI MOBIS,SOUTH KOREA,CODIS,0.022222222222222223,0.1111111111111111,0.2,2.952871527532898,0.0157037135451676,0.0003489714121148356,17.133216179693445,1.17,0.1475001047619047,0.0077257308017655,0.0712128500597234,0.67
2014-01-01,2014-02-01,UNSP.NS,UNITED SPIRITS,INDIA,COSTP,0.0113636351763033,0.125,0.0909090814104264,6.384087625026709,,,12.866350500106835,12.76,0.0,,,0.09
2014-01-01,2014-02-01,UNVR.JK,UNILEVER INDONESIA,INDONESIA,COSTP,0.0113636351763033,0.125,0.0909090814104264,5.164353501406076,0.052405889626691,0.0005955214108073341,19.167223183224202,13.61,0.7210782583112681,-0.0337977843117595,0.0783826487872572,2.4
