Strategy,LO Gross SR,LO Net SR @45bp,LO Ann Ret (net),LO MaxDD,Hedged Gross SR,Hedged Net SR @45bp,Hedged Ann Alpha (net),Hedged MaxDD,IR vs EEM,TE
(a) All6-EW + TO_MVO,0.5142859330045088,0.4582580874745264,0.0846339687659967,-0.27441024601142794,0.8282978606290191,0.6729826486388214,0.04483615527020301,-0.052358927070178196,0.5977071749712827,0.06509680478247173
(b) All6-EW + Momentum,0.5034364909002617,0.4205375921182931,0.07673003030606881,-0.2856284962649077,0.7952118880815058,0.5650429355730121,0.03713163012982021,-0.13229810982143875,0.4645234296541762,0.0646544983786375
EEM Benchmark,0.35576413721751526,0.35576413721751526,0.06576834782608693,-0.3672902515902261,,,,,,
