ym,MSCI EM,Single-Factor (Raw),Single-Factor (Resid)
2009-02-01,-0.057088361377070185,-0.056141287147858605,-0.05908502819957585
2009-03-01,0.14153815341478082,0.1716940119509659,0.17320486183646566
2009-04-01,0.16274540765303436,0.1483596936440287,0.15026488689603426
2009-05-01,0.16656858750924197,0.128411942023122,0.13402772745102293
2009-06-01,-0.015288700331125837,0.0028696734014375088,0.00360476921212209
2009-07-01,0.10865624589517942,0.09935459144546069,0.09633918626556076
2009-08-01,-0.005402715575460237,-0.010647903015042709,-0.020130488438955454
2009-09-01,0.08885473995187376,0.08162671516084577,0.08296311608588568
2009-10-01,0.00022974673157927228,0.00037538621425105533,0.000662233266863146
2009-11-01,0.042515258241638154,0.029636924657497673,0.030327209379682207
2009-12-01,0.03812701310419353,0.048892138512682363,0.04416473946435879
2010-01-01,-0.05647467836316411,-0.06346274615101953,-0.05946646348350412
2010-02-01,0.0025064535824075307,0.02105778990740893,0.02314498213800921
2010-03-01,0.0794931244858057,0.06531125457940085,0.06754810501352136
2010-04-01,0.009600823493314037,-0.007750328295156209,-0.004714204220893281
2010-05-01,-0.09179141789947354,-0.07021641724897104,-0.0705078368145152
2010-06-01,-0.009078151986183003,0.0055290568921195545,0.008817641446827618
2010-07-01,0.07997908473948523,0.07809986132409336,0.0831145562291777
2010-08-01,-0.02154507216993984,-0.006634260614549975,-0.004503075939424175
2010-09-01,0.1087366630586053,0.10564737412081314,0.10275381015699431
2010-10-01,0.02809777505044031,0.03316320357580622,0.03919886850336058
2010-11-01,-0.02704047026904821,-0.0195168131853344,-0.0115138920193115
2010-12-01,0.07020495422224315,0.06391809473062224,0.06576840926228449
2011-01-01,-0.028053292570654476,-0.028940849352775574,-0.02526344414133157
2011-02-01,-0.010106516066769045,-0.025182392669796726,-0.028550053222424578
2011-03-01,0.05696128257670807,0.0827309550588766,0.08819538402733797
2011-04-01,0.028320821269654184,0.049962948688549294,0.053030033002844916
2011-05-01,-0.029949419864953475,-0.0184602688563259,-0.015598773056266784
2011-06-01,-0.018622053648638226,-0.015976415665887166,-0.01835500872851842
2011-07-01,-0.007406955034810037,-0.0008624671885245437,0.00325807379791121
2011-08-01,-0.09191987554164871,-0.06515394074391617,-0.07083144527644854
2011-09-01,-0.14781977447611683,-0.1679425572770462,-0.16563510221592276
2011-10-01,0.13012959576570537,0.1435564293541378,0.13520235289363705
2011-11-01,-0.06701507537688434,-0.07542141946603367,-0.07506658150612265
2011-12-01,-0.012851172009651912,-0.001010255175943508,-0.008138195703374866
2012-01-01,0.11239755999083356,0.09511400340299102,0.10173179080417433
