Strategy,Turnover,0bps,10bps,20bps,30bps,50bps,break_even_bps
All6EW+TO_MVO,0.1916217188126756,0.9199007139317193,0.8824740801213148,0.8450474463109101,0.8076208125005054,0.732767544879696,245.78772394860286
All6EW+Momentum,0.2801015729449558,0.9033731102011049,0.8495504714777805,0.7957278327544559,0.7419051940311314,0.6342599165844822,167.84259033543444
All6EW+EqualWeight,0.1841922508619055,0.716976336168335,0.6774606487648216,0.6379449613613082,0.5984292739577951,0.5193978991507683,181.44093732875055
Corr05EW+Momentum,0.2959046246745699,1.0199458889878652,0.9644356999714097,0.908925510954954,0.8534153219384982,0.742394943905587,183.7403019264642
SF+Momentum,0.2063933089924939,0.8448917992403457,0.8075131535139144,0.7701345077874832,0.7327558620610518,0.657998570608189,226.03595791671546
