ADV Threshold,Conservative Avg ($M),Conservative Median ($M),Conservative Min ($M),Aggregate Avg ($M),Aggregate Median ($M),Aggregate Min ($M)
5%,209.73478606307742,179.09613963497387,50.03530409490724,9859.004190948232,7667.911340492545,2773.631937990802
10%,419.46957212615484,358.19227926994773,100.07060818981448,19718.008381896463,15335.82268098509,5547.263875981604
15%,629.2043581892323,537.2884189049215,150.10591228472168,29577.012572844695,23003.734021477627,8320.895813972404
20%,838.9391442523097,716.3845585398955,200.14121637962896,39436.016763792926,30671.64536197018,11094.527751963207
25%,1048.673930315387,895.4806981748692,250.17652047453615,49295.02095474116,38339.55670246272,13868.159689954007
