ym,static_tc_bps,years_from_base,decay_factor,time_varying_tc_bps,commission_bps,spread_bps,impact_bps
2014-02-01,40.789723744884355,0.08487337440109514,0.9978534992386526,40.70216857181081,14.276403310709524,18.35537568519796,8.157944748976872
2014-03-01,41.08962706085104,0.16153319644079397,0.9959186848467095,40.92192734328454,14.381369471297864,18.49033217738297,8.217925412170208
2014-04-01,42.26449131084915,0.2464065708418891,0.993780944631446,42.00164609926321,14.792571958797202,19.01902108988212,8.45289826216983
2014-05-01,41.804064039683894,0.32854209445585214,0.9917165328953172,41.45778145036912,14.631422413889362,18.81182881785775,8.36081280793678
2014-06-01,43.79747096056206,0.4134154688569473,0.9895878126024167,43.34144348538047,15.32911483619672,19.708861932252926,8.759494192112411
2014-07-01,43.27534363604561,0.49555099247091033,0.9875321113884796,42.73579147196613,15.146370272615963,19.473904636220524,8.655068727209123
2014-08-01,41.94979729691801,0.5804243668720055,0.9854123729595293,41.33784929952722,14.682429053921302,18.877408783613102,8.389959459383602
2014-09-01,42.17541081146155,0.6652977412731006,0.9832971845507306,41.470962708180586,14.761393784011542,18.9789348651577,8.43508216229231
2014-10-01,42.024508307961845,0.7474332648870636,0.9812545510520155,41.236740032910795,14.708577907786644,18.911028738582832,8.404901661592369
2014-11-01,42.081175290992974,0.8323066392881588,0.9791482874111067,41.20371071842235,14.728411351847539,18.936528880946838,8.416235058198595
2014-12-01,42.319562353933485,0.9144421629021219,0.9771142725440864,41.351048383847825,14.811846823876719,19.04380305927007,8.463912470786697
2015-01-01,43.50683316551831,0.999315537303217,0.9750168960141472,42.41989742844902,15.227391607931407,19.57807492448324,8.701366633103662
2015-02-01,43.55377018188228,1.0841889117043122,0.9729240215045263,42.374509237040826,15.243819563658796,19.599196581847025,8.710754036376455
2015-03-01,43.67059846470291,1.160848733744011,0.9710375447817304,42.40579071231392,15.284709462646019,19.65176930911631,8.734119692940583
