Strategy,IS Ann. Mean,IS Ann. Std,IS Sharpe,IS Max DD,IS Calmar,IS % Positive,IS Total Return,IS N Months,OOS Ann. Mean,OOS Ann. Std,OOS Sharpe,OOS Max DD,OOS Calmar,OOS % Positive,OOS Total Return,OOS N Months
MSCI EM,0.15492116287591592,0.22471417841066155,0.6894142771570025,0.2687640673405148,0.5764206666795088,0.5084745762711864,0.8935471078125901,59,0.023577203669731164,0.16583252398061796,0.142174786367521,0.38369870877264395,0.06144718011991422,0.5555555555555556,0.1177133510855779,135
EW Universe,0.21092832202163228,0.22730506394729674,0.9279525865316332,0.24578391781145134,0.8581860192473704,0.559322033898305,1.4806734035451208,59,0.058965778612296266,0.16313938888170465,0.3614441553109742,0.28632922092243257,0.20593699246738867,0.562962962962963,0.6726479167451862,135
Single-Factor (Raw),0.19963369954531238,0.2145570906967438,0.9304455932779018,0.2493593554633882,0.8005863633001862,0.559322033898305,1.3765543471939763,59,0.06934708295916477,0.1676674993703008,0.41359883829369215,0.31063236523838034,0.22324487310247784,0.5333333333333333,0.8664743525678742,135
Single-Factor (Resid),0.20916383055123372,0.2164871655491941,0.9661719669183056,0.24839477016364406,0.84206213525927,0.559322033898305,1.4841534324829948,59,0.056281326525828075,0.1656502140349466,0.3397600591928883,0.3050555745782651,0.18449532221673443,0.5407407407407407,0.6174841592531177,135
