,Alpha (ann),Alpha t,Alpha p,Beta Mkt,Beta SMB,Beta HML,Beta RMW,Beta CMA,Beta Mom,R²
TO_MVO LO,0.011413978393873439,0.6049055193397246,0.5452417756525578,1.046490526672769,-0.04889845423587011,-0.233902880054838,0.39464116590934606,0.24377461820413363,0.10082562361121428,0.8948864258639426
TO_MVO Hdg,0.007044191221541532,0.2821165083881291,0.777854175288611,0.1602702434289025,0.2293675600157379,-0.15253464932732322,0.36425423859902584,0.3196462268942503,0.1812238869993842,0.17307489261276898
Mom LO,0.01172991948313067,0.6470189559405412,0.5176196752164386,1.0280497312836279,-0.15944308990431919,-0.1721816036624118,-0.04063229396581327,0.2710941780593241,0.15105779331563496,0.8966589813736401
Mom Hdg,0.005936605954469123,0.2799687608798632,0.779501472039313,0.1318524097204571,0.1540148416125448,-0.1370401758972852,-0.09014757350728415,0.37250570963912555,0.24859514548017275,0.1904424938403576
