TC_bps,LO_Sharpe,Hedged_Sharpe,LO_Net_Ret,Hedged_Net_Ret
0,0.5142859330045088,0.8282978606290191,0.09498154158188118,0.055183728086087486
10,0.5018353006645128,0.7937833690756417,0.09268208095612908,0.05288426746033537
20,0.48938466832451644,0.7592688775222645,0.09038262033037694,0.05058480683458327
30,0.4769340359845207,0.7247543859688871,0.0880831597046249,0.048285346208831154
45,0.4582580874745264,0.6729826486388214,0.0846339687659967,0.04483615527020301
60,0.43958213896453235,0.6212109113087553,0.08118477782736856,0.041386964331574835
75,0.42090619045453825,0.5694391739786893,0.07773558688874041,0.03793777339294667
100,0.38977960960454777,0.4831529450952462,0.07198693532436011,0.03218912182856642
150,0.32752644790456753,0.31058048732835963,0.06048963219559961,0.020691818699805874
200,0.26527328620458696,0.13800802956147315,0.04899232906683906,0.009194515571045338
