Strategy,Scenario,LO_Sharpe,Hedged_Sharpe,LO_Ann_Ret,Hedged_Ann_Ret
TO_MVO,Gross (0bp),0.5142859330045088,0.8282978606290191,0.09498154158188118,0.055183728086087486
TO_MVO,Static (45bp),0.4582580874745264,0.6729826486388214,0.0846339687659967,0.04483615527020301
TO_MVO,Time-Varying,0.47883886228919564,0.7293105233888802,0.08843495748763264,0.04858959458309724
Momentum,Gross (0bp),0.5034364909002617,0.7952118880815058,0.09185551524509641,0.052257115068847816
Momentum,Static (45bp),0.4205375921182931,0.5650429355730121,0.07673003030606881,0.03713163012982021
Momentum,Time-Varying,0.4509947743370268,0.6486279332186974,0.08228609632130501,0.04261819116272107
