Factor,Dev Mean SR,Dev Median SR,Hold Mean SR,Hold Median SR,Decay,Avg Turnover,Consistency
SF,0.46890463959951134,0.46079624919209955,0.3914041010892475,0.3923405947244456,-0.07750053851026384,0.035428934444643165,0.8
All6EW,0.4515462873471205,0.4432040492325978,0.4147029889587529,0.4140975368255848,-0.036843298388367585,0.03598928691660046,0.8
All6ICwt,0.37454058829073256,0.38049394506052414,0.4257714923683841,0.4395703334494995,0.05123090407765152,0.03834225787459373,0.9
Top3EW,0.322221192117449,0.3166172878532722,0.36083796878675756,0.3708117839753695,0.03861677666930857,0.03398680874431407,0.7
Top3ICwt,0.2714173976042394,0.2698162710876475,0.392118270126758,0.42654126586522667,0.1207008725225186,0.03740364853413111,0.7
Corr03EW,0.5343524704329121,0.5266287098120757,0.31338011556736034,0.31841968709179524,-0.22097235486555178,0.03861281820688127,0.1
Corr03ICwt,0.543783030116411,0.5437798685007367,0.37114440278489774,0.3940094751112877,-0.1726386273315133,0.03866407213945618,0.7
Corr05EW,0.49354152766139003,0.48053016813543536,0.41525725007965375,0.4171474907873363,-0.07828427758173628,0.03349830545307214,0.8
