Strategy,IS Ann. Mean,IS Ann. Std,IS Sharpe,IS Max DD,IS Calmar,IS % Positive,IS Total Return,IS N Months,OOS Ann. Mean,OOS Ann. Std,OOS Sharpe,OOS Max DD,OOS Calmar,OOS % Positive,OOS Total Return,OOS N Months
MSCI EM,,,,,,,0.0,0,0.02966203417974582,0.16518937988333213,0.17956380852507073,0.38369870877264395,0.0773055355714572,0.5597014925373134,0.19667282414871856,134
EqualWeight,,,,,,,0.0,0,0.07897708417904988,0.16007844403627386,0.49336489153501284,0.2562561016648414,0.30819591676433283,0.5597014925373134,1.091960834628607,134
InverseVol,,,,,,,0.0,0,0.07155858625689161,0.154073580929937,0.4644442338847954,0.2564667345636213,0.27901702877236184,0.5597014925373134,0.9464505100242804,134
MinVariance,,,,,,,0.0,0,0.06758998525317042,0.1450968782281254,0.46582659860471665,0.21789042621053756,0.31020172124433454,0.5373134328358209,0.8907091555481927,134
MaxSharpe,,,,,,,0.0,0,0.07372190489418007,0.15325482098394744,0.48104134291411305,0.2970410919100495,0.24818756361326821,0.5522388059701493,0.9952009081368312,134
RiskParity,,,,,,,0.0,0,0.07453247309432803,0.1557046517479,0.4786785253853744,0.2446043829143429,0.30470620438730356,0.5447761194029851,1.0065720512170424,134
HRP,,,,,,,0.0,0,0.0692951931141024,0.15044260054673722,0.4606088492373197,0.2273244869424169,0.3048294270720401,0.5522388059701493,0.9101954062326634,134
