Strategy,Ann. Mean,Ann. Std,Sharpe,IR,Max DD,Calmar,% Positive,Total Return,N Months
MSCI EM,0.06352201600563273,0.18594214816163396,0.34162247039554977,,0.3851232942700763,0.16493942836157427,0.5412371134020618,1.1164428833116142,194
SF (best-1),0.10897033233330246,0.18344928130896207,0.5940079544371533,0.8347729810288856,0.31063236523838045,0.3508016051375658,0.5412371134020618,3.4357777365212385,194
All6-EW,0.11208786725165967,0.1770261377881108,0.6331712856201034,0.9665637119541978,0.28607662982657506,0.3918106394066842,0.5773195876288659,3.745907676116426,194
All6-ICwt,0.1102602777577078,0.17911784317148355,0.6155739473266603,0.9383827954913626,0.28637245003684525,0.38502404034857923,0.5567010309278351,3.58111060292509,194
Top3-EW,0.10698843578270816,0.17830747790182816,0.600022147369576,0.8786851906034634,0.3023663193606014,0.35383714697110163,0.5567010309278351,3.3549972725581823,194
Top3-ICwt,0.10630886454016175,0.1784480204421678,0.5957413496476123,0.8779298350822018,0.28229977377542126,0.3765814726608104,0.5515463917525774,3.3061656345766757,194
Corr03-EW,0.1066732727857845,0.17807316017725192,0.5990418358364797,0.8906746931829234,0.3056782793556605,0.3489723673224057,0.5567010309278351,3.3415263410139566,194
Corr03-ICwt,0.107167701279408,0.1789266221793385,0.5989477696169416,0.8685489720651627,0.29456627206640157,0.3638152478476901,0.5515463917525774,3.3638306332690764,194
Corr05-EW,0.10431188557140436,0.17980958064589936,0.5801241802394651,0.8199747088568119,0.3577895005758549,0.29154540701590326,0.5567010309278351,3.157210576703603,194
