date,BMATR,CODIS,COSTP,ENEGY,FINAN,HLTHC,INDUS,RLEST,TECNO,TELCM,UTILS
2017-08-01,0.020000000000000007,0.2,0.02,0.020000000000000004,0.08,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2017-09-01,0.020000000000000007,0.2,0.02,0.020000000000000004,0.08,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2017-10-01,0.020000000000000007,0.2,0.02,0.020000000000000004,0.08,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2017-11-01,0.020000000000000007,0.2,0.02,0.020000000000000004,0.08,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2017-12-01,0.020000000000000007,0.2,0.020000000000011828,0.020000000000000004,0.07999999999998818,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-01-01,0.020000000000000007,0.2,0.020000000000071554,0.020000000000000004,0.07999999999992845,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-02-01,0.020000000000000007,0.2,0.020000000000099435,0.020000000000000004,0.07999999999990057,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-03-01,0.020000000000000007,0.2,0.020000000000118364,0.020000000000000004,0.07999999999988164,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-04-01,0.020000000000000007,0.2,0.020000000000118364,0.020000000000000004,0.07999999999988164,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-05-01,0.020000000000000007,0.2,0.020000000000118364,0.020000000000000004,0.07999999999988164,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-06-01,0.020000000000000007,0.2,0.020000000000118364,0.020000000000000004,0.07999999999988164,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-07-01,0.02000000000001125,0.2,0.020000000000118364,0.020000000000000004,0.0799999999998704,0.2,0.02,0.2,0.2,0.020000000000000046,0.02
2018-08-01,0.07832133161352686,0.021678668386473105,0.020000000000000004,0.02,0.2,0.2,0.020000000000000004,0.2,0.2,0.02,0.02
2018-09-01,0.07832133170326205,0.020000000000000007,0.021678668296737893,0.020000000000000004,0.2,0.2,0.020000000000000004,0.2,0.2,0.020000000000000004,0.02
2018-10-01,0.07832133170244489,0.020000000000000007,0.021678668297555062,0.020000000000000004,0.2,0.2,0.020000000000000004,0.2,0.2,0.020000000000000004,0.02
2018-11-01,0.07832133168808034,0.020000000000000007,0.02167866821825366,0.020000000093665964,0.2,0.2,0.020000000000000004,0.2,0.2,0.020000000000000004,0.02
2018-12-01,0.07832132156985837,0.020000000000000007,0.021678678430141606,0.020000000000000007,0.2,0.2,0.020000000000000004,0.2,0.2,0.02,0.02
2019-01-01,0.02000000000000001,0.02,0.07999999999999999,0.02,0.2,0.2,0.02,0.2,0.2,0.02,0.02
2019-02-01,0.02000000000000001,0.02,0.07999999999999999,0.02,0.2,0.2,0.02,0.2,0.2,0.02,0.02
2019-03-01,0.02000000000000001,0.02,0.07999999999999999,0.02,0.2,0.2,0.02,0.2,0.2,0.02,0.02
2019-04-01,0.02000000000000001,0.02,0.07999999999999999,0.02,0.2,0.2,0.02,0.2,0.2,0.02,0.02
2019-05-01,0.02000000000000001,0.02,0.07999999999999999,0.02,0.2,0.2,0.02,0.2,0.2,0.02,0.02
2019-06-01,0.02000000000000001,0.02,0.07999999999999999,0.02,0.2,0.2,0.02,0.2,0.2,0.02,0.02
2019-07-01,0.020000000000000004,0.020000000000000004,0.2,0.02,0.2,0.2,0.02,0.2,0.08000000000000006,0.020000000000000004,0.02
2019-08-01,0.020000000000000004,0.020000000000000004,0.2,0.02,0.2,0.2,0.02,0.2,0.08000000000000006,0.020000000000000004,0.02
