,Gross,10bps,20bps,30bps,50bps
SF (best-1),0.8497,0.8271,0.8045,0.7819,0.7367
All6-EW,0.9364,0.8905,0.8446,0.7987,0.707
All6-ICwt,0.8843,0.8534,0.8226,0.7917,0.73
Top3-EW,0.8139,0.7747,0.7355,0.6963,0.6179
Top3-ICwt,0.8824,0.8503,0.8183,0.7863,0.7222
Corr03-EW,0.8078,0.7664,0.7251,0.6837,0.6009
Corr03-ICwt,1.0049,0.9688,0.9326,0.8965,0.8242
Corr05-EW,0.9457,0.8984,0.8512,0.8039,0.7093
